folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,DTree,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,0.20914292335510254,0.5791666666666667,0.5772357723577236,0.5916666666666667,0.5666666666666667,0.5843621399176955,0.5811965809482066,0.15838283570544587,0.5791666666666666,136,104,98,142,0.00041675567626953125
2,DTree,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,0.21095037460327148,0.54375,0.5363321799307958,0.6458333333333334,0.44166666666666665,0.5860113421550094,0.5549738216989666,0.08938274535965209,0.5437500000000001,106,134,85,155,0.0006284713745117188
3,DTree,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,0.19797182083129883,0.5354166666666667,0.5352697095435685,0.5375,0.5333333333333333,0.5363825363825364,0.5355648533323997,0.07083394821402479,0.5354166666666667,128,112,111,129,0.0007727146148681641
4,DTree,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,0.1832728385925293,0.5458333333333333,0.5404411764705882,0.6125,0.4791666666666667,0.5742187500000001,0.5528846151188055,0.09249250917449296,0.5458333333333333,115,125,93,147,0.0008873939514160156
5,DTree,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,0.23811912536621094,0.5229166666666667,0.5215686274509804,0.5541666666666667,0.49166666666666664,0.5373737373737375,0.524444444211358,0.045923114679577624,0.5229166666666667,118,122,107,133,0.0007612705230712891
6,DTree,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,0.21651625633239746,0.56875,0.5662650602409639,0.5875,0.55,0.5766871165644172,0.5714285711811997,0.13759678177399753,0.5687500000000001,132,108,99,141,0.0008807182312011719
7,DTree,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,0.2039318084716797,0.4708333333333333,0.4740740740740741,0.5333333333333333,0.4083333333333333,0.5019607843137255,0.46666666644444443,-0.05879447357921312,0.4708333333333333,98,142,112,128,0.0008225440979003906
8,DTree,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,0.19942450523376465,0.525,0.5205479452054794,0.6333333333333333,0.4166666666666667,0.5714285714285714,0.5319148933340878,0.05121661782200223,0.5249999999999999,100,140,88,152,0.0014417171478271484
9,DTree,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,0.08835554122924805,0.5666666666666667,0.5571428571428572,0.65,0.48333333333333334,0.6,0.57999999971,0.13522468075656266,0.5666666666666667,116,124,84,156,0.0007467269897460938
10,DTree,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,0.18913578987121582,0.5666666666666667,0.5563380281690141,0.6583333333333333,0.475,0.6030534351145038,0.5816326527644732,0.13563218950786896,0.5666666666666667,114,126,82,158,0.0009768009185791016
