folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,DenseNet201,128,0.1,0.3,32,16,0.9979166388511658,0.9979177713394165,0.9984375238418579,0.9979166388511658,0.9981811046600342,0.9984375238418579,0.996362030506134,0.9999863505363464,1916.0,4.0,3.0,1917.0,139.42304182052612,0.7562500238418579,0.7578288316726685,0.7562500238418579,0.7583333253860474,0.7567628026008606,0.757325291633606,0.5146494507789612,0.8330880403518677,364.0,116.0,117.0,363.0,2.2426955699920654
2,DenseNet201,128,0.1,0.3,32,14,0.9958333373069763,0.9947971105575562,0.9958333373069763,0.9947916865348816,0.9953283667564392,0.9958323240280151,0.9906560182571411,0.9999499917030334,1910.0,10.0,8.0,1912.0,121.17494058609009,0.8041666746139526,0.8012552261352539,0.7979166507720947,0.8020833134651184,0.7998433709144592,0.7983832955360413,0.6002252101898193,0.863014280796051,385.0,95.0,97.0,383.0,2.240338087081909
3,DenseNet201,128,0.1,0.3,32,9,0.9937499761581421,0.9932361841201782,0.9942708611488342,0.9932291507720947,0.9937580227851868,0.9942708611488342,0.9875157475471497,0.999809980392456,1907.0,13.0,11.0,1909.0,97.15347194671631,0.7791666388511658,0.7796257734298706,0.78125,0.7791666388511658,0.7805626392364502,0.7805840969085693,0.5604991316795349,0.845753014087677,374.0,106.0,105.0,375.0,1.9632210731506348
4,DenseNet201,128,0.1,0.3,32,14,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.996874988079071,0.9999818801879883,1917.0,3.0,3.0,1917.0,125.02117657661438,0.8187500238418579,0.8158996105194092,0.8125,0.8166666626930237,0.8141925930976868,0.8133447766304016,0.6292991638183594,0.8872656226158142,392.0,88.0,90.0,390.0,1.9338443279266357
5,DenseNet201,128,0.1,0.3,32,5,0.9552083611488342,0.9541428089141846,0.9536458253860474,0.9541666507720947,0.953870415687561,0.9539068341255188,0.9080194234848022,0.9923703074455261,1832.0,88.0,89.0,1831.0,73.06829309463501,0.7875000238418579,0.7935484051704407,0.768750011920929,0.800000011920929,0.78084796667099,0.7760461568832397,0.5692063570022583,0.855453610420227,384.0,96.0,111.0,369.0,2.3207099437713623
6,DenseNet201,128,0.1,0.3,32,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1920.0,0.0,0.0,1920.0,179.69978380203247,0.8479166626930237,0.8458333611488342,0.8458333611488342,0.8458333611488342,0.8458332419395447,0.8458333611488342,0.6916666626930237,0.9145529866218567,406.0,74.0,74.0,406.0,1.9817264080047607
7,DenseNet201,128,0.1,0.3,32,12,0.9963541626930237,0.9963522553443909,0.9958333373069763,0.9963541626930237,0.9960137605667114,0.9960171580314636,0.9922178387641907,0.9999098181724548,1913.0,7.0,8.0,1912.0,112.33453369140625,0.7833333611488342,0.7837837934494019,0.7854166626930237,0.7833333611488342,0.7846000790596008,0.7850154638290405,0.568836510181427,0.8403905630111694,376.0,104.0,103.0,377.0,2.163620710372925
8,DenseNet201,128,0.1,0.3,32,17,0.9979166388511658,0.9984358549118042,0.9973958134651184,0.9984375238418579,0.9978998899459839,0.9974571466445923,0.9958639740943909,0.9999898076057434,1917.0,3.0,5.0,1915.0,144.78688669204712,0.7749999761581421,0.7726315855979919,0.7645833492279053,0.7749999761581421,0.7691088318824768,0.7661442160606384,0.5398799180984497,0.8320506811141968,372.0,108.0,113.0,367.0,1.9655170440673828
9,DenseNet201,128,0.1,0.3,32,11,0.995312511920929,0.9947943687438965,0.995312511920929,0.9947916865348816,0.9950560927391052,0.995312511920929,0.9901120662689209,0.9999231100082397,1910.0,10.0,9.0,1911.0,110.90867638587952,0.824999988079071,0.8267223238945007,0.824999988079071,0.8270833492279053,0.8254959583282471,0.8260732293128967,0.6520823240280151,0.8738823533058167,397.0,83.0,84.0,396.0,1.9362897872924805
10,DenseNet201,128,0.1,0.3,32,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1920.0,0.0,0.0,1920.0,185.45971703529358,0.8479166626930237,0.8426501154899597,0.8479166626930237,0.8416666388511658,0.8450960516929626,0.8473790287971497,0.6896617412567139,0.9104384183883667,404.0,76.0,73.0,407.0,3.4384658336639404
