folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,EfficientNetB4,1024,0.1,0.3,32,0,0.5104166865348816,0.5127421021461487,0.5239583253860474,0.5020833611488342,0.5172295570373535,0.5143862366676331,0.026407212018966675,0.5216650366783142,964.0,956.0,914.0,1006.0,36.77077889442444,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.4896809756755829,240.0,240.0,240.0,240.0,1.956296443939209
2,EfficientNetB4,1024,0.1,0.3,32,11,0.6057291626930237,0.6069363951683044,0.6015625,0.6104166507720947,0.6036844849586487,0.6057983636856079,0.21247965097427368,0.6560788154602051,1172.0,748.0,765.0,1155.0,83.95270133018494,0.574999988079071,0.5732010006904602,0.48124998807907104,0.6416666507720947,0.5224276185035706,0.5525873303413391,0.1267346739768982,0.5972720980644226,308.0,172.0,249.0,231.0,1.73643159866333
3,EfficientNetB4,1024,0.1,0.3,32,0,0.5307291746139526,0.5309432148933411,0.5183333158493042,0.5244791507720947,0.5202037692070007,0.5235200524330139,0.04502660408616066,0.5419481992721558,1301.0,1099.0,1156.0,1244.0,35.125317335128784,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.534375011920929,240.0,240.0,240.0,240.0,1.7834997177124023
4,EfficientNetB4,1024,0.1,0.3,32,12,0.6145833134651184,0.6133333444595337,0.6229166388511658,0.6072916388511658,0.6180558800697327,0.6166626214981079,0.23043444752693176,0.6779152154922485,1166.0,754.0,724.0,1196.0,87.43271541595459,0.6291666626930237,0.6187624931335449,0.6458333134651184,0.6020833253860474,0.6319122314453125,0.6297904849052429,0.24822431802749634,0.6644683480262756,289.0,191.0,170.0,310.0,1.8414702415466309
5,EfficientNetB4,1024,0.1,0.3,32,9,0.6067708134651184,0.6018759608268738,0.6015625,0.6020833253860474,0.6013759970664978,0.6022213101387024,0.20424816012382507,0.658567488193512,1156.0,764.0,765.0,1155.0,75.39498448371887,0.6625000238418579,0.642307698726654,0.6958333253860474,0.612500011920929,0.6710920333862305,0.6554450988769531,0.306708425283432,0.6864235997200012,294.0,186.0,146.0,334.0,1.7077701091766357
6,EfficientNetB4,1024,0.1,0.3,32,11,0.6463541388511658,0.6378947496414185,0.6312500238418579,0.6416666507720947,0.6344565153121948,0.6351146101951599,0.27337226271629333,0.7011033892631531,1232.0,688.0,708.0,1212.0,82.2621967792511,0.5604166388511658,0.5609756112098694,0.574999988079071,0.550000011920929,0.568287193775177,0.5628050565719604,0.1249905601143837,0.6236371994018555,264.0,216.0,204.0,276.0,1.773228406906128
7,EfficientNetB4,1024,0.1,0.3,32,0,0.5484374761581421,0.5427386164665222,0.5450000166893005,0.542187511920929,0.5410273671150208,0.542979896068573,0.08468329906463623,0.5566151738166809,1298.0,1102.0,1092.0,1308.0,34.82612919807434,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5166667103767395,240.0,240.0,240.0,240.0,1.7104158401489258
8,EfficientNetB4,1024,0.1,0.3,32,1,0.5609375238418579,0.557692289352417,0.5588541626930237,0.5567708611488342,0.557222306728363,0.5587015151977539,0.11578147858381271,0.5733808279037476,1069.0,851.0,847.0,1073.0,40.76127910614014,0.5916666388511658,0.5,1.0,0.0,0.6666666269302368,0.0,0.0,0.590661883354187,0.0,480.0,0.0,480.0,1.7230124473571777
9,EfficientNetB4,1024,0.1,0.3,32,9,0.6067708134651184,0.6045785546302795,0.6052083373069763,0.6041666865348816,0.6048746705055237,0.6046563982963562,0.20947538316249847,0.6530102491378784,1160.0,760.0,758.0,1162.0,77.21150946617126,0.6458333134651184,0.6452905535697937,0.6708333492279053,0.6312500238418579,0.6581079959869385,0.6562590003013611,0.30225980281829834,0.6933463215827942,303.0,177.0,158.0,322.0,1.6951963901519775
10,EfficientNetB4,1024,0.1,0.3,32,9,0.5869791507720947,0.5756940841674805,0.5723958611488342,0.578125,0.5731478929519653,0.5759546160697937,0.15093880891799927,0.627720057964325,1110.0,810.0,821.0,1099.0,73.95257043838501,0.5625,0.5658436417579651,0.5729166865348816,0.5604166388511658,0.5696194767951965,0.5667489171028137,0.13334965705871582,0.6138628721237183,269.0,211.0,205.0,275.0,1.8098771572113037
11,EfficientNetB4,1024,0.1,0.3,32,7,0.598437488079071,0.5945805311203003,0.5942708253860474,0.5947916507720947,0.5941475629806519,0.5948001146316528,0.18932266533374786,0.641706645488739,1142.0,778.0,779.0,1141.0,66.77756905555725,0.5458333492279053,0.5475687384605408,0.5395833253860474,0.5541666746139526,0.544628918170929,0.5441362261772156,0.09391830116510391,0.5617730021476746,266.0,214.0,221.0,259.0,1.8715434074401855
