folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,ExtraTrees,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,1.4776263236999512,0.58125,0.5619047619047619,0.7375,0.425,0.6378378378378379,0.6181818178071625,0.17106744068953994,0.6582291666666666,102,138,63,177,0.016126394271850586
2,ExtraTrees,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,1.4127819538116455,0.6145833333333334,0.6141078838174274,0.6166666666666667,0.6125,0.6153846153846154,0.6150627612489278,0.22916865598655078,0.647109375,147,93,92,148,0.003753662109375
3,ExtraTrees,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.033208131790161,0.69375,0.6882591093117408,0.7083333333333334,0.6791666666666667,0.6981519507186857,0.6995708151503988,0.3876649272831166,0.7717361111111111,163,77,70,170,0.046724796295166016
4,ExtraTrees,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,1.4352078437805176,0.6083333333333333,0.6015625,0.6416666666666667,0.575,0.620967741935484,0.6160714282963967,0.2171497590538448,0.6538628472222222,138,102,86,154,0.003797292709350586
5,ExtraTrees,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.0989155769348145,0.6479166666666667,0.60790273556231,0.8333333333333334,0.4625,0.70298769771529,0.7350993372615237,0.3185458313771117,0.7346961805555557,111,129,40,200,0.0456385612487793
6,ExtraTrees,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,1.9467592239379883,0.6395833333333333,0.601823708206687,0.825,0.45416666666666666,0.6959578207381372,0.7218543041577125,0.30059958735586595,0.6914322916666666,109,131,42,198,0.03136801719665527
7,ExtraTrees,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,1.5690586566925049,0.5291666666666667,0.5343137254901961,0.45416666666666666,0.6041666666666666,0.49099099099099097,0.525362318650231,0.05900086936615359,0.5557031250000001,145,95,131,109,0.0046236515045166016
8,ExtraTrees,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,1.6400079727172852,0.5916666666666667,0.5833333333333334,0.6416666666666667,0.5416666666666666,0.6111111111111112,0.6018518515732167,0.1842569327975222,0.6372309027777777,130,110,86,154,0.0037882328033447266
9,ExtraTrees,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.0753211975097656,0.5708333333333333,0.5598591549295775,0.6625,0.4791666666666667,0.6068702290076335,0.5867346935781966,0.14410920135211078,0.6096354166666667,115,125,81,159,0.03225111961364746
10,ExtraTrees,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.3972012996673584,0.64375,0.6153846153846154,0.7666666666666667,0.5208333333333334,0.6827458256029686,0.6906077344250786,0.2966020914963059,0.6959027777777778,125,115,56,184,0.046427249908447266
