folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,GradientBoosting,0.8770833333333333,0.8724279835390947,0.8833333333333333,0.8708333333333333,0.8778467908902691,0.8818565399913654,0.7542255928430013,0.9508951822916667,836,124,112,848,2.788968801498413,0.6020833333333333,0.5682451253481894,0.85,0.3541666666666667,0.681135225375626,0.7024793382624138,0.23510191713176104,0.6850347222222222,85,155,36,204,0.0020601749420166016
2,GradientBoosting,0.8645833333333334,0.8623188405797102,0.8677083333333333,0.8614583333333333,0.8650051921079959,0.8668763101816692,0.7291809086203711,0.9480674913194445,827,133,127,833,1.4035413265228271,0.5791666666666667,0.5545977011494253,0.8041666666666667,0.3541666666666667,0.6564625850340136,0.6439393934515611,0.17729929513602052,0.6486111111111111,85,155,47,193,0.002034425735473633
3,GradientBoosting,0.9385416666666667,0.945031712473573,0.93125,0.9458333333333333,0.938090241343127,0.9322381929227682,0.877176614452294,0.981982421875,908,52,66,894,1.9608075618743896,0.65,0.6258741258741258,0.7458333333333333,0.5541666666666667,0.6806083650190113,0.6855670099558934,0.30566704247435844,0.7416840277777778,133,107,61,179,0.0025250911712646484
4,GradientBoosting,0.8130208333333333,0.8166491043203372,0.8072916666666666,0.81875,0.8119434258774227,0.8094747681967586,0.6260827682843381,0.9038313802083333,786,174,185,775,1.4010446071624756,0.65,0.6161290322580645,0.7958333333333333,0.5041666666666667,0.6945454545454546,0.7117647054636679,0.3136369261457031,0.7464756944444444,121,119,49,191,0.0014164447784423828
5,GradientBoosting,0.878125,0.878125,0.878125,0.878125,0.878125,0.8781249999085287,0.75625,0.9521885850694445,843,117,117,843,1.7222352027893066,0.6958333333333333,0.6715328467153284,0.7666666666666667,0.625,0.7159533073929961,0.7281553394523518,0.39565709866093035,0.766267361111111,150,90,56,184,0.0021674633026123047
6,GradientBoosting,0.9328125,0.938753959873284,0.9260416666666667,0.9395833333333333,0.9323544834819089,0.9270298046323711,0.8657043786609148,0.9821875,902,58,71,889,1.9711906909942627,0.61875,0.5882352941176471,0.7916666666666666,0.44583333333333336,0.674955595026643,0.6815286619862875,0.2531184301424571,0.6974652777777778,107,133,50,190,0.0027136802673339844
7,GradientBoosting,0.81875,0.8355263157894737,0.79375,0.84375,0.814102564102564,0.8035714284917093,0.6382983722602426,0.908779296875,810,150,198,762,1.3838269710540771,0.5041666666666667,0.5028901734104047,0.725,0.2833333333333333,0.5938566552901023,0.5074626861884607,0.009288370855344154,0.5315972222222223,68,172,66,174,0.001489400863647461
8,GradientBoosting,0.8015625,0.8198895027624309,0.7729166666666667,0.8302083333333333,0.7957104557640751,0.7852216747994856,0.6041172725669162,0.8918684895833333,797,163,218,742,1.2824945449829102,0.5291666666666667,0.5217391304347826,0.7,0.35833333333333334,0.597864768683274,0.5443037971238583,0.0620685437857454,0.6168055555555556,86,154,72,168,0.0013675689697265625
9,GradientBoosting,0.9208333333333333,0.9288747346072187,0.9114583333333334,0.9302083333333333,0.9200841219768665,0.9130879344669645,0.8418146549068968,0.9779123263888889,893,67,85,875,2.001586675643921,0.5958333333333333,0.5793103448275863,0.7,0.49166666666666664,0.6339622641509434,0.6210526312520775,0.1959665885074603,0.6404166666666666,118,122,72,168,0.0027587413787841797
10,GradientBoosting,0.8713541666666667,0.8796592119275826,0.8604166666666667,0.8822916666666667,0.8699315429173249,0.8634046890047498,0.7428860959036624,0.9519184027777778,847,113,134,826,1.7701456546783447,0.6229166666666667,0.5860058309037901,0.8375,0.4083333333333333,0.6895368782161235,0.7153284666311471,0.2721727667108355,0.6874652777777779,98,142,39,201,0.002073526382446289
11,GradientBoosting,0.8921875,0.9026737967914439,0.8791666666666667,0.9052083333333333,0.8907651715039578,0.8822335024485043,0.7846411045258771,0.9594737413194445,869,91,116,844,1.68119215965271,0.5145833333333333,0.5077262693156733,0.9583333333333334,0.07083333333333333,0.6637806637806638,0.629629627297668,0.06329465790442351,0.5789583333333332,17,223,10,230,0.002018451690673828
12,GradientBoosting,0.8692708333333333,0.8759278897136797,0.8604166666666667,0.878125,0.8681029952706253,0.8628454451522165,0.7386574917280507,0.9480327690972223,843,117,134,826,1.5040440559387207,0.6666666666666666,0.6257861635220126,0.8291666666666667,0.5041666666666667,0.7132616487455198,0.7469135797858558,0.3524673714302863,0.7278472222222223,121,119,41,199,0.002103567123413086
13,GradientBoosting,0.7213541666666666,0.7342888643880926,0.69375,0.7489583333333333,0.7134440278521692,0.7097729515587589,0.4433845582176075,0.8084244791666667,719,241,294,666,1.2059218883514404,0.54375,0.5263157894736842,0.875,0.2125,0.6572769953051644,0.6296296288523091,0.1168127740084104,0.6614843749999999,51,189,30,210,0.0009386539459228516
14,GradientBoosting,0.7338541666666667,0.7321613236814891,0.7375,0.7302083333333333,0.7348209652309289,0.7355718782019337,0.46772076748168795,0.8122222222222222,701,259,252,708,1.2211716175079346,0.5854166666666667,0.5659163987138264,0.7333333333333333,0.4375,0.6388384754990926,0.6213017747802948,0.17883820816979576,0.5973871527777778,105,135,64,176,0.0009808540344238281
15,GradientBoosting,0.8791666666666667,0.8872340425531915,0.86875,0.8895833333333333,0.8778947368421053,0.8714285713396501,0.7584979557890517,0.9541037326388888,854,106,126,834,1.7695705890655518,0.525,0.5129310344827587,0.9916666666666667,0.058333333333333334,0.6761363636363636,0.87499999453125,0.13927150363278887,0.5895833333333333,14,226,2,238,0.002028226852416992
16,GradientBoosting,0.809375,0.824235807860262,0.7864583333333334,0.8322916666666667,0.8049040511727078,0.7958167329884644,0.6194009280742114,0.8975021701388889,799,161,205,755,1.523728847503662,0.59375,0.5692307692307692,0.7708333333333334,0.4166666666666667,0.6548672566371682,0.6451612899063476,0.20049566370935085,0.6444791666666666,100,140,55,185,0.0014123916625976562
17,GradientBoosting,0.8776041666666666,0.8787878787878788,0.8760416666666667,0.8791666666666667,0.8774126238914972,0.8764278296078476,0.755212020901032,0.9581684027777778,844,116,119,841,1.8001952171325684,0.5791666666666667,0.5441860465116279,0.975,0.18333333333333332,0.6985074626865672,0.87999999824,0.2591578489987799,0.7111458333333333,44,196,6,234,0.002069234848022461
18,GradientBoosting,0.8802083333333334,0.8842105263157894,0.875,0.8854166666666666,0.8795811518324607,0.8762886597034755,0.760457925268833,0.9559516059027778,850,110,120,840,1.83254075050354,0.58125,0.5643564356435643,0.7125,0.45,0.6298342541436464,0.6101694911806952,0.1684056506325146,0.6319965277777777,108,132,69,171,0.0021195411682128906
19,GradientBoosting,0.803125,0.825503355704698,0.76875,0.8375,0.7961165048543689,0.7836257309177752,0.6076878382946115,0.8917621527777778,804,156,222,738,1.5655121803283691,0.6020833333333333,0.5740181268882175,0.7916666666666666,0.4125,0.6654991243432574,0.6644295297554165,0.22064238786428095,0.6584027777777778,99,141,50,190,0.0014102458953857422
20,GradientBoosting,0.7192708333333333,0.7325966850828729,0.690625,0.7479166666666667,0.7109919571045575,0.7073891624918829,0.43926316364537427,0.7970035807291667,718,242,297,663,1.3422212600708008,0.5895833333333333,0.5623188405797102,0.8083333333333333,0.37083333333333335,0.6632478632478633,0.6592592587709191,0.19924710676564922,0.6249218750000001,89,151,46,194,0.001012563705444336
