folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.2988522052764893,0.6041666666666666,0.5694444444444444,0.8541666666666666,0.3541666666666667,0.6833333333333332,0.7083333327430555,0.24056261216234406,0.6889930555555557,85,155,35,205,0.004590749740600586
2,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.3460330963134766,0.5875,0.5583333333333333,0.8375,0.3375,0.67,0.6749999994375,0.202072594216369,0.6700173611111111,81,159,39,201,0.004689931869506836
3,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.1871860027313232,0.6541666666666667,0.6185897435897436,0.8041666666666667,0.5041666666666667,0.6992753623188406,0.7202380948093821,0.32322115798925816,0.7568402777777776,121,119,47,193,0.004736423492431641
4,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.2502758502960205,0.6416666666666667,0.6017964071856288,0.8375,0.44583333333333336,0.700348432055749,0.7328767118267968,0.3079351401335658,0.7433854166666667,107,133,39,201,0.00460505485534668
5,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.272005319595337,0.6458333333333334,0.6107594936708861,0.8041666666666667,0.4875,0.6942446043165468,0.7134146337113325,0.30749111740020185,0.7260763888888889,117,123,47,193,0.004607439041137695
6,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.3436245918273926,0.6145833333333334,0.5801749271137027,0.8291666666666667,0.4,0.6826758147512866,0.7007299264958176,0.25372037574738904,0.6900173611111111,96,144,41,199,0.004653453826904297
7,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.178961992263794,0.5583333333333333,0.5368421052631579,0.85,0.26666666666666666,0.6580645161290322,0.6399999993600001,0.14363696929192157,0.6100694444444446,64,176,36,204,0.004519224166870117
8,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.3589119911193848,0.61875,0.5861027190332326,0.8083333333333333,0.42916666666666664,0.6795096322241682,0.6912751673212919,0.2566656348625309,0.7122916666666668,103,137,46,194,0.0045430660247802734
9,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.2664432525634766,0.5979166666666667,0.5824561403508772,0.6916666666666667,0.5041666666666667,0.6323809523809524,0.6205128201946088,0.19936922573241037,0.6540451388888888,121,119,74,166,0.004712343215942383
10,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4712131023406982,0.6729166666666667,0.6300940438871473,0.8375,0.5083333333333333,0.7191413237924865,0.7577639746846186,0.3662434048355082,0.7139583333333333,122,118,39,201,0.004584312438964844
11,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.325963258743286,0.5041666666666667,0.5021186440677966,0.9875,0.020833333333333332,0.6657303370786517,0.6249999921875001,0.032547227745205964,0.5495659722222223,5,235,3,237,0.004417896270751953
12,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.309159994125366,0.6604166666666667,0.6060606060606061,0.9166666666666666,0.4041666666666667,0.7296849087893864,0.8290598283512309,0.37363235887853663,0.7489409722222222,97,143,20,220,0.004477024078369141
13,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.332078218460083,0.6395833333333333,0.5982404692082112,0.85,0.42916666666666664,0.70223752151463,0.7410071937115057,0.30774443842347116,0.7544270833333333,103,137,36,204,0.0043451786041259766
14,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.380574941635132,0.6291666666666667,0.5974842767295597,0.7916666666666666,0.4666666666666667,0.6810035842293907,0.6913580242645938,0.27316221285847186,0.7012326388888888,112,128,50,190,0.004546642303466797
15,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.3514435291290283,0.5166666666666667,0.5085106382978724,0.9958333333333333,0.0375,0.6732394366197183,0.8999999910000002,0.11669199319831562,0.6239409722222222,9,231,1,239,0.004608869552612305
16,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4062917232513428,0.6541666666666667,0.6312056737588653,0.7416666666666667,0.5666666666666667,0.681992337164751,0.6868686865217836,0.31316597494006576,0.7192881944444445,136,104,62,178,0.004516124725341797
17,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.446323871612549,0.5375,0.5199115044247787,0.9791666666666666,0.09583333333333334,0.6791907514450867,0.821428568494898,0.16000158027032502,0.7394444444444445,23,217,5,235,0.0044825077056884766
18,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.443765878677368,0.6125,0.5803571428571429,0.8125,0.4125,0.6770833333333334,0.6874999995225695,0.24549512651549144,0.6750520833333333,99,141,45,195,0.004795551300048828
19,HistGradient,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,2.4617927074432373,0.60625,0.5652173913043478,0.9208333333333333,0.2916666666666667,0.7004754358161648,0.7865168530488575,0.2733926244668061,0.6980208333333333,70,170,19,221,0.004525661468505859
