folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,InceptionV3,512,0.1,0.3,64,12,0.9880208373069763,0.9885177612304688,0.9864583611488342,0.9885416626930237,0.9874629974365234,0.9865544438362122,0.9750231504440308,0.9980296492576599,1898.0,22.0,26.0,1894.0,47.542160749435425,0.7566964030265808,0.7511013150215149,0.7611607313156128,0.7477678656578064,0.7558736801147461,0.7585417628288269,0.5092272162437439,0.8434560298919678,335.0,113.0,107.0,341.0,1.5273680686950684
2,InceptionV3,512,0.1,0.3,64,9,0.9916666746139526,0.9911412000656128,0.9906250238418579,0.9911458492279053,0.9908627867698669,0.9906890988349915,0.9817902445793152,0.9995277523994446,1903.0,17.0,18.0,1902.0,42.62284779548645,0.7566964030265808,0.7599999904632568,0.7633928656578064,0.7589285969734192,0.7619918584823608,0.7617655396461487,0.5224015712738037,0.8324596881866455,340.0,108.0,106.0,342.0,1.198484182357788
3,InceptionV3,512,0.1,0.3,64,8,0.9906250238418579,0.9921711683273315,0.9901041388511658,0.9921875,0.9911006689071655,0.9902163147926331,0.9823145270347595,0.9994021654129028,1905.0,15.0,19.0,1901.0,36.67875909805298,0.7633928656578064,0.7666666507720947,0.7700892686843872,0.765625,0.7685086131095886,0.7688245177268982,0.5357736945152283,0.8224176168441772,343.0,105.0,103.0,345.0,1.2102882862091064
4,InceptionV3,512,0.1,0.3,64,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1920.0,0.0,0.0,1920.0,61.11540961265564,0.7991071343421936,0.7991071343421936,0.7991071343421936,0.7991071343421936,0.7991070747375488,0.7991071343421936,0.5982142686843872,0.8457978367805481,358.0,90.0,90.0,358.0,1.2243478298187256
5,InceptionV3,512,0.1,0.3,64,17,1.0,0.9994794130325317,1.0,0.9994791746139526,0.9997416138648987,1.0,0.9994831681251526,0.9999997615814209,1919.0,1.0,0.0,1920.0,60.23213458061218,0.7946428656578064,0.7928730249404907,0.7946428656578064,0.7924107313156128,0.7937776446342468,0.7941468358039856,0.5870631337165833,0.8827353119850159,355.0,93.0,92.0,356.0,1.1804871559143066
6,InceptionV3,512,0.1,0.3,64,15,0.9994791746139526,0.9994791746139526,0.9994791746139526,0.9994791746139526,0.9994791746139526,0.9994791746139526,0.9989583492279053,0.9999997615814209,1919.0,1.0,1.0,1919.0,52.58690595626831,0.7924107313156128,0.7924107313156128,0.7924107313156128,0.7924107313156128,0.792410671710968,0.7924107313156128,0.5848214030265808,0.8611039519309998,355.0,93.0,93.0,355.0,1.1852097511291504
7,InceptionV3,512,0.1,0.3,64,21,1.0,1.0,0.9994791746139526,1.0,0.999737560749054,0.9994871616363525,0.9994831681251526,1.0,1920.0,0.0,1.0,1919.0,66.8774688243866,0.7723214030265808,0.7637969255447388,0.7723214030265808,0.7611607313156128,0.7681393623352051,0.7696162462234497,0.5336504578590393,0.8374921083450317,341.0,107.0,102.0,346.0,1.1890206336975098
8,InceptionV3,512,0.1,0.3,64,17,0.9989583492279053,0.9989583492279053,0.9989583492279053,0.9989583492279053,0.9989583492279053,0.9989583492279053,0.9979166388511658,0.9999922513961792,1918.0,2.0,2.0,1918.0,57.65382480621338,0.7879464030265808,0.7914798259735107,0.7879464030265808,0.7924107313156128,0.7895809412002563,0.7891483306884766,0.5803734660148621,0.8428953886032104,355.0,93.0,95.0,353.0,1.258770227432251
9,InceptionV3,512,0.1,0.3,64,8,0.9817708134651184,0.98023921251297,0.9817708134651184,0.9802083373069763,0.9810113906860352,0.9817525148391724,0.9620054364204407,0.9984989762306213,1882.0,38.0,35.0,1885.0,37.21512413024902,0.7723214030265808,0.773542582988739,0.7700892686843872,0.7745535969734192,0.7721776366233826,0.7704542875289917,0.5447306036949158,0.8250682353973389,347.0,101.0,103.0,345.0,1.29140305519104
10,InceptionV3,512,0.1,0.3,64,13,0.9979166388511658,0.998436689376831,0.9979166388511658,0.9984375238418579,0.9981750249862671,0.9979246854782104,0.9963581562042236,0.9999898076057434,1917.0,3.0,4.0,1916.0,47.81824731826782,0.7678571343421936,0.7683741450309753,0.7700892686843872,0.7678571343421936,0.7693105936050415,0.7694161534309387,0.53795325756073,0.8434062600135803,344.0,104.0,103.0,345.0,1.1915524005889893
