folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,KNN,0.7583333333333333,0.7883720930232558,0.70625,0.8104166666666667,0.7450549450549451,0.7339622640817016,0.5194927826319338,0.8439556206597223,778,182,282,678,15.538655519485474,0.6395833333333333,0.6293436293436293,0.6791666666666667,0.6,0.653306613226453,0.6515837101124056,0.2800456195225776,0.6847482638888889,144,96,77,163,0.13280749320983887
2,KNN,0.7536458333333333,0.8286099865047234,0.6395833333333333,0.8677083333333333,0.7219282774838329,0.706530958379429,0.5210302696218874,0.8439431423611111,833,127,346,614,15.187806606292725,0.6291666666666667,0.6490384615384616,0.5625,0.6958333333333333,0.6026785714285714,0.6139705880095696,0.2606607076735711,0.6795572916666667,167,73,105,135,0.12646269798278809
3,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,15.506739377975464,0.63125,0.6340425531914894,0.6208333333333333,0.6416666666666667,0.6273684210526317,0.6285714283148688,0.2625569846962102,0.6941319444444443,154,86,91,149,0.11240959167480469
4,KNN,0.809375,0.8270925110132159,0.7822916666666667,0.8364583333333333,0.80406852248394,0.7934782607911584,0.6196597171855459,0.8823193359375,803,157,209,751,15.977590560913086,0.6458333333333334,0.6590909090909091,0.6041666666666666,0.6875,0.6304347826086956,0.6346153843713017,0.29268470350248177,0.6890624999999999,165,75,95,145,0.13068938255310059
5,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,16.82468056678772,0.6291666666666667,0.628099173553719,0.6333333333333333,0.625,0.6307053941908712,0.6302521005755244,0.25834230370795047,0.6859635416666667,150,90,88,152,0.10776495933532715
6,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,17.281096696853638,0.5854166666666667,0.5773584905660377,0.6375,0.5333333333333333,0.6059405940594059,0.5953488369323959,0.17176777490249423,0.5854166666666667,128,112,87,153,0.12134385108947754
7,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,17.939926147460938,0.5520833333333334,0.5536480686695279,0.5375,0.5666666666666667,0.5454545454545454,0.5506072872264748,0.10421100195782704,0.5520833333333334,136,104,111,129,0.26233649253845215
8,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,18.533753395080566,0.6166666666666667,0.6157024793388429,0.6208333333333333,0.6125,0.6182572614107884,0.6176470585640138,0.23334143560718107,0.6500868055555556,147,93,91,149,0.12022852897644043
9,KNN,0.7489583333333333,0.7825059101654847,0.6895833333333333,0.8083333333333333,0.7331118493909192,0.7225325883871012,0.5014649397227477,0.8312641059027777,776,184,298,662,18.824746131896973,0.5645833333333333,0.5720930232558139,0.5125,0.6166666666666667,0.5406593406593406,0.5584905658269846,0.12987319565798344,0.6066319444444445,148,92,117,123,0.1313462257385254
10,KNN,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,19.318430423736572,0.6541666666666667,0.6567796610169492,0.6458333333333334,0.6625,0.6512605042016808,0.6516393439952298,0.3083761663311552,0.6895486111111111,159,81,85,155,0.11161375045776367
