folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,MobileNet,1024,0.1,0.5,32,5,0.9854166507720947,0.985401451587677,0.984375,0.9854166507720947,0.9849033355712891,0.9844045042991638,0.9698379635810852,0.998995840549469,1892.0,28.0,30.0,1890.0,14.911275148391724,0.7229166626930237,0.7344753742218018,0.7145833373069763,0.7416666746139526,0.724609375,0.7216810584068298,0.45656105875968933,0.7963670492172241,356.0,124.0,137.0,343.0,0.49268174171447754
2,MobileNet,1024,0.1,0.5,32,12,0.9942708611488342,0.995312511920929,0.995312511920929,0.995312511920929,0.9953123927116394,0.9953282475471497,0.9906407594680786,0.9998839497566223,1911.0,9.0,9.0,1911.0,20.140246391296387,0.8187500238418579,0.8090348839759827,0.8208333253860474,0.8062499761581421,0.8150846362113953,0.8179693222045898,0.6274213194847107,0.867847204208374,387.0,93.0,86.0,394.0,0.3717317581176758
3,MobileNet,1024,0.1,0.5,32,3,0.9463541507720947,0.9473134875297546,0.9458333253860474,0.9473958611488342,0.9465715885162354,0.9461020827293396,0.8934237957000732,0.9845787882804871,1819.0,101.0,104.0,1816.0,11.507052659988403,0.7729166746139526,0.7791932225227356,0.7645833492279053,0.7833333611488342,0.7711896896362305,0.7703507542610168,0.5485727787017822,0.8478341102600098,376.0,104.0,113.0,367.0,0.36657047271728516
4,MobileNet,1024,0.1,0.5,32,7,0.9947916865348816,0.9947889447212219,0.9942708611488342,0.9947916865348816,0.9945271015167236,0.9942865967750549,0.9890703558921814,0.9997734427452087,1910.0,10.0,11.0,1909.0,14.771992206573486,0.8041666746139526,0.7962962985038757,0.8062499761581421,0.793749988079071,0.8011583089828491,0.8042016625404358,0.6003333926200867,0.8498893976211548,381.0,99.0,93.0,387.0,0.369281530380249
5,MobileNet,1024,0.1,0.5,32,5,0.9895833134651184,0.9885416626930237,0.9885416626930237,0.9885416626930237,0.9885489344596863,0.9886195063591003,0.9771774411201477,0.9993670582771301,1898.0,22.0,22.0,1898.0,13.242843389511108,0.7458333373069763,0.7392197251319885,0.75,0.7354166507720947,0.7444087266921997,0.7468449473381042,0.4858011305332184,0.789364218711853,353.0,127.0,120.0,360.0,0.3707258701324463
6,MobileNet,1024,0.1,0.5,32,9,0.9989583492279053,0.9989578127861023,0.9984375238418579,0.9989583492279053,0.9986854195594788,0.9984847903251648,0.997418999671936,0.9999926686286926,1918.0,2.0,3.0,1917.0,16.96222162246704,0.7979166507720947,0.7920168042182922,0.7854166626930237,0.793749988079071,0.7883380055427551,0.7881050705909729,0.5794651508331299,0.8538150787353516,381.0,99.0,103.0,377.0,0.34703636169433594
7,MobileNet,1024,0.1,0.5,32,5,0.9729166626930237,0.9723814725875854,0.971875011920929,0.9723958373069763,0.9721612930297852,0.9719131588935852,0.9443662166595459,0.9953400492668152,1867.0,53.0,54.0,1866.0,13.667874574661255,0.7416666746139526,0.7387754917144775,0.7541666626930237,0.7333333492279053,0.7460994124412537,0.7496415376663208,0.48777735233306885,0.8099154233932495,352.0,128.0,118.0,362.0,0.3737473487854004
8,MobileNet,1024,0.1,0.5,32,13,0.996874988079071,0.9963541626930237,0.9963541626930237,0.9963541626930237,0.9963457584381104,0.9963856935501099,0.9927235841751099,0.9999362230300903,1913.0,7.0,7.0,1913.0,20.999303340911865,0.7416666746139526,0.7392197251319885,0.75,0.7354166507720947,0.7445037961006165,0.7465084791183472,0.4856545031070709,0.8197178840637207,353.0,127.0,120.0,360.0,0.3305501937866211
9,MobileNet,1024,0.1,0.5,32,6,0.995312511920929,0.9937629699707031,0.9958333373069763,0.9937499761581421,0.9948470592498779,0.995763897895813,0.9896256327629089,0.9997485280036926,1908.0,12.0,8.0,1912.0,14.172903537750244,0.7916666865348816,0.793749988079071,0.793749988079071,0.793749988079071,0.7935754060745239,0.7941592931747437,0.5875834822654724,0.8484417796134949,381.0,99.0,99.0,381.0,0.3398146629333496
10,MobileNet,1024,0.1,0.5,32,3,0.9630208611488342,0.9615184664726257,0.9630208611488342,0.9614583253860474,0.9622951745986938,0.9630821347236633,0.9246605634689331,0.993972897529602,1846.0,74.0,71.0,1849.0,11.610928535461426,0.7833333611488342,0.7842323780059814,0.7875000238418579,0.7833333611488342,0.7854019999504089,0.7877750992774963,0.5711658000946045,0.8592208623886108,376.0,104.0,102.0,378.0,0.34485459327697754
11,MobileNet,1024,0.1,0.5,32,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1920.0,0.0,0.0,1920.0,31.545048236846924,0.7541666626930237,0.74842768907547,0.7437499761581421,0.75,0.747380793094635,0.7428350448608398,0.49391821026802063,0.7869987487792969,360.0,120.0,123.0,357.0,0.38639259338378906
