folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,MobileNetV2,128,0.1,0.3,32,1,0.7927083373069763,0.7954545617103577,0.8020833134651184,0.793749988079071,0.7986412048339844,0.8012354969978333,0.5967117547988892,0.8817698955535889,1524.0,396.0,380.0,1540.0,14.76006817817688,0.5708333253860474,0.5488215684890747,0.3395833373069763,0.7208333611488342,0.4062141180038452,0.5245288610458374,0.05185460299253464,0.5619140267372131,346.0,134.0,317.0,163.0,0.5378890037536621
2,MobileNetV2,128,0.1,0.3,32,3,0.9078124761581421,0.9102296233177185,0.9083333611488342,0.9104166626930237,0.9092113375663757,0.9089106917381287,0.8190410733222961,0.9688970446586609,1748.0,172.0,176.0,1744.0,18.414164304733276,0.5145833492279053,0.515418529510498,0.48750001192092896,0.5416666865348816,0.4947684109210968,0.5245028734207153,0.02835559844970703,0.5585893988609314,260.0,220.0,246.0,234.0,0.5452711582183838
3,MobileNetV2,128,0.1,0.3,32,15,0.9989583492279053,0.99843829870224,0.9989583492279053,0.9984375238418579,0.9987019300460815,0.9989583492279053,0.9974037408828735,0.9999951124191284,1917.0,3.0,2.0,1918.0,36.255593061447144,0.7229166626930237,0.7402597665786743,0.7124999761581421,0.75,0.7249261736869812,0.7251016497612,0.46304818987846375,0.7974804043769836,360.0,120.0,138.0,342.0,0.6091277599334717
4,MobileNetV2,128,0.1,0.3,32,0,0.6635416746139526,0.6607657670974731,0.668749988079071,0.6442708373069763,0.6541622281074524,0.652389407157898,0.3031521141529083,0.7192822694778442,1576.0,824.0,795.0,1605.0,12.733306407928467,0.6000000238418579,0.6098191142082214,0.49166667461395264,0.6854166388511658,0.543380618095398,0.571121335029602,0.19350691139698029,0.6306250095367432,329.0,151.0,244.0,236.0,0.5788793563842773
5,MobileNetV2,128,0.1,0.3,32,5,0.956250011920929,0.9567708373069763,0.9567708373069763,0.9567708373069763,0.956725001335144,0.9570085406303406,0.913700520992279,0.9924693703651428,1837.0,83.0,83.0,1837.0,20.588338375091553,0.6354166865348816,0.6124314665794373,0.6979166865348816,0.5583333373069763,0.6522085666656494,0.6494174599647522,0.25986945629119873,0.6908376812934875,268.0,212.0,145.0,335.0,0.9580156803131104
6,MobileNetV2,128,0.1,0.3,32,8,0.9697916507720947,0.9708181619644165,0.9703124761581421,0.9708333611488342,0.9705426096916199,0.9704513549804688,0.9412279725074768,0.996539294719696,1864.0,56.0,57.0,1863.0,25.851533889770508,0.6458333134651184,0.6493775844573975,0.6520833373069763,0.6479166746139526,0.6513350605964661,0.6494119167327881,0.3001262843608856,0.6887043714523315,311.0,169.0,167.0,313.0,0.5531039237976074
7,MobileNetV2,128,0.1,0.3,32,0,0.6755208373069763,0.6561592817306519,0.659166693687439,0.6583333611488342,0.6616858243942261,0.6632059216499329,0.3232051134109497,0.7069163918495178,1571.0,829.0,818.0,1582.0,12.966002702713013,0.543749988079071,0.5201072096824646,0.8083333373069763,0.2541666626930237,0.6308282017707825,0.5728139877319336,0.0760572999715805,0.5677626132965088,122.0,358.0,92.0,388.0,0.537670373916626
8,MobileNetV2,128,0.1,0.3,32,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1920.0,0.0,0.0,1920.0,67.69577097892761,0.6791666746139526,0.6772152185440063,0.668749988079071,0.6812499761581421,0.6726072430610657,0.6735033392906189,0.3501366078853607,0.7524110674858093,327.0,153.0,159.0,321.0,0.5653705596923828
9,MobileNetV2,128,0.1,0.3,32,1,0.8296874761581421,0.8242678046226501,0.8208333253860474,0.824999988079071,0.8221882581710815,0.8226882219314575,0.6464641690254211,0.8984218239784241,1584.0,336.0,344.0,1576.0,14.520748138427734,0.6020833253860474,0.6785714030265808,0.23749999701976776,0.887499988079071,0.32133394479751587,0.5413640141487122,0.14939025044441223,0.585390567779541,426.0,54.0,366.0,114.0,0.5859668254852295
10,MobileNetV2,128,0.1,0.3,32,19,0.996874988079071,0.9958376884460449,0.996874988079071,0.9958333373069763,0.9963621497154236,0.996874988079071,0.9927241206169128,0.9999228715896606,1912.0,8.0,6.0,1914.0,42.950644731521606,0.7354166507720947,0.7254098653793335,0.737500011920929,0.7208333611488342,0.7322291135787964,0.7311041951179504,0.4583858251571655,0.7888910174369812,346.0,134.0,126.0,354.0,0.5503504276275635
11,MobileNetV2,128,0.1,0.3,32,0,0.6875,0.6829574108123779,0.6812499761581421,0.6744791865348816,0.6702279448509216,0.6704370975494385,0.34377869963645935,0.7526001930236816,1641.0,759.0,765.0,1635.0,13.02016282081604,0.5166666507720947,0.5141509175300598,0.6812499761581421,0.35624998807907104,0.5916315913200378,0.5295127034187317,0.041396211832761765,0.5350868105888367,171.0,309.0,153.0,327.0,0.5928359031677246
12,MobileNetV2,128,0.1,0.3,32,20,0.996874988079071,0.996874988079071,0.996874988079071,0.996874988079071,0.996874988079071,0.996874988079071,0.9937499761581421,0.9994781613349915,1914.0,6.0,6.0,1914.0,45.439555168151855,0.8125,0.808247447013855,0.8166666626930237,0.8062499761581421,0.8120746612548828,0.8155547380447388,0.6230704188346863,0.8852691054344177,387.0,93.0,88.0,392.0,0.5873532295227051
13,MobileNetV2,128,0.1,0.3,32,30,1.0,1.0,0.9994791746139526,1.0,0.9997354745864868,0.9994949102401733,0.999487042427063,0.9999998211860657,1920.0,0.0,1.0,1919.0,61.37336039543152,0.8125,0.8103092908859253,0.8187500238418579,0.8083333373069763,0.8142445683479309,0.8175330758094788,0.6273227334022522,0.8667946457862854,388.0,92.0,87.0,393.0,0.5416727066040039
14,MobileNetV2,128,0.1,0.3,32,5,0.9468749761581421,0.946270227432251,0.9447916746139526,0.9463541507720947,0.9456310272216797,0.9448900818824768,0.8913871645927429,0.9871729612350464,1817.0,103.0,106.0,1814.0,20.28870987892151,0.5562499761581421,0.551578938961029,0.5458333492279053,0.5562499761581421,0.5488577485084534,0.5499069094657898,0.102109894156456,0.584047257900238,267.0,213.0,218.0,262.0,0.5943071842193604
15,MobileNetV2,128,0.1,0.3,32,3,0.910937488079071,0.9098019003868103,0.9088541865348816,0.9098958373069763,0.909198522567749,0.9094993472099304,0.8190867304801941,0.9675666689872742,1747.0,173.0,175.0,1745.0,17.89032506942749,0.5770833492279053,0.5593220591545105,0.6187499761581421,0.512499988079071,0.5911577939987183,0.5614509582519531,0.1301165521144867,0.5499349236488342,246.0,234.0,183.0,297.0,0.5373191833496094
16,MobileNetV2,128,0.1,0.3,32,0,0.6994791626930237,0.6652754545211792,0.6641666889190674,0.6916666626930237,0.6863132119178772,0.6877354383468628,0.37654078006744385,0.7078683972358704,1598.0,802.0,806.0,1594.0,12.944404363632202,0.5,0.5,0.5083333253860474,0.49166667461395264,0.5040093064308167,0.5,-5.929469989496283e-05,0.5258593559265137,236.0,244.0,236.0,244.0,1.0240604877471924
17,MobileNetV2,128,0.1,0.3,32,1,0.8088541626930237,0.7977296113967896,0.8052083253860474,0.7958333492279053,0.8014698028564453,0.8038180470466614,0.6017500162124634,0.8823855519294739,1528.0,392.0,374.0,1546.0,14.19351577758789,0.5062500238418579,0.5170068144798279,0.4749999940395355,0.5562499761581421,0.48871761560440063,0.5240131616592407,0.02986670285463333,0.474835067987442,267.0,213.0,252.0,228.0,0.5337731838226318
18,MobileNetV2,128,0.1,0.3,32,36,0.9979166388511658,0.996874988079071,0.996874988079071,0.996874988079071,0.9968664646148682,0.9969223141670227,0.9937810301780701,0.9999722838401794,1914.0,6.0,6.0,1914.0,68.55705523490906,0.71875,0.7163865566253662,0.7104166746139526,0.71875,0.7134171724319458,0.7127830982208252,0.42925626039505005,0.7911915183067322,345.0,135.0,139.0,341.0,0.9714310169219971
19,MobileNetV2,128,0.1,0.3,32,2,0.870312511920929,0.868434727191925,0.8697916865348816,0.8682291507720947,0.8691398501396179,0.8698987364768982,0.7384846210479736,0.9440504312515259,1667.0,253.0,250.0,1670.0,15.879270792007446,0.637499988079071,0.6465696692466736,0.6479166746139526,0.6458333134651184,0.6462612748146057,0.6487922668457031,0.29392513632774353,0.7016558647155762,310.0,170.0,169.0,311.0,0.531360387802124
20,MobileNetV2,128,0.1,0.3,32,1,0.8203125,0.8192771077156067,0.8145833611488342,0.8203125,0.8166155219078064,0.8169023990631104,0.6358218789100647,0.8901166319847107,1575.0,345.0,356.0,1564.0,14.899336338043213,0.5979166626930237,0.5751879811286926,0.637499988079071,0.5291666388511658,0.6025993824005127,0.5956689715385437,0.16799665987491608,0.5818164348602295,254.0,226.0,174.0,306.0,0.5279207229614258
21,MobileNetV2,128,0.1,0.3,32,1,0.817187488079071,0.8106416463851929,0.809374988079071,0.8109375238418579,0.8098809719085693,0.8104327321052551,0.6210570931434631,0.8954180479049683,1557.0,363.0,366.0,1554.0,14.039676189422607,0.5020833611488342,0.4966740608215332,0.46666666865348816,0.5270833373069763,0.4818791151046753,0.49651435017585754,-0.00488700857385993,0.4974544644355774,253.0,227.0,256.0,224.0,0.6107099056243896
