folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,NBayes,0.6645833333333333,0.7010178117048346,0.5739583333333333,0.7552083333333334,0.6311569301260023,0.6393298059400944,0.33471045819735046,0.7218967013888888,725,235,409,551,0.2869455814361572,0.6333333333333333,0.6194029850746269,0.6916666666666667,0.575,0.6535433070866141,0.6509433959193663,0.2685002203852811,0.6938368055555555,138,102,74,166,0.00106048583984375
2,NBayes,0.6375,0.6654135338345865,0.553125,0.721875,0.6040955631399317,0.6176470587684806,0.27900118813543046,0.6870149739583333,693,267,429,531,0.2845335006713867,0.5583333333333333,0.551094890510949,0.6291666666666667,0.4875,0.5875486381322957,0.5679611647728344,0.11785530598410691,0.5922135416666666,117,123,89,151,0.001973390579223633
3,NBayes,0.6109375,0.6200676437429538,0.5729166666666666,0.6489583333333333,0.5955603681645912,0.6030977734169314,0.22251927319965634,0.6623817274305556,623,337,410,550,0.3004879951477051,0.6020833333333333,0.9454545454545454,0.21666666666666667,0.9875,0.352542372881356,0.5576470586923183,0.320494270682187,0.734548611111111,237,3,188,52,0.0010454654693603516
4,NBayes,0.6104166666666667,0.6625766871165644,0.45,0.7708333333333334,0.5359801488833748,0.5835962144650161,0.23315913544779424,0.6680295138888889,740,220,528,432,0.36826324462890625,0.5666666666666667,0.7352941176470589,0.20833333333333334,0.925,0.3246753246753247,0.5388349513255255,0.1911819618769405,0.6510243055555556,222,18,190,50,0.0022215843200683594
5,NBayes,0.6015625,0.5947521865889213,0.6375,0.565625,0.6153846153846154,0.6094276093592113,0.20365171510659516,0.6458886718750001,543,417,348,612,0.36917710304260254,0.60625,0.5775075987841946,0.7916666666666666,0.42083333333333334,0.6678383128295255,0.6688741717424674,0.228814611270883,0.7120486111111112,101,139,50,190,0.0019474029541015625
6,NBayes,0.6380208333333334,0.6270373921380633,0.68125,0.5947916666666667,0.653020469296056,0.6510832382381889,0.27707919872111997,0.694626193576389,571,389,306,654,0.45424556732177734,0.5333333333333333,1.0,0.06666666666666667,1.0,0.125,0.5172413791988704,0.18569533817705183,0.7238541666666667,240,0,224,16,0.0019071102142333984
7,NBayes,0.6026041666666667,0.6546310832025117,0.434375,0.7708333333333334,0.5222291797119599,0.5767731877960426,0.2179130211507644,0.66671875,740,220,543,417,0.5228114128112793,0.4875,0.4875,0.4875,0.4875,0.4875,0.487499999796875,-0.025,0.4983680555555555,117,123,123,117,0.0019021034240722656
8,NBayes,0.5859375,0.655367231638418,0.3625,0.809375,0.4668008048289738,0.5593952483398563,0.192125743338023,0.6440559895833333,777,183,612,348,0.5720081329345703,0.5375,0.5608108108108109,0.3458333333333333,0.7291666666666666,0.4278350515463918,0.5271084335761721,0.08120309933082169,0.5532291666666667,175,65,157,83,0.0010952949523925781
9,NBayes,0.6510416666666666,0.6327838827838828,0.7197916666666667,0.5822916666666667,0.6734892787524367,0.6751207728653236,0.30498010550197396,0.7194308810763889,559,401,269,691,0.7514290809631348,0.5020833333333333,0.5013623978201635,0.7666666666666667,0.2375,0.6062602965403624,0.5044247783146684,0.004910522961468155,0.5403645833333334,57,183,56,184,0.0010595321655273438
10,NBayes,0.6057291666666667,0.6828828828828829,0.39479166666666665,0.8166666666666667,0.5003300330033004,0.5743589743168968,0.23322936006415315,0.6589995659722222,784,176,581,379,0.7205791473388672,0.6270833333333333,0.6224899598393574,0.6458333333333334,0.6083333333333333,0.6339468302658487,0.632034631761024,0.2543455663095106,0.6806249999999999,146,94,85,155,0.0019402503967285156
