folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,DAnalysisQuadratic,0.7083333333333334,0.8095975232198143,0.5447916666666667,0.871875,0.6513075965130759,0.6569858712200167,0.4409192076840721,0.8256184895833333,837,123,437,523,0.2594776153564453,0.6583333333333333,0.6532258064516129,0.675,0.6416666666666667,0.6639344262295083,0.6637931031621581,0.3168427393334083,0.7138020833333333,154,86,78,162,0.00480961799621582
2,DAnalysisQuadratic,0.7119791666666667,0.8235294117647058,0.5395833333333333,0.884375,0.6519823788546255,0.6576297443332587,0.45165410870373196,0.8156575520833333,849,111,442,518,0.24329519271850586,0.6083333333333333,0.6056910569105691,0.6208333333333333,0.5958333333333333,0.6131687242798355,0.6111111108499525,0.21673440675482067,0.6561979166666666,143,97,91,149,0.0046803951263427734
3,DAnalysisQuadratic,0.7010416666666667,0.8034591194968553,0.5322916666666667,0.8697916666666666,0.6403508771929824,0.6503115264291034,0.42714589299569966,0.8102821180555555,835,125,449,511,0.2378547191619873,0.7020833333333333,0.8489208633093526,0.49166666666666664,0.9125,0.6226912928759895,0.6422287388145956,0.4455404556280105,0.7898958333333334,219,21,122,118,0.0045359134674072266
4,DAnalysisQuadratic,0.6807291666666667,0.8395303326810176,0.446875,0.9145833333333333,0.583276682528892,0.6231369765349086,0.40894370577500316,0.8074641927083334,878,82,531,429,0.24880003929138184,0.675,0.7282608695652174,0.5583333333333333,0.7916666666666666,0.6320754716981132,0.6418918916750365,0.35993536435030704,0.7337673611111111,190,50,106,134,0.004566669464111328
5,DAnalysisQuadratic,0.6744791666666666,0.7417027417027418,0.5354166666666667,0.8135416666666667,0.6218995765275257,0.6365118173890373,0.3632920618471743,0.7541807725694445,781,179,446,514,0.2828707695007324,0.6666666666666666,0.6869158878504673,0.6125,0.7208333333333333,0.6475770925110133,0.6503759396051217,0.33530673902169605,0.7506076388888889,173,67,93,147,0.005055904388427734
6,DAnalysisQuadratic,0.7119791666666667,0.7862165963431786,0.5822916666666667,0.8416666666666667,0.6690604428485937,0.6683209263301636,0.438981742870348,0.7955056423611111,808,152,401,559,0.30055856704711914,0.6541666666666667,0.6468253968253969,0.6791666666666667,0.6291666666666667,0.6626016260162603,0.6622807014639119,0.3087194741650846,0.7101562499999999,151,89,77,163,0.0046291351318359375
7,DAnalysisQuadratic,0.6755208333333333,0.8103130755064457,0.4583333333333333,0.8927083333333333,0.5854956753160345,0.622367465459523,0.38972926275915537,0.7763932291666666,857,103,520,440,0.2960855960845947,0.5520833333333334,0.569060773480663,0.42916666666666664,0.675,0.4893111638954869,0.5418060198856836,0.10746452590445865,0.5590277777777778,162,78,137,103,0.007900714874267578
8,DAnalysisQuadratic,0.696875,0.8351063829787234,0.490625,0.903125,0.6181102362204725,0.6393805309262993,0.432237460626296,0.8145106336805557,867,93,489,471,0.3162832260131836,0.6041666666666666,0.616822429906542,0.55,0.6583333333333333,0.5814977973568282,0.5939849621827124,0.20956671188856002,0.6438715277777778,158,82,108,132,0.010814905166625977
9,DAnalysisQuadratic,0.7052083333333333,0.8420138888888888,0.5052083333333334,0.9052083333333333,0.6315104166666666,0.6465773809042725,0.4478012955884427,0.827121310763889,869,91,475,485,0.3207559585571289,0.5729166666666666,0.6011560693641619,0.43333333333333335,0.7125,0.5036319612590799,0.5570032571475559,0.15187133307315773,0.6244097222222222,171,69,136,104,0.005422353744506836
10,DAnalysisQuadratic,0.6932291666666667,0.8441558441558441,0.4739583333333333,0.9125,0.6070713809206137,0.6343229543349512,0.430014091650308,0.8210340711805556,876,84,505,455,0.4089016914367676,0.6604166666666667,0.6521739130434783,0.6875,0.6333333333333333,0.6693711967545639,0.6696035239340954,0.32130503854065345,0.7340625000000001,152,88,75,165,0.00843048095703125
11,DAnalysisQuadratic,0.6625,0.808300395256917,0.42604166666666665,0.8989583333333333,0.557980900409277,0.6103253182029472,0.36885411328665413,0.7817013888888888,863,97,551,409,0.27286481857299805,0.50625,0.5037037037037037,0.85,0.1625,0.6325581395348837,0.5199999993066667,0.01721325931647741,0.5232638888888889,39,201,36,204,0.005974292755126953
12,DAnalysisQuadratic,0.6916666666666667,0.8274021352313167,0.484375,0.8989583333333333,0.6110381077529566,0.6354933725599784,0.4212401666562695,0.8115581597222222,863,97,495,465,0.3491182327270508,0.675,0.71,0.5916666666666667,0.7583333333333333,0.6454545454545454,0.649999999767857,0.35496478698597694,0.7296180555555555,182,58,98,142,0.018208026885986328
13,DAnalysisQuadratic,0.6973958333333333,0.8261617900172117,0.5,0.8947916666666667,0.6229720960415315,0.6415235249707599,0.4296955491956381,0.8242230902777778,859,101,480,480,0.22448134422302246,0.6520833333333333,0.6514522821576764,0.6541666666666667,0.65,0.6528066528066528,0.652719664998862,0.30416930703669465,0.7000347222222222,156,84,83,157,0.005924224853515625
14,DAnalysisQuadratic,0.6796875,0.8212290502793296,0.459375,0.9,0.5891783567134269,0.6247288502802075,0.40033251245660445,0.7852680121527778,864,96,519,441,0.40439939498901367,0.64375,0.6699507389162561,0.5666666666666667,0.7208333333333333,0.6139954853273137,0.624548736236625,0.2909786919540254,0.6833680555555555,173,67,104,136,0.023500919342041016
15,DAnalysisQuadratic,0.7010416666666667,0.8697318007662835,0.47291666666666665,0.9291666666666667,0.6126855600539811,0.6380543633306113,0.45185434987280776,0.8223828125,892,68,506,454,0.29874610900878906,0.5416666666666666,0.5241545893719807,0.9041666666666667,0.17916666666666667,0.6636085626911314,0.6515151505280075,0.12099233477343795,0.5696180555555556,43,197,23,217,0.05129599571228027
16,DAnalysisQuadratic,0.6973958333333333,0.8261617900172117,0.5,0.8947916666666667,0.6229720960415315,0.6415235249707599,0.4296955491956381,0.8083409288194445,859,101,480,480,0.286177396774292,0.64375,0.6699507389162561,0.5666666666666667,0.7208333333333333,0.6139954853273137,0.624548736236625,0.2909786919540254,0.7151909722222223,173,67,104,136,0.008145809173583984
17,DAnalysisQuadratic,0.6817708333333333,0.8323809523809523,0.4552083333333333,0.9083333333333333,0.5885521885521885,0.6250896056899578,0.4078107516340378,0.8087988281249999,872,88,523,437,0.44151759147644043,0.5479166666666667,0.5282555282555282,0.8958333333333334,0.2,0.6646058732612056,0.6575342456746107,0.13343482836685397,0.6488715277777778,48,192,25,215,0.022551536560058594
18,DAnalysisQuadratic,0.7109375,0.8336079077429983,0.5270833333333333,0.8947916666666667,0.6458200382897256,0.6542269611078273,0.4536577292601359,0.8244053819444443,859,101,454,506,0.2926797866821289,0.5854166666666667,0.5895196506550219,0.5625,0.6083333333333333,0.5756929637526652,0.581673306541166,0.1710130508487722,0.6419618055555556,146,94,105,135,0.005373239517211914
19,DAnalysisQuadratic,0.6796875,0.8096947935368043,0.46979166666666666,0.8895833333333333,0.5945945945945946,0.6265590608491152,0.3959529377798074,0.7749446614583333,854,106,509,451,0.3712594509124756,0.56875,0.5570934256055363,0.6708333333333333,0.4666666666666667,0.6086956521739131,0.5863874342479647,0.14045859985088185,0.6165104166666666,112,128,79,161,0.016424894332885742
20,DAnalysisQuadratic,0.6947916666666667,0.8375451263537906,0.48333333333333334,0.90625,0.6129458388375165,0.636896046805498,0.42992368360923916,0.8174435763888889,870,90,496,464,0.28309154510498047,0.5770833333333333,0.5677655677655677,0.6458333333333334,0.5083333333333333,0.6042884990253412,0.5893719803916078,0.1556450193596281,0.6108159722222222,122,118,85,155,0.0076410770416259766
21,DAnalysisQuadratic,0.6510416666666666,0.7935222672064778,0.4083333333333333,0.89375,0.5392022008253096,0.6016830294108216,0.3455212487907054,0.7429372829861112,858,102,568,392,0.30297231674194336,0.6166666666666667,0.5939597315436241,0.7375,0.49583333333333335,0.6579925650557622,0.6538461534868978,0.24046075201083206,0.6767708333333334,119,121,63,177,0.036672353744506836
22,DAnalysisQuadratic,0.696875,0.8362989323843416,0.4895833333333333,0.9041666666666667,0.6176084099868594,0.6391752576848914,0.4326869103154073,0.8215418836805555,868,92,490,470,0.3387887477874756,0.5270833333333333,0.5151515151515151,0.9208333333333333,0.13333333333333333,0.6606875934230193,0.6274509791618608,0.08788800738410732,0.5933680555555556,32,208,19,221,0.007841825485229492
23,DAnalysisQuadratic,0.6729166666666667,0.8204633204633205,0.4427083333333333,0.903125,0.5751014884979702,0.618402282409529,0.38958228186368365,0.783916015625,867,93,535,425,0.2739882469177246,0.6270833333333333,0.6117216117216118,0.6958333333333333,0.5583333333333333,0.6510721247563354,0.647342994856356,0.2566039508361436,0.6754340277777778,134,106,73,167,0.03136181831359863
24,DAnalysisQuadratic,0.66875,0.8292682926829268,0.425,0.9125,0.5619834710743802,0.6134453781083021,0.38654348255602267,0.8010134548611111,876,84,552,408,0.2842702865600586,0.65625,0.6482213438735178,0.6833333333333333,0.6291666666666667,0.665314401622718,0.6651982375924237,0.31295945312401313,0.7113020833333332,151,89,76,164,0.006783962249755859
25,DAnalysisQuadratic,0.7098958333333333,0.8352745424292846,0.5229166666666667,0.896875,0.6431774503523382,0.6527672478655976,0.45263216475593926,0.8184733072916667,861,99,458,502,0.3435697555541992,0.6083333333333333,0.6140350877192983,0.5833333333333334,0.6333333333333333,0.5982905982905983,0.6031746029352482,0.21693800887276218,0.6703645833333333,152,88,100,140,0.017368316650390625
26,DAnalysisQuadratic,0.6598958333333333,0.8178053830227743,0.4114583333333333,0.9083333333333333,0.5474705474705475,0.6068197633537356,0.3684990953609325,0.7741091579861112,872,88,565,395,0.47026562690734863,0.6354166666666666,0.6101694915254238,0.75,0.5208333333333334,0.6728971962616822,0.6756756753104456,0.2782380266072518,0.7085937499999999,125,115,60,180,0.007412433624267578
27,DAnalysisQuadratic,0.6682291666666667,0.8580931263858093,0.403125,0.9333333333333333,0.5485471296952515,0.6099387337910185,0.39682895513806093,0.8163856336805556,896,64,573,387,0.2910454273223877,0.5520833333333334,0.531328320802005,0.8833333333333333,0.22083333333333333,0.6635367762128326,0.6543209868465173,0.13906282620048857,0.5630555555555555,53,187,28,212,0.006810188293457031
28,DAnalysisQuadratic,0.6989583333333333,0.8422939068100358,0.4895833333333333,0.9083333333333333,0.6192358366271409,0.6402349485579857,0.4381852048132503,0.8111273871527778,872,88,490,470,0.24096417427062988,0.6229166666666667,0.6130268199233716,0.6666666666666666,0.5791666666666667,0.6387225548902196,0.6347031960572131,0.24677985263484178,0.6735243055555555,139,101,80,160,0.005401134490966797
