folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,31.38411521911621,0.60625,0.5702479338842975,0.8625,0.35,0.6865671641791046,0.7179487173350866,0.24747078315331647,0.6733506944444445,84,156,33,207,0.28046464920043945
2,RandomForest,0.9875,0.9957627118644068,0.9791666666666666,0.9958333333333333,0.9873949579831932,0.979508196620952,0.9751354448850044,0.9994900173611111,956,4,20,940,19.39893412590027,0.6333333333333333,0.6194029850746269,0.6916666666666667,0.575,0.6535433070866141,0.6509433959193663,0.2685002203852811,0.6746180555555555,138,102,74,166,0.0036458969116210938
3,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,36.719698905944824,0.6916666666666667,0.6642857142857143,0.775,0.6083333333333333,0.7153846153846154,0.7299999996350001,0.3887709571751176,0.7668663194444445,146,94,54,186,0.28400564193725586
4,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,21.693580150604248,0.6583333333333333,0.620253164556962,0.8166666666666667,0.5,0.7050359712230216,0.7317073166270077,0.3338474988916477,0.7506163194444445,120,120,44,196,0.028411149978637695
5,RandomForest,0.9859375,0.9968051118210862,0.975,0.996875,0.985781990521327,0.9755351680962757,0.9721076121712721,0.9991324869791667,957,3,24,936,20.177565336227417,0.6291666666666667,0.6091549295774648,0.7208333333333333,0.5375,0.6603053435114503,0.6581632649703248,0.2627873671714961,0.6692100694444445,129,111,67,173,0.0034329891204833984
6,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,0.9999999999999999,960,0,0,960,20.650084257125854,0.6104166666666667,0.5791044776119403,0.8083333333333333,0.4125,0.6747826086956521,0.6827586202187872,0.24047474061725416,0.6985677083333334,99,141,46,194,0.027875900268554688
7,RandomForest,0.9885416666666667,0.9989361702127659,0.978125,0.9989583333333333,0.9884210526315789,0.9785714284715744,0.9772954430358934,0.9994840494791667,959,1,21,939,19.064109325408936,0.5375,0.5321428571428571,0.6208333333333333,0.45416666666666666,0.573076923076923,0.5449999997275,0.07606388292556648,0.5346180555555555,109,131,91,149,0.0036973953247070312
8,RandomForest,0.9890625,0.9957761351636748,0.9822916666666667,0.9958333333333333,0.9889879391714735,0.9825282630028235,0.978214695021178,0.9996115451388888,956,4,17,943,19.37942600250244,0.5895833333333333,0.6048780487804878,0.5166666666666667,0.6625,0.5573033707865169,0.5781818179715702,0.18110280551134436,0.6098697916666665,159,81,116,124,0.0034363269805908203
9,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,26.224186897277832,0.5791666666666667,0.5629139072847682,0.7083333333333334,0.45,0.6273062730627306,0.6067415726928418,0.1638966678035037,0.6155989583333332,108,132,70,170,0.2830052375793457
10,RandomForest,1.0,1.0,1.0,1.0,1.0,0.9999999998958333,1.0,1.0,960,0,0,960,32.80889844894409,0.6520833333333333,0.6181229773462783,0.7958333333333333,0.5083333333333333,0.6958105646630236,0.7134502919804384,0.31757445774775633,0.6899305555555556,122,118,49,191,0.2858881950378418
