folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,ResNet152V2,128,0.1,0.3,32,6,0.9786458611488342,0.9791558384895325,0.9786458611488342,0.9791666865348816,0.9788768291473389,0.9787395000457764,0.957849383354187,0.9961152672767639,1880.0,40.0,41.0,1879.0,83.45955872535706,0.8291666507720947,0.8308976888656616,0.8291666507720947,0.831250011920929,0.8299602270126343,0.8296717405319214,0.6604339480400085,0.8936849236488342,399.0,81.0,82.0,398.0,1.74184250831604
2,ResNet152V2,128,0.1,0.3,32,15,0.9994791746139526,0.9994791746139526,0.9994791746139526,0.9994791746139526,0.9994791746139526,0.9994791746139526,0.9989583492279053,0.9999997019767761,1919.0,1.0,1.0,1919.0,137.57876062393188,0.7916666865348816,0.7933194041252136,0.7916666865348816,0.793749988079071,0.7924934029579163,0.7921085953712463,0.5854359865188599,0.8590450882911682,381.0,99.0,100.0,380.0,1.701087236404419
3,ResNet152V2,128,0.1,0.3,32,13,0.9973958134651184,0.9973958134651184,0.9973958134651184,0.9973958134651184,0.9973958134651184,0.9973958134651184,0.9947916865348816,0.9999422430992126,1915.0,5.0,5.0,1915.0,122.79500484466553,0.7791666388511658,0.7828810214996338,0.78125,0.7833333611488342,0.782231330871582,0.7813987135887146,0.5646352171897888,0.8536676168441772,376.0,104.0,105.0,375.0,1.7452001571655273
4,ResNet152V2,128,0.1,0.3,32,11,0.9885416626930237,0.9880208373069763,0.9880208373069763,0.9880208373069763,0.9880287051200867,0.9880198240280151,0.9760569334030151,0.9988493323326111,1897.0,23.0,23.0,1897.0,113.13564968109131,0.8354166746139526,0.8368200659751892,0.8333333134651184,0.8374999761581421,0.8352512717247009,0.8337121605873108,0.6708882451057434,0.8875737190246582,402.0,78.0,80.0,400.0,1.8198847770690918
5,ResNet152V2,128,0.1,0.3,32,11,0.996874988079071,0.9973945021629333,0.996874988079071,0.9973958134651184,0.9971391558647156,0.9968897700309753,0.9942939877510071,0.9999787211418152,1915.0,5.0,6.0,1914.0,104.75862765312195,0.8166666626930237,0.8162839412689209,0.8145833611488342,0.8166666626930237,0.8155015707015991,0.8148705363273621,0.6313100457191467,0.8852885365486145,392.0,88.0,89.0,391.0,1.7054078578948975
6,ResNet152V2,128,0.1,0.3,32,15,0.996874988079071,0.9973958134651184,0.9973958134651184,0.9973958134651184,0.9974116086959839,0.997393786907196,0.9948222041130066,0.9999356865882874,1915.0,5.0,5.0,1915.0,132.68409752845764,0.7979166507720947,0.7946057915687561,0.7979166507720947,0.793749988079071,0.7960872054100037,0.7975012063980103,0.5917705297470093,0.859542191028595,381.0,99.0,97.0,383.0,1.8860538005828857
7,ResNet152V2,128,0.1,0.3,32,12,0.9942708611488342,0.9942678213119507,0.9937499761581421,0.9942708611488342,0.9940062761306763,0.9937657713890076,0.9880287051200867,0.9997839331626892,1909.0,11.0,12.0,1908.0,114.57622337341309,0.7645833492279053,0.7698744535446167,0.7666666507720947,0.7708333134651184,0.7679166197776794,0.7683467864990234,0.5375528931617737,0.8564214706420898,370.0,110.0,112.0,368.0,1.6794052124023438
8,ResNet152V2,128,0.1,0.3,32,14,0.9989583492279053,0.9989583492279053,0.9989583492279053,0.9989583492279053,0.9989583492279053,0.9989583492279053,0.9979166388511658,0.9999970197677612,1918.0,2.0,2.0,1918.0,132.4425790309906,0.7979166507720947,0.7983368039131165,0.800000011920929,0.7979166507720947,0.7990628480911255,0.7998330593109131,0.5979766845703125,0.8473567366600037,383.0,97.0,96.0,384.0,1.6666033267974854
9,ResNet152V2,128,0.1,0.3,32,14,0.9973958134651184,0.9973971843719482,0.9979166388511658,0.9973958134651184,0.9976682662963867,0.9978998899459839,0.9953199028968811,0.9999786615371704,1915.0,5.0,4.0,1916.0,128.77665424346924,0.800000011920929,0.7962577939033508,0.7979166507720947,0.7958333492279053,0.797071099281311,0.7975949645042419,0.5938507318496704,0.8744813799858093,382.0,98.0,97.0,383.0,1.73329496383667
10,ResNet152V2,128,0.1,0.3,32,15,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.996874988079071,0.9999973177909851,1917.0,3.0,3.0,1917.0,127.19678235054016,0.8020833134651184,0.8033472895622253,0.800000011920929,0.8041666746139526,0.8017195463180542,0.8007575869560242,0.6042093634605408,0.8821613788604736,386.0,94.0,96.0,384.0,1.8669383525848389
