folder,network,accuracy,precision,sensitivity,specificity,fmeasure,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_fmeasure,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,SVMC,0.925,0.9276729559748428,0.921875,0.928125,0.9247648902821317,0.9223602483517226,0.8500166020488897,0.9794178602430554,891,69,75,885,1043.4762074947357,0.5416666666666666,0.5226244343891403,0.9625,0.12083333333333333,0.6774193548387096,0.7631578927285319,0.15432172268942523,0.7275520833333333,29,211,9,231,0.16687893867492676
2,SVMC,0.996875,0.9979123173277662,0.9958333333333333,0.9979166666666667,0.9968717413972888,0.995841995738478,0.9937521565825409,0.9999620225694444,958,2,4,956,1072.9110169410706,0.56875,0.5391923990498813,0.9458333333333333,0.19166666666666668,0.686838124054463,0.7796610156276932,0.20938563632653304,0.7509375,46,194,13,227,0.15193486213684082
3,SVMC,0.9098958333333333,0.9357696566998892,0.8802083333333334,0.9395833333333333,0.907139023081052,0.8869223204634294,0.8212405416097686,0.9694151475694445,902,58,115,845,1018.8922312259674,0.7083333333333334,0.7336448598130841,0.6541666666666667,0.7625,0.6916299559471366,0.6879699245533947,0.41913342377712004,0.7729253472222222,183,57,83,157,0.17175054550170898
4,SVMC,0.5145833333333333,1.0,0.029166666666666667,1.0,0.056680161943319846,0.5073995771402009,0.12165177489061989,0.5,960,0,932,28,1038.9105579853058,0.5208333333333334,0.8571428571428571,0.05,0.9916666666666667,0.09448818897637795,0.5107296136243069,0.12380637956044556,0.5,238,2,228,12,0.3234522342681885
5,SVMC,0.640625,0.6548165137614679,0.5947916666666667,0.6864583333333333,0.6233624454148472,0.6288167938331282,0.2824391399538237,0.6988519965277777,659,301,389,571,1015.2043325901031,0.6854166666666667,0.6642066420664207,0.75,0.6208333333333333,0.7045009784735813,0.7129186599459719,0.3739660853019834,0.7492361111111111,149,91,60,180,0.4130973815917969
6,SVMC,0.9692708333333333,0.9767195767195768,0.9614583333333333,0.9770833333333333,0.9690288713910762,0.9620512819526101,0.9386562557235208,0.9945551215277779,938,22,37,923,1030.391455411911,0.6270833333333333,0.6093189964157706,0.7083333333333334,0.5458333333333333,0.6551059730250482,0.6517412932080889,0.2575904184847417,0.6672916666666666,131,109,70,170,0.14979982376098633
7,SVMC,0.8645833333333334,0.8796095444685467,0.8447916666666667,0.884375,0.8618490967056324,0.8507014027203706,0.7297385826815472,0.9362771267361111,849,111,149,811,983.5622162818909,0.5604166666666667,0.5408450704225352,0.8,0.32083333333333336,0.6453781512605041,0.6159999995072001,0.137666672350487,0.6005381944444445,77,163,48,192,0.1701197624206543
8,SVMC,0.9088541666666666,0.9270946681175191,0.8875,0.9302083333333333,0.906865353911655,0.8921078920187705,0.8184551057842577,0.971413302951389,893,67,108,852,978.9192507266998,0.5791666666666667,0.5463414634146342,0.9333333333333333,0.225,0.6892307692307693,0.7714285703265307,0.22430690771836304,0.732482638888889,54,186,16,224,0.1689293384552002
9,SVMC,0.8098958333333334,0.8223185265438786,0.790625,0.8291666666666667,0.8061603823685608,0.7983951854765903,0.620252518048619,0.8908865017361112,796,164,201,759,1000.1001420021057,0.6375,0.6057692307692307,0.7875,0.4875,0.6847826086956521,0.6964285710140307,0.28827833009852755,0.7284375,117,123,51,189,0.17957401275634766
10,SVMC,0.9046875,0.9172932330827067,0.8895833333333333,0.9197916666666667,0.9032258064516129,0.8928210312545176,0.8097445478488926,0.96751953125,883,77,106,854,987.2761282920837,0.5270833333333333,0.5140388768898488,0.9916666666666667,0.0625,0.6770981507823612,0.8823529359861592,0.14653062300622452,0.7019965277777778,15,225,2,238,0.17279887199401855
11,SVMC,0.9614583333333333,0.9672995780590717,0.9552083333333333,0.9677083333333333,0.9612159329140462,0.9557613167740987,0.9229887779819048,0.991604275173611,929,31,43,917,960.0280785560608,0.5104166666666666,0.5052631578947369,1.0,0.020833333333333332,0.6713286713286714,0.9999999800000003,0.10259783520851538,0.6410590277777778,5,235,0,240,0.15505170822143555
12,SVMC,0.7151041666666667,0.7291897891231964,0.684375,0.7458333333333333,0.706072004298764,0.7026496564570511,0.4310231179186726,0.7898497178819445,716,244,303,657,972.0561616420746,0.6770833333333334,0.6332288401253918,0.8416666666666667,0.5125,0.7227191413237924,0.7639751548049845,0.3750685471207012,0.7418750000000001,123,117,38,202,0.37373900413513184
13,SVMC,0.9885416666666667,0.9885416666666667,0.9885416666666667,0.9885416666666667,0.9885416666666667,0.9885416665636936,0.9770833333333333,0.9987499999999999,949,11,11,949,954.0737817287445,0.6,0.5652173913043478,0.8666666666666667,0.3333333333333333,0.6842105263157895,0.7142857136479592,0.2364331218717302,0.7196440972222222,80,160,32,208,0.15173554420471191
14,SVMC,0.9932291666666667,0.9968520461699895,0.9895833333333334,0.996875,0.9932043910088867,0.9896587382637375,0.9864845585860992,0.9991400824652777,957,3,10,950,955.5313465595245,0.6229166666666667,0.5860058309037901,0.8375,0.4083333333333333,0.6895368782161235,0.7153284666311471,0.2721727667108355,0.7162152777777777,98,142,39,201,0.15812277793884277
15,SVMC,0.965625,0.9796137339055794,0.9510416666666667,0.9802083333333333,0.9651162790697674,0.9524291497011712,0.9316463575029738,0.9920279947916665,941,19,47,913,933.7756431102753,0.5104166666666666,0.5052631578947369,1.0,0.020833333333333332,0.6713286713286714,0.9999999800000003,0.10259783520851538,0.712326388888889,5,235,0,240,0.15524911880493164
16,SVMC,0.8552083333333333,0.8788888888888889,0.8239583333333333,0.8864583333333333,0.8505376344086022,0.8343137254084007,0.7118082775334532,0.9338845486111111,851,109,169,791,922.3807427883148,0.7041666666666667,0.7130434782608696,0.6833333333333333,0.725,0.6978723404255319,0.6959999997216,0.40868825155186655,0.7801562499999999,174,66,76,164,0.17914342880249023
17,SVMC,0.940625,0.9558189655172413,0.9239583333333333,0.9572916666666667,0.9396186440677965,0.9264112902291924,0.881739991697577,0.9840831163194443,919,41,73,887,934.1957294940948,0.50625,0.5031446540880503,1.0,0.0125,0.6694560669456068,0.9999999666666678,0.07930515857181436,0.6361458333333333,3,237,0,240,0.15880107879638672
18,SVMC,0.9072916666666667,0.9204301075268817,0.8916666666666667,0.9229166666666667,0.9058201058201059,0.894949494859096,0.8149813706565415,0.9696527777777778,886,74,104,856,913.6443004608154,0.5520833333333334,0.5284738041002278,0.9666666666666667,0.1375,0.6833578792341679,0.8048780468173706,0.18634417442394385,0.70375,33,207,8,232,0.1648728847503662
19,SVMC,0.8375,0.8491379310344828,0.8208333333333333,0.8541666666666666,0.8347457627118644,0.8266129031424786,0.6753753127896335,0.9243554687500001,820,140,172,788,941.9715576171875,0.54375,0.5234899328859061,0.975,0.1125,0.6812227074235807,0.8181818157024793,0.17290540251370362,0.7500173611111112,27,213,6,234,0.1821897029876709
20,SVMC,0.840625,0.8508583690987125,0.8260416666666667,0.8552083333333333,0.8382663847780126,0.8309716598349219,0.6815399528041889,0.9286393229166666,821,139,167,793,924.4745378494263,0.56875,0.5413533834586466,0.9,0.2375,0.676056338028169,0.7037037028349338,0.18356293058464493,0.7186631944444444,57,183,24,216,0.18312621116638184
21,SVMC,0.6932291666666667,0.713463751438435,0.6458333333333334,0.740625,0.6779661016949152,0.6764985727234539,0.38820637537690167,0.7653114149305555,711,249,340,620,949.2151446342468,0.5791666666666667,0.5448113207547169,0.9625,0.19583333333333333,0.6957831325301204,0.8392857127869898,0.24660771253430336,0.7650520833333333,47,193,9,231,0.21551871299743652
22,SVMC,0.8494791666666667,0.8627027027027027,0.83125,0.8677083333333333,0.8466843501326261,0.837185929564102,0.6994233281689722,0.9307975260416668,833,127,162,798,917.6126499176025,0.5145833333333333,0.5074626865671642,0.9916666666666667,0.0375,0.6713681241184768,0.8181818107438018,0.09745750213218743,0.7331944444444445,9,231,2,238,0.17584538459777832
23,SVMC,0.9921875,0.9958027282266527,0.9885416666666667,0.9958333333333333,0.9921589127025613,0.9886246121004525,0.9844011698668043,0.9997222222222222,956,4,11,949,936.9688451290131,0.5875,0.553030303030303,0.9125,0.2625,0.6886792452830189,0.7499999991071429,0.23028309323591914,0.6540538194444445,63,177,21,219,0.14769840240478516
24,SVMC,0.9177083333333333,0.933982683982684,0.8989583333333333,0.9364583333333333,0.9161358811040339,0.9026104416764448,0.8360046892632275,0.9726139322916667,899,61,97,863,933.7829468250275,0.5979166666666667,0.5550351288056206,0.9875,0.20833333333333334,0.7106446776611693,0.9433962246351014,0.312425149004883,0.8122569444444445,50,190,3,237,0.17145967483520508
25,SVMC,0.7552083333333334,0.7704194260485652,0.7270833333333333,0.7833333333333333,0.7481243301178992,0.7416173569288346,0.5112260830741899,0.8326833767361111,752,208,262,698,928.9983761310577,0.6479166666666667,0.6473029045643154,0.65,0.6458333333333334,0.6486486486486487,0.6485355645822027,0.2958359013644565,0.7119965277777778,155,85,84,156,0.17370295524597168
26,SVMC,0.5322916666666667,0.81,0.084375,0.9802083333333333,0.1528301886792453,0.5170329670045586,0.14533024159093358,0.45451605902777775,941,19,879,81,929.7524681091309,0.5416666666666666,0.578125,0.30833333333333335,0.775,0.40217391304347827,0.5284090907589747,0.09422229518055113,0.4770312500000001,186,54,166,74,0.32347655296325684
27,SVMC,0.9635416666666666,0.9744136460554371,0.9520833333333333,0.975,0.9631190727081139,0.9531568227135279,0.9273268691124397,0.9930013020833334,936,24,46,914,925.7169575691223,0.5166666666666667,0.5085836909871244,0.9875,0.04583333333333333,0.6713881019830028,0.7857142801020409,0.09904510364835645,0.70265625,11,229,3,237,0.16029047966003418
28,SVMC,0.7479166666666667,0.765625,0.7145833333333333,0.78125,0.7392241379310345,0.7324218749284743,0.49693887168091405,0.8301600477430555,750,210,274,686,928.5585486888885,0.5583333333333333,0.5315315315315315,0.9833333333333333,0.13333333333333333,0.6900584795321638,0.888888886419753,0.22147019900891643,0.734435763888889,32,208,4,236,0.20569562911987305
29,SVMC,0.6296875,0.6786226685796269,0.49270833333333336,0.7666666666666667,0.5709112854556427,0.6017988552247098,0.26969303429920627,0.5174902343750001,736,224,487,473,935.3285524845123,0.6791666666666667,0.7067307692307693,0.6125,0.7458333333333333,0.65625,0.6580882350521734,0.36156162677301795,0.5365277777777778,179,61,93,147,0.41188526153564453
30,SVMC,0.7026041666666667,0.7202718006795017,0.6625,0.7427083333333333,0.6901790558871405,0.6875602699433403,0.40651808526045996,0.7723741319444445,713,247,324,636,931.8247084617615,0.5333333333333333,0.5172413793103449,1.0,0.06666666666666667,0.6818181818181819,0.9999999937499999,0.18569533817705183,0.7776215277777778,16,224,0,240,0.21500515937805176
31,SVMC,0.74375,0.7516129032258064,0.728125,0.759375,0.7396825396825396,0.7363636362892563,0.48773821159496344,0.8088964843750001,729,231,261,699,950.9208602905273,0.6708333333333333,0.6518518518518519,0.7333333333333333,0.6083333333333333,0.6901960784313725,0.6952380949070295,0.3443676309639626,0.7713194444444444,146,94,64,176,0.33618855476379395
32,SVMC,0.7098958333333333,0.7221609702315325,0.6822916666666666,0.7375,0.7016604177825388,0.6989141164166917,0.4204328869686961,0.7854698350694445,708,252,305,655,949.5915157794952,0.6395833333333333,0.5888594164456233,0.925,0.3541666666666667,0.7196110210696921,0.8252427176453955,0.34000516563342514,0.7905208333333333,85,155,18,222,0.2088778018951416
33,SVMC,0.9671875,0.9776357827476039,0.95625,0.978125,0.966824644549763,0.9571865442449351,0.9345986367820268,0.993310546875,939,21,42,918,953.5795557498932,0.625,0.5753768844221105,0.9541666666666667,0.29583333333333334,0.7178683385579938,0.8658536574806663,0.33212593355484,0.8048958333333334,71,169,11,229,0.1597273349761963
34,SVMC,0.8817708333333333,0.8894792773645058,0.871875,0.8916666666666667,0.8805891635981061,0.8743615933734054,0.7636912540939145,0.9551182725694443,856,104,123,837,960.6962394714355,0.6270833333333333,0.7046979865771812,0.4375,0.8166666666666667,0.5398457583547558,0.5921450149268443,0.27467725836165585,0.7109548611111111,196,44,135,105,0.17557883262634277
35,SVMC,0.753125,0.7694013303769401,0.7229166666666667,0.7833333333333333,0.7454350161117078,0.7387033398095576,0.5071764873479941,0.8319108072916668,752,208,266,694,942.3375072479248,0.675,0.6448275862068965,0.7791666666666667,0.5708333333333333,0.7056603773584906,0.721052631199446,0.35785203118753617,0.7560243055555556,137,103,53,187,0.2012629508972168
36,SVMC,0.8760416666666667,0.9011111111111111,0.8447916666666667,0.9072916666666667,0.8720430107526882,0.8539215685437332,0.7535565636057965,0.9534299045138888,871,89,149,811,965.2009525299072,0.6541666666666667,0.5963541666666666,0.9541666666666667,0.3541666666666667,0.733974358974359,0.8854166657443577,0.3854166666666667,0.8044270833333332,85,155,11,229,0.17714929580688477
37,SVMC,0.7557291666666667,0.7825086306098964,0.7083333333333334,0.803125,0.7435757244395845,0.7335870598731125,0.513771779811479,0.8397862413194446,771,189,280,680,953.7399659156799,0.6604166666666667,0.6206896551724138,0.825,0.49583333333333335,0.7084078711985687,0.7391304343235215,0.3397679779799293,0.7120486111111112,119,121,42,198,0.1995706558227539
38,SVMC,0.7338541666666667,0.7475192943770672,0.70625,0.7614583333333333,0.726298875200857,0.7216189535319232,0.46842274503460185,0.8228884548611111,731,229,282,678,974.0989453792572,0.6458333333333334,0.5972222222222222,0.8958333333333334,0.3958333333333333,0.7166666666666667,0.7916666660069445,0.3367876570272817,0.7773090277777779,95,145,25,215,0.1985175609588623
39,SVMC,0.8234375,0.8386041439476554,0.8010416666666667,0.8458333333333333,0.8193926478423015,0.8095712860608604,0.6475248885865091,0.907658420138889,812,148,191,769,1090.9809691905975,0.64375,0.6095238095238096,0.8,0.4875,0.6918918918918919,0.7090909086611571,0.3026577796814937,0.7036545138888889,117,123,48,192,0.1772775650024414
40,SVMC,0.515625,0.96875,0.03229166666666667,0.9989583333333333,0.06250000000000001,0.5079449152273334,0.12205210404452237,0.42133789062500004,959,1,929,31,1106.252863407135,0.5770833333333333,0.8490566037735849,0.1875,0.9666666666666667,0.30716723549488056,0.5433255268048418,0.24595171304639726,0.41472222222222227,232,8,195,45,0.3071262836456299
41,SVMC,0.9885416666666667,0.9957716701902748,0.98125,0.9958333333333333,0.9884575026232948,0.9815195070860864,0.9771872498292777,0.9982899305555556,956,4,18,942,1137.691971540451,0.6833333333333333,0.671875,0.7166666666666667,0.65,0.6935483870967741,0.6964285711176659,0.3674842076295835,0.7573003472222222,156,84,68,172,0.16172313690185547
42,SVMC,0.5854166666666667,0.7715231788079471,0.24270833333333333,0.928125,0.3692551505546751,0.5506798516346922,0.23461248412314248,0.6867285156249999,891,69,727,233,1113.4529094696045,0.66875,0.6723404255319149,0.6583333333333333,0.6791666666666667,0.6652631578947368,0.6653061221774261,0.33757326603798454,0.7038020833333333,163,77,82,158,0.4267110824584961
