folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,Xception,1024,0.1,0.3,32,13,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.996874988079071,0.9999668002128601,1917.0,3.0,3.0,1917.0,61.50189828872681,0.7458333373069763,0.7448132634162903,0.7479166388511658,0.7437499761581421,0.7465231418609619,0.7465746402740479,0.49175623059272766,0.8103082180023193,357.0,123.0,121.0,359.0,0.8393762111663818
2,Xception,1024,0.1,0.3,32,12,0.9984375238418579,0.99843829870224,0.9989583492279053,0.9984375238418579,0.9987099170684814,0.9989415407180786,0.9974032044410706,0.999989926815033,1917.0,3.0,2.0,1918.0,54.392232179641724,0.7416666746139526,0.7442827224731445,0.7458333373069763,0.7437499761581421,0.7451144456863403,0.745171308517456,0.4896700084209442,0.8114063143730164,357.0,123.0,122.0,358.0,0.807236909866333
3,Xception,1024,0.1,0.3,32,5,0.9760416746139526,0.977011501789093,0.9739583134651184,0.9770833253860474,0.9754615426063538,0.974192202091217,0.9511629343032837,0.9964983463287354,1876.0,44.0,50.0,1870.0,34.412238359451294,0.7333333492279053,0.726141095161438,0.7291666865348816,0.7250000238418579,0.7276144623756409,0.7281015515327454,0.4542073607444763,0.795238733291626,348.0,132.0,130.0,350.0,0.8209686279296875
4,Xception,1024,0.1,0.3,32,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1920.0,0.0,0.0,1920.0,56.98352074623108,0.7979166507720947,0.800000011920929,0.800000011920929,0.800000011920929,0.8001566529273987,0.7997149229049683,0.6000406742095947,0.8468272089958191,384.0,96.0,96.0,384.0,0.8403451442718506
5,Xception,1024,0.1,0.3,32,10,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.996874988079071,0.9999690651893616,1917.0,3.0,3.0,1917.0,47.13122868537903,0.7791666388511658,0.7789473533630371,0.7708333134651184,0.78125,0.7745039463043213,0.7739267945289612,0.5521515607833862,0.8413540720939636,375.0,105.0,110.0,370.0,0.8279380798339844
6,Xception,1024,0.1,0.3,32,7,0.9937499761581421,0.9947835206985474,0.9932291507720947,0.9947916865348816,0.9939896464347839,0.9933080673217773,0.9880597591400146,0.9993060231208801,1910.0,10.0,13.0,1907.0,45.75979709625244,0.7833333611488342,0.7837837934494019,0.7854166626930237,0.7833333611488342,0.7851851582527161,0.7838383913040161,0.5688324570655823,0.8518902659416199,376.0,104.0,103.0,377.0,0.7803959846496582
7,Xception,1024,0.1,0.3,32,5,0.9588541388511658,0.9578344821929932,0.9583333134651184,0.957812488079071,0.9580328464508057,0.9584981799125671,0.9162381887435913,0.9923808574676514,1839.0,81.0,80.0,1840.0,37.967833518981934,0.7791666388511658,0.7827004194259644,0.7729166746139526,0.7854166626930237,0.7767820954322815,0.7775835394859314,0.558447539806366,0.8534592390060425,377.0,103.0,109.0,371.0,0.8261971473693848
8,Xception,1024,0.1,0.3,32,3,0.9520833492279053,0.9515877366065979,0.9520833492279053,0.9515625238418579,0.9519091844558716,0.952038049697876,0.9037876129150391,0.9895740747451782,1827.0,93.0,92.0,1828.0,28.50563359260559,0.7479166388511658,0.7505330443382263,0.7333333492279053,0.7562500238418579,0.7411630749702454,0.7405674457550049,0.48976168036460876,0.7955056428909302,363.0,117.0,128.0,352.0,0.8185098171234131
9,Xception,1024,0.1,0.3,32,8,0.9979166388511658,0.9963598251342773,0.9979166388511658,0.9963541626930237,0.9971554279327393,0.9978998899459839,0.9942939877510071,0.9999492168426514,1913.0,7.0,4.0,1916.0,41.704001903533936,0.7770833373069763,0.776150643825531,0.7729166746139526,0.7770833373069763,0.7748239636421204,0.7733178734779358,0.5500773191452026,0.8526627421379089,373.0,107.0,109.0,371.0,0.8374490737915039
10,Xception,1024,0.1,0.3,32,14,0.9989583492279053,0.9989578127861023,0.9984375238418579,0.9989583492279053,0.9986937642097473,0.9984532594680786,0.9974037408828735,0.9999881386756897,1918.0,2.0,3.0,1917.0,59.37592840194702,0.8166666626930237,0.8158996105194092,0.8125,0.8166666626930237,0.8139339685440063,0.8138762712478638,0.6293032169342041,0.8915733695030212,392.0,88.0,90.0,390.0,1.1702537536621094
