epoch,accuracy,auc,f1_score,fn,fp,loss,lr,mcc,npv,precision,recall,specificity,tn,tp,val_accuracy,val_auc,val_f1_score,val_fn,val_fp,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity,val_tn,val_tp
0,0.5916666388511658,0.6600480675697327,0.5772596597671509,953.0,927.0,0.7627979516983032,0.01,0.16362275183200836,0.5822442173957825,0.6095197796821594,0.6029166579246521,0.5880208611488342,1473.0,1447.0,0.5,0.5,0.5,240.0,240.0,12.191092491149902,0.0,0.5,0.5,0.5,0.5,240.0,240.0
1,0.6776041388511658,0.7213672995567322,0.6665704846382141,634.0,653.0,0.6247576475143433,0.01,0.33033645153045654,0.6662696003913879,0.663228452205658,0.6697916388511658,0.6598958373069763,1267.0,1286.0,0.6104166507720947,0.5967317223548889,0.49868568778038025,280.0,121.0,0.7523907423019409,0.18146555125713348,0.5577577352523804,0.6230529546737671,0.4166666567325592,0.7479166388511658,359.0,200.0
2,0.7036458253860474,0.7615956664085388,0.7001617550849915,583.0,563.0,0.5907726883888245,0.01,0.4036621153354645,0.6993069052696228,0.7036842107772827,0.6963541507720947,0.7067708373069763,1357.0,1337.0,0.5333333611488342,0.5554361939430237,0.5642580389976501,200.0,242.0,1.088747262954712,0.07711640745401382,0.5275812149047852,0.5363984704017639,0.5833333134651184,0.4958333373069763,238.0,280.0
3,0.7177083492279053,0.7882270812988281,0.7162907719612122,544.0,543.0,0.5641931891441345,0.01,0.434298574924469,0.7180890440940857,0.7170401215553284,0.7166666388511658,0.7171875238418579,1377.0,1376.0,0.5083333253860474,0.554932713508606,0.5084927678108215,234.0,240.0,1.1038841009140015,0.01254903431981802,0.5079321265220642,0.5061728358268738,0.512499988079071,0.5,240.0,246.0
4,0.737500011920929,0.8141840100288391,0.7363047003746033,508.0,504.0,0.5241653323173523,0.01,0.473429799079895,0.7359384298324585,0.736952006816864,0.7354166507720947,0.737500011920929,1416.0,1412.0,0.6083333492279053,0.6594422459602356,0.6098874807357788,188.0,186.0,0.7970507740974426,0.22086592018604279,0.609406590461731,0.6108786463737488,0.6083333492279053,0.612500011920929,294.0,292.0
5,0.7984374761581421,0.8846890330314636,0.795546293258667,397.0,385.0,0.4328165054321289,0.0009999999,0.5931094884872437,0.7951071262359619,0.7982180118560791,0.7932291626930237,0.7994791865348816,1535.0,1523.0,0.6937500238418579,0.7610611915588379,0.6875370740890503,150.0,150.0,0.6144755482673645,0.37508347630500793,0.6874531507492065,0.6875,0.6875,0.6875,330.0,330.0
6,0.8265625238418579,0.9014527797698975,0.8237266540527344,340.0,337.0,0.4007115364074707,0.0009999999,0.647683322429657,0.8230606317520142,0.8242045044898987,0.8229166865348816,0.8244791626930237,1583.0,1580.0,0.706250011920929,0.7662217020988464,0.7031455636024475,144.0,139.0,0.6202418804168701,0.41053804755210876,0.7041199207305908,0.7073684334754944,0.699999988079071,0.7104166746139526,341.0,336.0
7,0.8317708373069763,0.9136714339256287,0.8302391171455383,323.0,330.0,0.37462377548217773,0.0009999999,0.6602206826210022,0.8314277529716492,0.8287493586540222,0.8317708373069763,0.828125,1590.0,1597.0,0.699999988079071,0.7669639587402344,0.697395384311676,145.0,144.0,0.6392627358436584,0.39801761507987976,0.7010532021522522,0.699373722076416,0.6979166865348816,0.699999988079071,336.0,335.0
8,0.831250011920929,0.9136114120483398,0.8294922113418579,332.0,321.0,0.374879390001297,0.0009999999,0.6600519418716431,0.8281052112579346,0.8318491578102112,0.8270833492279053,0.832812488079071,1599.0,1588.0,0.6812499761581421,0.7511197924613953,0.6803529858589172,153.0,154.0,0.6807115077972412,0.3604421019554138,0.6809180974960327,0.6798336505889893,0.6812499761581421,0.6791666746139526,326.0,327.0
9,0.8656250238418579,0.9351329803466797,0.8657816052436829,257.0,259.0,0.3263975977897644,0.0009999999,0.7314857840538025,0.866023600101471,0.8652445077896118,0.8661458492279053,0.8651041388511658,1661.0,1663.0,0.6958333253860474,0.7733376622200012,0.6960505247116089,146.0,145.0,0.6448655724525452,0.39380601048469543,0.6974849700927734,0.6972860097885132,0.6958333253860474,0.6979166865348816,335.0,334.0
10,0.8776041865348816,0.9448797106742859,0.8742424845695496,242.0,240.0,0.3036572337150574,9.999999e-05,0.7492338418960571,0.8746541142463684,0.8748696446418762,0.8739583492279053,0.875,1680.0,1678.0,0.7083333134651184,0.7827885746955872,0.7077467441558838,140.0,141.0,0.6304565072059631,0.4146128296852112,0.7074189782142639,0.7068607211112976,0.7083333134651184,0.706250011920929,339.0,340.0
11,0.8843749761581421,0.9499644041061401,0.8821714520454407,225.0,228.0,0.2908453345298767,9.999999e-05,0.7642735838890076,0.8827062845230103,0.8814352750778198,0.8828125,0.8812500238418579,1692.0,1695.0,0.706250011920929,0.7794965505599976,0.7038938999176025,143.0,141.0,0.6529905796051025,0.40841689705848694,0.7026184797286987,0.7050209045410156,0.7020833492279053,0.706250011920929,339.0,337.0
12,0.8812500238418579,0.950074315071106,0.8801314830780029,230.0,230.0,0.2899106740951538,9.999999e-05,0.7606794238090515,0.8805707693099976,0.8802083134651184,0.8802083134651184,0.8802083134651184,1690.0,1690.0,0.7145833373069763,0.7773676514625549,0.7145115733146667,137.0,137.0,0.6668722033500671,0.4292726218700409,0.7147520184516907,0.7145833373069763,0.7145833373069763,0.7145833373069763,343.0,343.0
13,0.8854166865348816,0.9512584805488586,0.8818715810775757,224.0,230.0,0.2871353328227997,9.999999e-05,0.763749897480011,0.8833001852035522,0.8805814981460571,0.8833333253860474,0.8802083134651184,1690.0,1696.0,0.7124999761581421,0.7737066149711609,0.7084410786628723,140.0,140.0,0.6769482493400574,0.4167746603488922,0.7081136107444763,0.7083333134651184,0.7083333134651184,0.7083333134651184,340.0,340.0
14,0.8817708492279053,0.9489760994911194,0.8816918134689331,230.0,223.0,0.29179275035858154,9.999999e-05,0.7643737196922302,0.8811464309692383,0.8834291696548462,0.8802083134651184,0.8838541507720947,1697.0,1690.0,0.7124999761581421,0.7799848318099976,0.7145329117774963,137.0,137.0,0.6657049059867859,0.42922571301460266,0.714707612991333,0.7145833373069763,0.7145833373069763,0.7145833373069763,343.0,343.0
15,0.8895833492279053,0.9545004963874817,0.8875303864479065,216.0,216.0,0.2759893834590912,9.999999e-05,0.7752352356910706,0.8876230716705322,0.887499988079071,0.887499988079071,0.887499988079071,1704.0,1704.0,0.7208333611488342,0.7789974212646484,0.7235139012336731,132.0,134.0,0.6768720149993896,0.4458780884742737,0.7238086462020874,0.7219917178153992,0.7250000238418579,0.7208333611488342,346.0,348.0
