folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,ResNet101,128,0.3,0.3,32,15,0.6958333253860474,0.6963078379631042,0.6973958611488342,0.6958333253860474,0.6969000697135925,0.6968609094619751,0.3933373689651489,0.7756993770599365,1336.0,584.0,581.0,1339.0,149.0849871635437,0.706250011920929,0.7096773982048035,0.6875,0.71875,0.6977864503860474,0.698117196559906,0.4064956605434418,0.7575954794883728,345.0,135.0,150.0,330.0,1.3831360340118408
2,ResNet101,128,0.3,0.3,32,3,0.6651041507720947,0.6647697687149048,0.6692708134651184,0.6625000238418579,0.6670933961868286,0.6668433547019958,0.33192142844200134,0.7267301678657532,1272.0,648.0,635.0,1285.0,64.7316062450409,0.5375000238418579,0.5412371158599854,0.65625,0.4437499940395355,0.5979580283164978,0.5099999904632568,0.08391249924898148,0.5641992092132568,213.0,267.0,165.0,315.0,1.3993122577667236
3,ResNet101,128,0.3,0.3,32,7,0.6895833611488342,0.6872708201408386,0.6833333373069763,0.6890624761581421,0.6853036880493164,0.6851266622543335,0.37248870730400085,0.7503322958946228,1323.0,597.0,608.0,1312.0,95.60265851020813,0.6270833611488342,0.6265560388565063,0.6291666626930237,0.625,0.6272096037864685,0.629027783870697,0.2542809247970581,0.6554665565490723,300.0,180.0,178.0,302.0,1.3642370700836182
4,ResNet101,128,0.3,0.3,32,11,0.698437511920929,0.6968749761581421,0.6968749761581421,0.6968749761581421,0.6968284845352173,0.69698166847229,0.3938726484775543,0.7639877796173096,1338.0,582.0,582.0,1338.0,120.09128832817078,0.6854166388511658,0.7099999785423279,0.5916666388511658,0.7583333253860474,0.6432678699493408,0.6524651646614075,0.35491952300071716,0.73402339220047,364.0,116.0,196.0,284.0,1.3796348571777344
5,ResNet101,128,0.3,0.3,32,0,0.5947916507720947,0.611483633518219,0.6079166531562805,0.5921875238418579,0.5954211354255676,0.5962859392166138,0.19029410183429718,0.649850606918335,1473.0,927.0,941.0,1459.0,43.12304425239563,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,240.0,240.0,240.0,240.0,1.44730806350708
6,ResNet101,128,0.3,0.3,32,0,0.59375,0.5742904543876648,0.5733333230018616,0.59375,0.5917714238166809,0.5930065512657166,0.18555417656898499,0.5941870212554932,1380.0,1020.0,1024.0,1376.0,43.1836371421814,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,240.0,240.0,240.0,240.0,1.4010117053985596
7,ResNet101,128,0.3,0.3,32,11,0.6770833134651184,0.6764244437217712,0.6739583611488342,0.6776041388511658,0.6752642393112183,0.6750137805938721,0.35168617963790894,0.7453077435493469,1301.0,619.0,626.0,1294.0,120.7614381313324,0.6916666626930237,0.7219387888908386,0.5895833373069763,0.7729166746139526,0.6445512175559998,0.6588833332061768,0.3682493567466736,0.7379534840583801,371.0,109.0,197.0,283.0,1.7916386127471924
8,ResNet101,128,0.3,0.3,32,9,0.6880208253860474,0.6885416507720947,0.6885416507720947,0.6885416507720947,0.688705325126648,0.6882022023200989,0.37716734409332275,0.7621541619300842,1322.0,598.0,598.0,1322.0,102.43004083633423,0.6499999761581421,0.6281310319900513,0.6791666746139526,0.5979166626930237,0.6502007246017456,0.6568540930747986,0.2790321707725525,0.6744856238365173,287.0,193.0,154.0,326.0,1.3655388355255127
9,ResNet101,128,0.3,0.3,32,0,0.5760416388511658,0.5833333134651184,0.5862500071525574,0.5755208134651184,0.5679095983505249,0.5700592398643494,0.14145606756210327,0.6143230199813843,1395.0,1005.0,993.0,1407.0,43.34718155860901,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,240.0,240.0,240.0,240.0,1.3962759971618652
10,ResNet101,128,0.3,0.3,32,0,0.5921875238418579,0.5729253888130188,0.5695833563804626,0.5942708253860474,0.589032769203186,0.5897270441055298,0.181607186794281,0.5832228660583496,1381.0,1019.0,1033.0,1367.0,43.496763467788696,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,240.0,240.0,240.0,240.0,1.4018583297729492
