folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,InceptionV3,128,0.3,0.3,32,6,0.8182291388511658,0.8227320313453674,0.8218749761581421,0.8229166865348816,0.8220844864845276,0.8226817846298218,0.6450623273849487,0.9009213447570801,1580.0,340.0,342.0,1578.0,42.309842586517334,0.7145833373069763,0.7136929631233215,0.7166666388511658,0.7124999761581421,0.7145684957504272,0.7167399525642395,0.42923790216445923,0.7977625727653503,342.0,138.0,136.0,344.0,0.8673295974731445
2,InceptionV3,128,0.3,0.3,32,5,0.8109375238418579,0.8101924061775208,0.8114583492279053,0.8098958134651184,0.8106539845466614,0.8116638660430908,0.6215964555740356,0.8955872654914856,1555.0,365.0,362.0,1558.0,40.135510206222534,0.6708333492279053,0.6702355742454529,0.6520833373069763,0.6791666746139526,0.6612478494644165,0.6609316468238831,0.3317125141620636,0.7351670265197754,326.0,154.0,167.0,313.0,0.8830020427703857
3,InceptionV3,128,0.3,0.3,32,8,0.8619791865348816,0.8640878200531006,0.8609374761581421,0.8645833134651184,0.862566351890564,0.8613971471786499,0.7256156802177429,0.9387287497520447,1660.0,260.0,267.0,1653.0,47.99526047706604,0.6875,0.6882845163345337,0.6854166388511658,0.6895833611488342,0.6867724061012268,0.6868686676025391,0.3750203549861908,0.7486827373504639,331.0,149.0,151.0,329.0,0.8910813331604004
4,InceptionV3,128,0.3,0.3,32,7,0.8755208253860474,0.8744137287139893,0.8739583492279053,0.8744791746139526,0.8741264939308167,0.874358057975769,0.7486945986747742,0.9423776268959045,1679.0,241.0,242.0,1678.0,47.45991086959839,0.7124999761581421,0.7148846983909607,0.7104166746139526,0.7166666388511658,0.7128850817680359,0.7117607593536377,0.4271596670150757,0.7607681751251221,344.0,136.0,139.0,341.0,0.9002649784088135
5,InceptionV3,128,0.3,0.3,32,6,0.8302083611488342,0.8309859037399292,0.8296874761581421,0.831250011920929,0.8304604887962341,0.8298339247703552,0.6611230969429016,0.9078895449638367,1596.0,324.0,327.0,1593.0,41.95249676704407,0.6583333611488342,0.6582809090614319,0.6541666388511658,0.6604166626930237,0.6559704542160034,0.656762421131134,0.3146088421344757,0.7301801443099976,317.0,163.0,166.0,314.0,0.8907816410064697
6,InceptionV3,128,0.3,0.3,32,20,0.9911458492279053,0.9911366105079651,0.9901041388511658,0.9911458492279053,0.9905913472175598,0.9902135133743286,0.9812947511672974,0.9996216297149658,1903.0,17.0,19.0,1901.0,85.96054410934448,0.71875,0.7169421315193176,0.7229166626930237,0.7145833373069763,0.7199999690055847,0.7204301357269287,0.4375508725643158,0.7725281119346619,343.0,137.0,133.0,347.0,0.7729225158691406
7,InceptionV3,128,0.3,0.3,32,5,0.8114583492279053,0.8147763013839722,0.815625011920929,0.8145833611488342,0.8151554465293884,0.8156338334083557,0.6303830742835999,0.8970285654067993,1564.0,356.0,354.0,1566.0,41.282118797302246,0.6833333373069763,0.6826722621917725,0.6812499761581421,0.6833333373069763,0.6825549006462097,0.6807388067245483,0.36462709307670593,0.7507096529006958,328.0,152.0,153.0,327.0,0.9457149505615234
8,InceptionV3,128,0.3,0.3,32,21,0.9864583611488342,0.986451268196106,0.9859374761581421,0.9864583611488342,0.9861937761306763,0.9859532713890076,0.9724037051200867,0.9987546801567078,1894.0,26.0,27.0,1893.0,89.97710251808167,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.7249999642372131,0.7250000238418579,0.44999998807907104,0.7905663847923279,348.0,132.0,132.0,348.0,0.7614660263061523
9,InceptionV3,128,0.3,0.3,32,17,0.9760416746139526,0.9760167002677917,0.9750000238418579,0.9760416746139526,0.9755125641822815,0.9750315546989441,0.9510574340820312,0.99747633934021,1874.0,46.0,48.0,1872.0,76.1697952747345,0.737500011920929,0.7354166507720947,0.7354166507720947,0.7354166507720947,0.73541659116745,0.7354166507720947,0.47083333134651184,0.8029578924179077,353.0,127.0,127.0,353.0,0.8451817035675049
10,InceptionV3,128,0.3,0.3,32,2,0.7208333611488342,0.7157016396522522,0.7145833373069763,0.7161458134651184,0.7150171399116516,0.7154258489608765,0.43114376068115234,0.7800341248512268,1375.0,545.0,548.0,1372.0,30.65302538871765,0.7250000238418579,0.7318087220191956,0.7333333492279053,0.731249988079071,0.73287034034729,0.732430100440979,0.4651232957839966,0.7752083539962769,351.0,129.0,128.0,352.0,0.9439196586608887
11,InceptionV3,128,0.3,0.3,32,11,0.9223958253860474,0.9230369329452515,0.9244791865348816,0.9229166507720947,0.9235523343086243,0.9249221682548523,0.8475712537765503,0.9773416519165039,1772.0,148.0,145.0,1775.0,57.221922159194946,0.6604166626930237,0.6625000238418579,0.6625000238418579,0.6625000238418579,0.6625894904136658,0.6623371243476868,0.3250325620174408,0.6916254758834839,318.0,162.0,162.0,318.0,0.8179805278778076
12,InceptionV3,128,0.3,0.3,32,14,0.981249988079071,0.980739176273346,0.981249988079071,0.9807291626930237,0.9809935688972473,0.981249988079071,0.9619870781898499,0.9975934028625488,1883.0,37.0,36.0,1884.0,67.25962781906128,0.7458333373069763,0.7437499761581421,0.7437499761581421,0.7437499761581421,0.7437413334846497,0.7437805533409119,0.48753052949905396,0.811069905757904,357.0,123.0,123.0,357.0,0.9560272693634033
13,InceptionV3,128,0.3,0.3,32,10,0.9281250238418579,0.9279749393463135,0.9260416626930237,0.9281250238418579,0.9269891381263733,0.9262980818748474,0.8542460799217224,0.9799394011497498,1782.0,138.0,142.0,1778.0,54.847663164138794,0.7229166626930237,0.7204968929290771,0.7250000238418579,0.71875,0.722654402256012,0.7234991192817688,0.4438387453556061,0.7922027111053467,345.0,135.0,132.0,348.0,0.8292362689971924
14,InceptionV3,128,0.3,0.3,32,18,0.9791666865348816,0.975597083568573,0.9786458611488342,0.9755208492279053,0.9771633148193359,0.9785439968109131,0.9542261958122253,0.9967186450958252,1873.0,47.0,41.0,1879.0,82.87932968139648,0.7041666507720947,0.7033194899559021,0.706250011920929,0.7020833492279053,0.7049678564071655,0.7046371102333069,0.40834757685661316,0.7389713525772095,337.0,143.0,141.0,339.0,0.8125886917114258
15,InceptionV3,128,0.3,0.3,32,9,0.9276041388511658,0.9271212816238403,0.9276041388511658,0.9270833134651184,0.9273940920829773,0.9276620149612427,0.8548648357391357,0.9820324778556824,1780.0,140.0,139.0,1781.0,51.79789972305298,0.6854166388511658,0.6846473217010498,0.6875,0.6833333373069763,0.6862819790840149,0.6857526898384094,0.3708434998989105,0.745944082736969,328.0,152.0,150.0,330.0,0.8140325546264648
