epoch,accuracy,auc,f1_score,fn,fp,loss,lr,mcc,npv,precision,recall,specificity,tn,tp,val_accuracy,val_auc,val_f1_score,val_fn,val_fp,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity,val_tn,val_tp
0,0.635937511920929,0.7104640007019043,0.6248738765716553,832.0,839.0,0.7301338315010071,0.01,0.2507951855659485,0.6257444024085999,0.6514333486557007,0.653333306312561,0.6239583492279053,1561.0,1568.0,0.5083333253860474,0.5921506285667419,0.5166929960250854,231.0,237.0,1.2409191131591797,0.024889977648854256,0.5099760293960571,0.5123456716537476,0.518750011920929,0.5062500238418579,243.0,249.0
1,0.7369791865348816,0.8014365434646606,0.732217013835907,503.0,531.0,0.5425305962562561,0.01,0.4622064530849457,0.7353752851486206,0.727412760257721,0.7380208373069763,0.723437488079071,1389.0,1417.0,0.5833333134651184,0.658569872379303,0.5881426930427551,197.0,203.0,0.8344749212265015,0.16634385287761688,0.5792126059532166,0.5823045372962952,0.5895833373069763,0.5770833492279053,277.0,283.0
2,0.7911458611488342,0.8783951997756958,0.7896626591682434,396.0,416.0,0.4348965287208557,0.01,0.577701210975647,0.7918996214866638,0.7855669856071472,0.793749988079071,0.7833333611488342,1504.0,1524.0,0.6479166746139526,0.7227582335472107,0.6489423513412476,167.0,172.0,0.6369335651397705,0.29390794038772583,0.6479158997535706,0.6453608274459839,0.6520833373069763,0.6416666507720947,308.0,313.0
3,0.864062488079071,0.9342665076255798,0.8639461994171143,261.0,261.0,0.3279440999031067,0.01,0.7284260988235474,0.8645422458648682,0.864062488079071,0.864062488079071,0.864062488079071,1659.0,1659.0,0.6708333492279053,0.7497374415397644,0.6705655455589294,160.0,155.0,0.7050622701644897,0.3439529240131378,0.6693664193153381,0.6736842393875122,0.6666666865348816,0.6770833134651184,325.0,320.0
4,0.8885416388511658,0.9583390951156616,0.8882014751434326,217.0,212.0,0.26249629259109497,0.01,0.7767241597175598,0.8872754573822021,0.8892950415611267,0.8869791626930237,0.8895833492279053,1708.0,1703.0,0.675000011920929,0.7370550632476807,0.6736857891082764,153.0,164.0,0.8113959431648254,0.33981308341026306,0.6734549403190613,0.6659877896308899,0.6812499761581421,0.6583333611488342,316.0,327.0
5,0.9072916507720947,0.9716960191726685,0.9069111943244934,177.0,180.0,0.21579569578170776,0.01,0.8142588138580322,0.9082111716270447,0.9063962697982788,0.9078124761581421,0.90625,1740.0,1743.0,0.6499999761581421,0.7033463716506958,0.6505603194236755,167.0,171.0,1.57978093624115,0.29579055309295654,0.6466352343559265,0.6466942429542542,0.6520833373069763,0.643750011920929,309.0,313.0
6,0.9270833134651184,0.97845458984375,0.9254171252250671,146.0,140.0,0.18692465126514435,0.01,0.8511644005775452,0.924273669719696,0.9268547296524048,0.9239583611488342,0.9270833134651184,1780.0,1774.0,0.7124999761581421,0.776404082775116,0.7123626470565796,138.0,139.0,0.9592424035072327,0.4231034219264984,0.7104359269142151,0.7110186815261841,0.7124999761581421,0.7104166746139526,341.0,342.0
7,0.9520833492279053,0.9903062582015991,0.9508481621742249,93.0,96.0,0.1277288943529129,0.01,0.9016268253326416,0.9514892101287842,0.950078010559082,0.9515625238418579,0.949999988079071,1824.0,1827.0,0.7229166626930237,0.8020551204681396,0.7256128787994385,128.0,138.0,0.8408554792404175,0.4460638165473938,0.7280420660972595,0.718367338180542,0.7333333492279053,0.7124999761581421,342.0,352.0
8,0.9661458134651184,0.9931747913360596,0.9655569195747375,67.0,65.0,0.10264500975608826,0.01,0.9313197731971741,0.9653026461601257,0.9661105275154114,0.9651041626930237,0.9661458134651184,1855.0,1853.0,0.6604166626930237,0.7262152433395386,0.6671942472457886,159.0,162.0,1.3275059461593628,0.3311607241630554,0.6652973890304565,0.6645962595939636,0.668749988079071,0.6625000238418579,318.0,321.0
9,0.9447916746139526,0.9872235059738159,0.9436822533607483,110.0,106.0,0.1420227438211441,0.01,0.8875706791877747,0.9429083466529846,0.944676399230957,0.9427083134651184,0.9447916746139526,1814.0,1810.0,0.7479166388511658,0.807703971862793,0.7462499737739563,121.0,123.0,0.7660258412361145,0.4917053282260895,0.7471102476119995,0.7448132634162903,0.7479166388511658,0.7437499761581421,357.0,359.0
