folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,ResNet101V2,128,0.3,0.3,32,6,0.7932291626930237,0.7941024303436279,0.7994791865348816,0.7927083373069763,0.7967479228973389,0.7984128594398499,0.5925468802452087,0.8768011927604675,1522.0,398.0,385.0,1535.0,90.57245111465454,0.7416666746139526,0.7452631592750549,0.737500011920929,0.7479166388511658,0.7415382862091064,0.7399749159812927,0.4857235252857208,0.8120898008346558,359.0,121.0,126.0,354.0,1.3148729801177979
2,ResNet101V2,128,0.3,0.3,32,12,0.9671875238418579,0.9666144847869873,0.9651041626930237,0.9666666388511658,0.9658563137054443,0.9651988744735718,0.9318092465400696,0.9940834045410156,1856.0,64.0,67.0,1853.0,127.90250277519226,0.7229166626930237,0.7229166626930237,0.7229166626930237,0.7229166626930237,0.7229166030883789,0.7229166626930237,0.44583332538604736,0.7761697173118591,347.0,133.0,133.0,347.0,1.7220113277435303
3,ResNet101V2,128,0.3,0.3,32,20,0.9963541626930237,0.9963560700416565,0.996874988079071,0.9963541626930237,0.9966185688972473,0.996874988079071,0.9932370781898499,0.9997376799583435,1913.0,7.0,6.0,1914.0,187.77261185646057,0.7145833373069763,0.7139874696731567,0.7124999761581421,0.7145833373069763,0.7130951285362244,0.7133838534355164,0.4270884096622467,0.7563346028327942,343.0,137.0,138.0,342.0,1.3044745922088623
4,ResNet101V2,128,0.3,0.3,32,12,0.9416666626930237,0.940625011920929,0.940625011920929,0.940625011920929,0.9406284093856812,0.9407201409339905,0.8813613653182983,0.9866582751274109,1806.0,114.0,114.0,1806.0,127.42134690284729,0.7145833373069763,0.7136929631233215,0.7166666388511658,0.7124999761581421,0.7152243256568909,0.7153897881507874,0.42919108271598816,0.7949957251548767,342.0,138.0,136.0,344.0,1.3024072647094727
5,ResNet101V2,128,0.3,0.3,32,13,0.9536458253860474,0.9521580934524536,0.9536458253860474,0.9520833492279053,0.9528505206108093,0.9537384510040283,0.905795156955719,0.9901987910270691,1828.0,92.0,89.0,1831.0,138.87923741340637,0.7395833134651184,0.7395833134651184,0.7395833134651184,0.7395833134651184,0.7395832538604736,0.7395833134651184,0.4791666567325592,0.8032183647155762,355.0,125.0,125.0,355.0,1.3184945583343506
6,ResNet101V2,128,0.3,0.3,32,6,0.8229166865348816,0.8230088353157043,0.823437511920929,0.8229166865348816,0.8232118487358093,0.8234981298446655,0.646534264087677,0.8968639969825745,1580.0,340.0,339.0,1581.0,86.6618812084198,0.731249988079071,0.7242798209190369,0.7333333492279053,0.7208333611488342,0.7288461327552795,0.7298386693000793,0.45425018668174744,0.7817534804344177,346.0,134.0,128.0,352.0,1.705913782119751
7,ResNet101V2,128,0.3,0.3,32,7,0.846875011920929,0.8463541865348816,0.8463541865348816,0.8463541865348816,0.8462458252906799,0.8467196822166443,0.6929110884666443,0.9233847856521606,1625.0,295.0,295.0,1625.0,95.41542053222656,0.7166666388511658,0.7184873819351196,0.7124999761581421,0.7208333611488342,0.71519535779953,0.7154691219329834,0.43344128131866455,0.7704839110374451,346.0,134.0,138.0,342.0,1.3305778503417969
8,ResNet101V2,128,0.3,0.3,32,13,0.973437488079071,0.9744259119033813,0.9723958373069763,0.9744791388511658,0.9733855724334717,0.9725931286811829,0.9469767808914185,0.9949858784675598,1871.0,49.0,53.0,1867.0,138.95646572113037,0.7291666865348816,0.7297297120094299,0.731249988079071,0.7291666865348816,0.730512797832489,0.7306451201438904,0.4604298770427704,0.77748703956604,350.0,130.0,129.0,351.0,1.319589614868164
9,ResNet101V2,128,0.3,0.3,32,3,0.7572916746139526,0.7575757503509521,0.7552083134651184,0.7583333253860474,0.7564223408699036,0.756058394908905,0.5139095783233643,0.8453676104545593,1456.0,464.0,470.0,1450.0,64.32574844360352,0.7104166746139526,0.7157894968986511,0.7083333134651184,0.71875,0.7115195989608765,0.7122957706451416,0.427106648683548,0.7556250095367432,345.0,135.0,140.0,340.0,1.2745702266693115
10,ResNet101V2,128,0.3,0.3,32,18,0.989062488079071,0.9885476231575012,0.989062488079071,0.9885416626930237,0.988814115524292,0.9890457391738892,0.9776115417480469,0.9993119835853577,1898.0,22.0,21.0,1899.0,170.11148405075073,0.7708333134651184,0.7708333134651184,0.7708333134651184,0.7708333134651184,0.7708332538604736,0.7708333134651184,0.5416666865348816,0.8495312333106995,370.0,110.0,110.0,370.0,1.2861921787261963
11,ResNet101V2,128,0.3,0.3,32,12,0.9770833253860474,0.9770594239234924,0.9760416746139526,0.9770833253860474,0.9765534996986389,0.9761027097702026,0.9531702399253845,0.9976305961608887,1876.0,44.0,46.0,1874.0,136.08944582939148,0.6875,0.6875,0.6875,0.6875,0.6874999403953552,0.6875,0.375,0.7442578077316284,330.0,150.0,150.0,330.0,1.3460538387298584
12,ResNet101V2,128,0.3,0.3,32,18,0.9729166626930237,0.9713541865348816,0.9713541865348816,0.9713541865348816,0.9713273644447327,0.9715059995651245,0.9428126811981201,0.9946314096450806,1865.0,55.0,55.0,1865.0,175.2121331691742,0.731249988079071,0.7301255464553833,0.7270833253860474,0.731249988079071,0.7283399105072021,0.7287247776985168,0.4583475887775421,0.7876365780830383,351.0,129.0,131.0,349.0,1.3628506660461426
13,ResNet101V2,128,0.3,0.3,32,3,0.737500011920929,0.7281106114387512,0.7406250238418579,0.723437488079071,0.7340906858444214,0.7367523312568665,0.4645499885082245,0.8000858426094055,1389.0,531.0,498.0,1422.0,68.50723886489868,0.6895833611488342,0.6944444179534912,0.6770833134651184,0.7020833492279053,0.6854507923126221,0.6853572130203247,0.3793787658214569,0.7486501932144165,337.0,143.0,155.0,325.0,1.3411014080047607
14,ResNet101V2,128,0.3,0.3,32,6,0.8380208611488342,0.8358520269393921,0.8354166746139526,0.8359375,0.8355786204338074,0.8357534408569336,0.6715386509895325,0.9133195281028748,1605.0,315.0,316.0,1604.0,90.02769041061401,0.6833333373069763,0.6853002309799194,0.6895833611488342,0.6833333373069763,0.687339723110199,0.6878359913825989,0.37295839190483093,0.7741796970367432,328.0,152.0,149.0,331.0,1.3587982654571533
15,ResNet101V2,128,0.3,0.3,32,19,0.9916666746139526,0.9916796684265137,0.9932291507720947,0.9916666746139526,0.992451548576355,0.9932606816291809,0.9849347472190857,0.9991024136543274,1904.0,16.0,13.0,1907.0,192.33893513679504,0.7208333611488342,0.7208333611488342,0.7208333611488342,0.7208333611488342,0.7208332419395447,0.7208333611488342,0.4416666626930237,0.790355920791626,346.0,134.0,134.0,346.0,1.3411200046539307
16,ResNet101V2,128,0.3,0.3,32,20,0.9744791388511658,0.9713988304138184,0.9729166626930237,0.9713541865348816,0.9721525311470032,0.9730169773101807,0.9444125890731812,0.9935793280601501,1865.0,55.0,52.0,1868.0,188.58779859542847,0.7229166626930237,0.7204968929290771,0.7250000238418579,0.71875,0.7224358916282654,0.7239247560501099,0.4438120722770691,0.7855077981948853,345.0,135.0,132.0,348.0,1.3402342796325684
17,ResNet101V2,128,0.3,0.3,32,11,0.9489583373069763,0.9497907757759094,0.9458333253860474,0.949999988079071,0.9478158950805664,0.9461448192596436,0.8959513306617737,0.989143967628479,1824.0,96.0,104.0,1816.0,126.21126818656921,0.6708333492279053,0.6715176701545715,0.6729166507720947,0.6708333492279053,0.6723076701164246,0.6720430254936218,0.3437550961971283,0.7337434887886047,322.0,158.0,157.0,323.0,1.3287270069122314
18,ResNet101V2,128,0.3,0.3,32,12,0.9505208134651184,0.949999988079071,0.949999988079071,0.949999988079071,0.9499968886375427,0.9500862956047058,0.9000850319862366,0.988737940788269,1824.0,96.0,96.0,1824.0,135.3458857536316,0.7479166388511658,0.7473903894424438,0.7458333373069763,0.7479166388511658,0.7465277314186096,0.7465277314186096,0.49376118183135986,0.8173697590827942,359.0,121.0,122.0,358.0,1.7452583312988281
19,ResNet101V2,128,0.3,0.3,32,18,0.9994791746139526,0.9984391331672668,0.9994791746139526,0.9984375238418579,0.9989743828773499,0.999462366104126,0.9979318976402283,0.9999964237213135,1917.0,3.0,1.0,1919.0,176.43985390663147,0.7916666865348816,0.7916666865348816,0.7916666865348816,0.7916666865348816,0.7916666269302368,0.7916666865348816,0.5833333134651184,0.834043025970459,380.0,100.0,100.0,380.0,1.2928466796875
20,ResNet101V2,128,0.3,0.3,32,15,0.9802083373069763,0.9807191491127014,0.9802083373069763,0.9807291626930237,0.9804480671882629,0.980255663394928,0.9609443545341492,0.9979535341262817,1883.0,37.0,38.0,1882.0,151.2729606628418,0.7333333492279053,0.731249988079071,0.731249988079071,0.731249988079071,0.7309126257896423,0.7319200038909912,0.4625183045864105,0.7965971827507019,351.0,129.0,129.0,351.0,1.3459069728851318
