folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,MobileNet,128,0.3,0.3,32,6,0.964062511920929,0.9641185402870178,0.965624988079071,0.964062511920929,0.9649180769920349,0.9655812382698059,0.9297977685928345,0.9936738014221191,1851.0,69.0,66.0,1854.0,20.554566621780396,0.7562500238418579,0.7568134069442749,0.7520833611488342,0.7583333253860474,0.7546893358230591,0.753193736076355,0.5105237364768982,0.8289734721183777,364.0,116.0,119.0,361.0,0.28360676765441895
2,MobileNet,128,0.3,0.3,32,15,1.0,0.9994794130325317,1.0,0.9994791746139526,0.9997435808181763,1.0,0.999487042427063,0.9999999403953552,1919.0,1.0,0.0,1920.0,34.10077714920044,0.7354166507720947,0.73221755027771,0.7291666865348816,0.7333333492279053,0.7305499315261841,0.7305983901023865,0.462565153837204,0.7963564395904541,352.0,128.0,130.0,350.0,0.2968747615814209
3,MobileNet,128,0.3,0.3,32,16,0.9973958134651184,0.9973931312561035,0.9963541626930237,0.9973958134651184,0.996866762638092,0.9963856935501099,0.9937657713890076,0.9999626278877258,1915.0,5.0,7.0,1913.0,35.555235385894775,0.731249988079071,0.7267080545425415,0.731249988079071,0.7250000238418579,0.7289102077484131,0.7297042608261108,0.4562978148460388,0.7937305569648743,348.0,132.0,129.0,351.0,0.2969696521759033
4,MobileNet,128,0.3,0.3,32,8,0.9937499761581421,0.9937532544136047,0.9942708611488342,0.9937499761581421,0.9940060377120972,0.9943023920059204,0.9880439639091492,0.9998250603675842,1908.0,12.0,11.0,1909.0,23.08123469352722,0.7437499761581421,0.7437499761581421,0.7437499761581421,0.7437499761581421,0.7436004281044006,0.7440635561943054,0.4875529408454895,0.8077213764190674,357.0,123.0,123.0,357.0,0.29688382148742676
5,MobileNet,128,0.3,0.3,32,11,0.9916666746139526,0.9906298518180847,0.9911458492279053,0.9906250238418579,0.9908810257911682,0.9911773800849915,0.981793999671936,0.9997055530548096,1902.0,18.0,17.0,1903.0,27.81534504890442,0.7666666507720947,0.768750011920929,0.768750011920929,0.768750011920929,0.7693773508071899,0.767546534538269,0.5375997424125671,0.8526366949081421,369.0,111.0,111.0,369.0,0.2982180118560791
6,MobileNet,128,0.3,0.3,32,8,0.9760416746139526,0.975013017654419,0.9755208492279053,0.9750000238418579,0.9752869009971619,0.9755798578262329,0.9506350755691528,0.9977353811264038,1872.0,48.0,47.0,1873.0,23.479098320007324,0.7291666865348816,0.7286012768745422,0.7270833253860474,0.7291666865348816,0.727497935295105,0.7283520102500916,0.4563141167163849,0.8020073771476746,350.0,130.0,131.0,349.0,0.28277158737182617
7,MobileNet,128,0.3,0.3,32,11,0.9989583492279053,0.9984375238418579,0.9984375238418579,0.9984375238418579,0.9984291195869446,0.9984690546989441,0.9968902468681335,0.9999907612800598,1917.0,3.0,3.0,1917.0,28.268108367919922,0.7645833492279053,0.7635983228683472,0.7604166865348816,0.7645833492279053,0.7621511220932007,0.7611669301986694,0.5251039862632751,0.8243662714958191,367.0,113.0,115.0,365.0,0.2976830005645752
8,MobileNet,128,0.3,0.3,32,10,0.9958333373069763,0.9963522553443909,0.9958333373069763,0.9963541626930237,0.9960896372795105,0.995849072933197,0.9921953678131104,0.9999401569366455,1913.0,7.0,8.0,1912.0,26.519877910614014,0.7124999761581421,0.7118998169898987,0.7104166746139526,0.7124999761581421,0.7111771702766418,0.7109848856925964,0.4229319393634796,0.7819226980209351,342.0,138.0,139.0,341.0,0.30269527435302734
9,MobileNet,128,0.3,0.3,32,2,0.864062488079071,0.8592360019683838,0.8552083373069763,0.8598958253860474,0.8571169376373291,0.8566343784332275,0.7158782482147217,0.93374103307724,1651.0,269.0,278.0,1642.0,14.343180656433105,0.7541666626930237,0.7537473440170288,0.7333333492279053,0.7604166865348816,0.7431259155273438,0.7409837245941162,0.49416765570640564,0.8310285806655884,365.0,115.0,128.0,352.0,0.2968788146972656
10,MobileNet,128,0.3,0.3,32,3,0.8911458253860474,0.8928200006484985,0.893750011920929,0.8927083611488342,0.8932512998580933,0.8940066695213318,0.7868074774742126,0.9569714665412903,1714.0,206.0,204.0,1716.0,15.837601900100708,0.7916666865348816,0.793684184551239,0.7854166626930237,0.7958333492279053,0.7899417281150818,0.7869095206260681,0.581416130065918,0.8379535675048828,382.0,98.0,103.0,377.0,0.2969346046447754
8,MobileNet,128,0.3,0.3,32,12,0.9963541626930237,0.9958376884460449,0.996874988079071,0.9958333373069763,0.9963533878326416,0.9969213008880615,0.9927541017532349,0.9999449253082275,1912.0,8.0,6.0,1914.0,29.171334743499756,0.75,0.7463617324829102,0.7479166388511658,0.7458333373069763,0.7471565008163452,0.7474157810211182,0.49386709928512573,0.8062195777893066,358.0,122.0,121.0,359.0,0.31472277641296387
9,MobileNet,128,0.3,0.3,32,16,0.9973958134651184,0.9979166388511658,0.9979166388511658,0.9979166388511658,0.9979245662689209,0.9979156255722046,0.9958485960960388,0.999972939491272,1916.0,4.0,4.0,1916.0,35.564281702041626,0.7333333492279053,0.7323651313781738,0.7354166507720947,0.731249988079071,0.7338781356811523,0.7343414425849915,0.46669718623161316,0.8115168809890747,351.0,129.0,127.0,353.0,0.29973936080932617
