epoch,accuracy,auc,f1_score,fn,fp,loss,lr,mcc,npv,precision,recall,specificity,tn,tp,val_accuracy,val_auc,val_f1_score,val_fn,val_fp,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity,val_tn,val_tp
0,0.6145833134651184,0.6789804697036743,0.6089516878128052,879.0,898.0,0.7010324597358704,0.01,0.21670611202716827,0.6104004383087158,0.6287721991539001,0.6337500214576721,0.6031249761581421,1502.0,1521.0,0.6354166865348816,0.6861414909362793,0.691760241985321,45.0,344.0,0.67050701379776,0.2338726669549942,0.7298130393028259,0.5584082007408142,0.90625,0.28333333134651184,136.0,435.0
1,0.7661458253860474,0.8412089347839355,0.7586433291435242,465.0,462.0,0.4936712384223938,0.01,0.5177687406539917,0.7579526901245117,0.758998453617096,0.7578125,0.7593749761581421,1458.0,1455.0,0.6916666626930237,0.7766774892807007,0.7076679468154907,124.0,171.0,0.5679083466529846,0.38736069202423096,0.7120744585990906,0.6755218505859375,0.7416666746139526,0.643750011920929,309.0,356.0
2,0.8697916865348816,0.9445227384567261,0.8687065243721008,253.0,251.0,0.300777792930603,0.01,0.7379634976387024,0.8687018752098083,0.8691344857215881,0.8682291507720947,0.8692708611488342,1669.0,1667.0,0.6979166865348816,0.7828494310379028,0.7023295760154724,145.0,139.0,0.59666508436203,0.40847599506378174,0.7016348242759705,0.7067510485649109,0.6979166865348816,0.7104166746139526,341.0,335.0
3,0.918749988079071,0.975128173828125,0.9175142645835876,159.0,158.0,0.2029585838317871,0.01,0.8350879549980164,0.9172271490097046,0.917665421962738,0.917187511920929,0.9177083373069763,1762.0,1761.0,0.7020833492279053,0.793298602104187,0.7076210379600525,140.0,141.0,0.6252351403236389,0.4146963357925415,0.7077630758285522,0.7068607211112976,0.7083333134651184,0.706250011920929,339.0,340.0
4,0.9411458373069763,0.9878341555595398,0.9426267743110657,106.0,115.0,0.14299346506595612,0.01,0.8850172758102417,0.9445502161979675,0.9403836131095886,0.9447916746139526,0.9401041865348816,1805.0,1814.0,0.731249988079071,0.8083898425102234,0.7292978167533875,129.0,132.0,0.6604480147361755,0.45634883642196655,0.7289104461669922,0.7267080545425415,0.731249988079071,0.7250000238418579,348.0,351.0
5,0.9744791388511658,0.9974289536476135,0.9747104048728943,49.0,48.0,0.06841717660427094,0.01,0.9495170712471008,0.9745739102363586,0.9749869704246521,0.9744791388511658,0.9750000238418579,1872.0,1871.0,0.7250000238418579,0.7710307836532593,0.7251922488212585,131.0,134.0,1.0483181476593018,0.4479359984397888,0.7245967984199524,0.7225672602653503,0.7270833253860474,0.7208333611488342,346.0,349.0
6,0.9781249761581421,0.9957498908042908,0.9767602682113647,46.0,43.0,0.07386746257543564,0.01,0.9537452459335327,0.9762625098228455,0.9775691032409668,0.9760416746139526,0.9776041507720947,1877.0,1874.0,0.7291666865348816,0.8033875226974487,0.725999653339386,133.0,129.0,0.898429274559021,0.45426031947135925,0.7250916957855225,0.7289915680885315,0.7229166626930237,0.731249988079071,351.0,347.0
7,0.9666666388511658,0.992826521396637,0.9658719897270203,64.0,67.0,0.09800960123538971,0.01,0.9318392276763916,0.9667603373527527,0.9651585817337036,0.9666666388511658,0.9651041626930237,1853.0,1856.0,0.7791666388511658,0.8654860854148865,0.7763317823410034,107.0,108.0,0.6191214919090271,0.5521679520606995,0.7765530347824097,0.7754677534103394,0.7770833373069763,0.7749999761581421,372.0,373.0
8,0.981249988079071,0.99852454662323,0.980737030506134,37.0,37.0,0.052478428930044174,0.01,0.9614735841751099,0.9807281494140625,0.9807291626930237,0.9807291626930237,0.9807291626930237,1883.0,1883.0,0.7749999761581421,0.8497416973114014,0.7733795642852783,110.0,107.0,0.8503938913345337,0.5479787588119507,0.7720328569412231,0.7756813168525696,0.7708333134651184,0.7770833373069763,373.0,370.0
9,0.9927083253860474,0.999566912651062,0.9929807782173157,13.0,14.0,0.02480192668735981,0.01,0.9859448671340942,0.9932124018669128,0.992712140083313,0.9932291507720947,0.9927083253860474,1906.0,1907.0,0.7749999761581421,0.8447374701499939,0.7749999165534973,108.0,108.0,0.9587488174438477,0.550000011920929,0.7749999761581421,0.7749999761581421,0.7749999761581421,0.7749999761581421,372.0,372.0
