epoch,accuracy,auc,f1_score,fn,fp,loss,lr,mcc,npv,precision,recall,specificity,tn,tp,val_accuracy,val_auc,val_f1_score,val_fn,val_fp,val_loss,val_mcc,val_npv,val_precision,val_recall,val_specificity,val_tn,val_tp
0,0.6083333492279053,0.711220383644104,0.6023085713386536,848.0,854.0,0.7470009922981262,0.01,0.2074223905801773,0.6067174673080444,0.645054042339325,0.6466666460037231,0.6015625,1546.0,1552.0,0.543749988079071,0.5515213012695312,0.6353476643562317,85.0,371.0,0.7741363644599915,0.04237544909119606,0.5037037134170532,0.5156657695770264,0.8229166865348816,0.22708334028720856,109.0,395.0
1,0.7619791626930237,0.831691563129425,0.7570334076881409,454.0,489.0,0.5083004236221313,0.01,0.5096762180328369,0.7587313055992126,0.7498721480369568,0.7635416388511658,0.745312511920929,1431.0,1466.0,0.5854166746139526,0.6274804472923279,0.6688411235809326,47.0,385.0,0.7077547311782837,0.11701110005378723,0.6006565093994141,0.5293398499488831,0.9020833373069763,0.1979166716337204,95.0,433.0
2,0.8239583373069763,0.8956087231636047,0.8203747868537903,345.0,344.0,0.40865328907966614,0.01,0.6415820717811584,0.8210235834121704,0.8207399845123291,0.8203125,0.8208333253860474,1576.0,1575.0,0.5395833253860474,0.5984418392181396,0.5379506349563599,221.0,226.0,0.7330203652381897,0.06855731457471848,0.5319932699203491,0.5340206027030945,0.5395833253860474,0.5291666388511658,254.0,259.0
3,0.8531249761581421,0.9294893145561218,0.8521748781204224,284.0,284.0,0.3387198746204376,0.01,0.7046982645988464,0.8523193597793579,0.8520833253860474,0.8520833253860474,0.8520833253860474,1636.0,1636.0,0.6291666626930237,0.6488324999809265,0.6444929838180542,159.0,198.0,0.7205025553703308,0.25615963339805603,0.6334187388420105,0.6184971332550049,0.668749988079071,0.5874999761581421,282.0,321.0
4,0.9114583134651184,0.9683313369750977,0.9110020995140076,171.0,170.0,0.22611825168132782,0.01,0.8225971460342407,0.9115062355995178,0.9114121794700623,0.910937488079071,0.9114583134651184,1750.0,1749.0,0.5145833492279053,0.5932834148406982,0.5319402813911438,223.0,237.0,1.153809905052185,0.0404898077249527,0.5105359554290771,0.5202429294586182,0.5354166626930237,0.5062500238418579,243.0,257.0
5,0.9098958373069763,0.974981963634491,0.9091111421585083,175.0,174.0,0.20562683045864105,0.01,0.8183704018592834,0.9089856743812561,0.9093277454376221,0.9088541865348816,0.909375011920929,1746.0,1745.0,0.5208333134651184,0.6339409351348877,0.5260543823242188,227.0,236.0,1.4324842691421509,0.03486117348074913,0.5091953873634338,0.5173823833465576,0.5270833373069763,0.5083333253860474,244.0,253.0
6,0.909375011920929,0.9689888954162598,0.9105793237686157,170.0,174.0,0.22641366720199585,0.01,0.8209631443023682,0.9112493991851807,0.909563422203064,0.9114583134651184,0.909375011920929,1746.0,1750.0,0.6666666865348816,0.7279036045074463,0.6821502447128296,143.0,180.0,0.9033864140510559,0.3261319696903229,0.660926103591919,0.6518375277519226,0.7020833492279053,0.625,300.0,337.0
7,0.9453125,0.9858712553977966,0.9444905519485474,105.0,108.0,0.15278321504592896,0.01,0.8891685605049133,0.945492684841156,0.9438377618789673,0.9453125,0.9437500238418579,1812.0,1815.0,0.53125,0.6280121207237244,0.5329225063323975,224.0,227.0,2.3925201892852783,0.06029532104730606,0.527638852596283,0.5300207138061523,0.5333333611488342,0.5270833373069763,253.0,256.0
8,0.9703124761581421,0.9959518909454346,0.9706809520721436,54.0,59.0,0.08244431763887405,0.01,0.9411954283714294,0.971705973148346,0.9693506360054016,0.971875011920929,0.9692708253860474,1861.0,1866.0,0.5666666626930237,0.6644466519355774,0.576424777507782,202.0,211.0,1.938982605934143,0.1393742561340332,0.5653718113899231,0.5685071349143982,0.5791666507720947,0.5604166388511658,269.0,278.0
9,0.9677083492279053,0.9945847392082214,0.9676834344863892,62.0,62.0,0.09106877446174622,0.01,0.9354308843612671,0.9677714705467224,0.9677083492279053,0.9677083492279053,0.9677083492279053,1858.0,1858.0,0.5020833611488342,0.5682487487792969,0.5041025280952454,238.0,239.0,3.701340913772583,0.006220467854291201,0.5021505355834961,0.5031185150146484,0.5041666626930237,0.5020833611488342,241.0,242.0
10,0.9468749761581421,0.9868054389953613,0.9479315280914307,100.0,100.0,0.14379023015499115,0.0009999999,0.8958765864372253,0.9479273557662964,0.9479166865348816,0.9479166865348816,0.9479166865348816,1820.0,1820.0,0.5020833611488342,0.5500043630599976,0.5060917139053345,237.0,240.0,4.226327896118164,0.006096021272242069,0.5,0.5031055808067322,0.5062500238418579,0.5,240.0,243.0
11,0.9916666746139526,0.9991559982299805,0.9908974170684814,16.0,19.0,0.03792862966656685,0.0009999999,0.9817944765090942,0.9916666746139526,0.9901195764541626,0.9916666746139526,0.9901041388511658,1901.0,1904.0,0.5145833492279053,0.5533419847488403,0.5142657160758972,233.0,236.0,4.216439723968506,0.02277693711221218,0.5086738467216492,0.5113871693611145,0.5145833492279053,0.5083333253860474,244.0,247.0
