folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,VGG19,128,0.3,0.3,32,0,0.5791666507720947,0.5558786988258362,0.5575000047683716,0.5682291388511658,0.5695073008537292,0.5715382099151611,0.14060233533382416,0.5660701394081116,1331.0,1069.0,1062.0,1338.0,31.016026735305786,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,240.0,240.0,240.0,240.0,0.4964306354522705
2,VGG19,128,0.3,0.3,32,3,0.6713541746139526,0.6701461672782898,0.668749988079071,0.6708333492279053,0.6696954369544983,0.6689330339431763,0.339637815952301,0.7204397320747375,1288.0,632.0,636.0,1284.0,45.5250027179718,0.5958333611488342,0.5063559412956238,0.9958333373069763,0.02916666679084301,0.6714050769805908,0.6000000238418579,0.07590311020612717,0.6479557156562805,14.0,466.0,2.0,478.0,0.4968600273132324
3,VGG19,128,0.3,0.3,32,0,0.5494791865348816,0.5376842021942139,0.5320833325386047,0.5531250238418579,0.5427033305168152,0.5456289052963257,0.09356008470058441,0.5414978265762329,1302.0,1098.0,1123.0,1277.0,32.12458634376526,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,240.0,240.0,240.0,240.0,0.5037908554077148
4,VGG19,128,0.3,0.3,32,2,0.6479166746139526,0.6453333497047424,0.6302083134651184,0.6536458134651184,0.6371154189109802,0.6393840312957764,0.284423291683197,0.6921529769897461,1255.0,665.0,710.0,1210.0,41.072972774505615,0.5020833611488342,0.5165562629699707,0.48750001192092896,0.543749988079071,0.4938211739063263,0.5279889702796936,0.030157962813973427,0.6080446839332581,261.0,219.0,246.0,234.0,0.5024864673614502
5,VGG19,128,0.3,0.3,32,4,0.7171875238418579,0.7160751819610596,0.7145833373069763,0.7166666388511658,0.7153008580207825,0.7152401208877563,0.43127238750457764,0.7889685034751892,1376.0,544.0,548.0,1372.0,50.67564916610718,0.612500011920929,0.6353887319564819,0.4937500059604645,0.7166666388511658,0.5407192707061768,0.6018267273902893,0.2078378051519394,0.6643164157867432,344.0,136.0,243.0,237.0,0.4982564449310303
6,VGG19,128,0.3,0.3,32,2,0.6661458611488342,0.6594963073730469,0.6546875238418579,0.6619791388511658,0.6569913625717163,0.6573275327682495,0.3168420195579529,0.7192813754081726,1271.0,649.0,663.0,1257.0,40.67725586891174,0.581250011920929,0.782608687877655,0.1875,0.9479166865348816,0.2856375277042389,0.5414617657661438,0.1676081269979477,0.6541818380355835,455.0,25.0,390.0,90.0,0.49694156646728516
7,VGG19,128,0.3,0.3,32,0,0.515625,0.5119196772575378,0.5099999904632568,0.5171874761581421,0.5121572017669678,0.5150392651557922,0.029823990538716316,0.5115153789520264,1233.0,1167.0,1176.0,1224.0,31.135276317596436,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,240.0,240.0,240.0,240.0,0.4977104663848877
8,VGG19,128,0.3,0.3,32,3,0.5895833373069763,0.5833758115768433,0.5958333611488342,0.5744791626930237,0.5890299081802368,0.5876027941703796,0.17096926271915436,0.6208792924880981,1103.0,817.0,776.0,1144.0,45.51607322692871,0.5479166507720947,0.5909090638160706,0.02708333358168602,0.981249988079071,0.0495939739048481,0.5022239685058594,0.021656090393662453,0.5941188931465149,471.0,9.0,467.0,13.0,0.4960033893585205
9,VGG19,128,0.3,0.3,32,1,0.5880208611488342,0.5819672346115112,0.5916666388511658,0.574999988079071,0.5864096283912659,0.5844310522079468,0.16700561344623566,0.614753246307373,1104.0,816.0,784.0,1136.0,35.86300873756409,0.6416666507720947,0.6882022619247437,0.5104166865348816,0.768750011920929,0.5766317248344421,0.6195768713951111,0.2835303246974945,0.6687566041946411,369.0,111.0,235.0,245.0,0.501981258392334
10,VGG19,128,0.3,0.3,32,0,0.5864583253860474,0.5601503849029541,0.5587499737739563,0.5765625238418579,0.5740126371383667,0.5735630393028259,0.15052224695682526,0.5634970664978027,1347.0,1053.0,1059.0,1341.0,31.05507755279541,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,240.0,240.0,240.0,240.0,0.7217438220977783
