folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,DenseNet201,128,0.3,0.3,32,11,0.996874988079071,0.9958376884460449,0.996874988079071,0.9958333373069763,0.9963621497154236,0.996874988079071,0.9927241206169128,0.9999662041664124,1912.0,8.0,6.0,1914.0,125.42280745506287,0.7562500238418579,0.7578288316726685,0.7562500238418579,0.7583333253860474,0.757175862789154,0.7565025091171265,0.5146088004112244,0.8400389552116394,364.0,116.0,117.0,363.0,2.9776504039764404
2,DenseNet201,128,0.3,0.3,32,10,0.9932291507720947,0.9932291507720947,0.9932291507720947,0.9932291507720947,0.9932370781898499,0.9932281374931335,0.9864736199378967,0.9996539950370789,1907.0,13.0,13.0,1907.0,118.47251892089844,0.768750011920929,0.7628865838050842,0.7708333134651184,0.7604166865348816,0.7667258977890015,0.7687321305274963,0.5313875675201416,0.8425738215446472,365.0,115.0,110.0,370.0,2.7824413776397705
3,DenseNet201,128,0.3,0.3,32,12,0.9984375238418579,0.9979166388511658,0.9979166388511658,0.9979166388511658,0.9979165196418762,0.9979324340820312,0.995849072933197,0.9999837875366211,1916.0,4.0,4.0,1916.0,132.73954439163208,0.78125,0.7849686741828918,0.7833333611488342,0.7854166626930237,0.7841213941574097,0.7838811874389648,0.5688100457191467,0.8400824069976807,377.0,103.0,104.0,376.0,1.9923357963562012
4,DenseNet201,128,0.3,0.3,32,12,0.9973958134651184,0.9973958134651184,0.9973958134651184,0.9973958134651184,0.9973958134651184,0.9973958134651184,0.9947916865348816,0.9999678730964661,1915.0,5.0,5.0,1915.0,132.46849918365479,0.7875000238418579,0.7883817553520203,0.7916666865348816,0.7875000238418579,0.7900543808937073,0.7907523512840271,0.5792276859283447,0.8383073806762695,378.0,102.0,100.0,380.0,2.6788930892944336
5,DenseNet201,128,0.3,0.3,32,6,0.9630208611488342,0.9629822969436646,0.9619791507720947,0.9630208611488342,0.9624632000923157,0.9621398448944092,0.9250972867012024,0.9939094185829163,1849.0,71.0,73.0,1847.0,92.05309748649597,0.7916666865348816,0.7987421154975891,0.793749988079071,0.800000011920929,0.7965500950813293,0.7944669127464294,0.5938507914543152,0.8546137809753418,384.0,96.0,99.0,381.0,2.9087936878204346
6,DenseNet201,128,0.3,0.3,32,10,0.981249988079071,0.9812695384025574,0.9822916388511658,0.981249988079071,0.9818108677864075,0.9822244644165039,0.9635553956031799,0.9985759854316711,1884.0,36.0,34.0,1886.0,118.69613003730774,0.8083333373069763,0.8087317943572998,0.8104166388511658,0.8083333373069763,0.8094428181648254,0.81036376953125,0.6188589334487915,0.8798502087593079,388.0,92.0,91.0,389.0,2.022156000137329
7,DenseNet201,128,0.3,0.3,32,18,0.9989583492279053,0.9994788765907288,0.9989583492279053,0.9994791746139526,0.9992145895957947,0.998974084854126,0.9984453916549683,0.999998927116394,1919.0,1.0,2.0,1918.0,172.7651252746582,0.8041666746139526,0.8008298873901367,0.8041666746139526,0.800000011920929,0.8025320172309875,0.803292989730835,0.6042032837867737,0.873865008354187,384.0,96.0,94.0,386.0,2.009432554244995
8,DenseNet201,128,0.3,0.3,32,8,0.9588541388511658,0.9588541388511658,0.9588541388511658,0.9588541388511658,0.9588757753372192,0.9588755369186401,0.9177785515785217,0.9913637638092041,1841.0,79.0,79.0,1841.0,102.98021245002747,0.7645833492279053,0.7645833492279053,0.7645833492279053,0.7645833492279053,0.764738917350769,0.7642940878868103,0.5292032957077026,0.8360980749130249,367.0,113.0,113.0,367.0,1.9641087055206299
9,DenseNet201,128,0.3,0.3,32,5,0.940625011920929,0.93756502866745,0.9385416507720947,0.9375,0.9380387663841248,0.9386789202690125,0.8762273192405701,0.985313355922699,1800.0,120.0,118.0,1802.0,83.85169291496277,0.7791666388511658,0.7798354029655457,0.7895833253860474,0.7770833373069763,0.7850505113601685,0.7861649394035339,0.5667603015899658,0.8734592199325562,373.0,107.0,101.0,379.0,2.2126574516296387
10,DenseNet201,128,0.3,0.3,32,22,0.9989583492279053,0.9989588856697083,0.9994791746139526,0.9989583492279053,0.9992227554321289,0.9994791746139526,0.9984453916549683,0.9999967813491821,1918.0,2.0,1.0,1919.0,199.69312500953674,0.8541666865348816,0.8523908257484436,0.8541666865348816,0.8520833253860474,0.8533332943916321,0.8537634611129761,0.7062693238258362,0.9225000143051147,409.0,71.0,70.0,410.0,2.7121729850769043
11,DenseNet201,128,0.3,0.3,32,9,0.9932291507720947,0.9932185411453247,0.9916666746139526,0.9932291507720947,0.9924351572990417,0.9917287826538086,0.9849342107772827,0.999673068523407,1907.0,13.0,16.0,1904.0,111.67000317573547,0.762499988079071,0.7604166865348816,0.7604166865348816,0.7604166865348816,0.760915219783783,0.759414792060852,0.5208740234375,0.8186784982681274,365.0,115.0,115.0,365.0,2.6989848613739014
12,DenseNet201,128,0.3,0.3,32,10,0.995312511920929,0.9947971105575562,0.9958333373069763,0.9947916865348816,0.9953285455703735,0.9958165287971497,0.9906402826309204,0.9997677803039551,1910.0,10.0,8.0,1912.0,117.73795580863953,0.7916666865348816,0.7920997738838196,0.793749988079071,0.7916666865348816,0.7928845882415771,0.7934139966964722,0.5854380130767822,0.8605079054832458,380.0,100.0,99.0,381.0,2.054762125015259
13,DenseNet201,128,0.3,0.3,32,15,0.9979166388511658,0.9979166388511658,0.9979166388511658,0.9979166388511658,0.9979166388511658,0.9979166388511658,0.9958333373069763,0.9999869465827942,1916.0,4.0,4.0,1916.0,152.3435983657837,0.8208333253860474,0.8187500238418579,0.8187500238418579,0.8187500238418579,0.8188689947128296,0.8185749053955078,0.6375855207443237,0.9041754603385925,393.0,87.0,87.0,393.0,2.797379970550537
14,DenseNet201,128,0.3,0.3,32,15,0.9979166388511658,0.9973971843719482,0.9979166388511658,0.9973958134651184,0.9976762533187866,0.9978830814361572,0.9953193664550781,0.9999101758003235,1915.0,5.0,4.0,1916.0,152.53371286392212,0.8229166865348816,0.8263598084449768,0.8229166865348816,0.8270833492279053,0.8246692419052124,0.8236111402511597,0.6500447392463684,0.8880751729011536,397.0,83.0,85.0,395.0,2.0099375247955322
15,DenseNet201,128,0.3,0.3,32,9,0.9958333373069763,0.9958289861679077,0.9947916865348816,0.9958333373069763,0.9953041076660156,0.9948389530181885,0.9906565546989441,0.9998910427093506,1912.0,8.0,10.0,1910.0,112.39554953575134,0.7708333134651184,0.7697095274925232,0.7729166746139526,0.768750011920929,0.7714067101478577,0.7718251347541809,0.5417460799217224,0.8321831226348877,369.0,111.0,109.0,371.0,2.033381700515747
