folder,network,DenseNum,DropOut,FreezePercentage,BatchSize,epoch,accuracy,precision,sensitivity,specificity,f1_score,npv,mcc,auc,tn,fp,fn,tp,runtime,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_npv,val_mcc,val_auc,val_tn,val_fp,val_fn,val_tp,val_runtime
1,Xception,128,0.3,0.3,32,16,0.9989583492279053,0.9989583492279053,0.9989583492279053,0.9989583492279053,0.9989583492279053,0.9989583492279053,0.9979166388511658,0.9999951124191284,1918.0,2.0,2.0,1918.0,109.11903977394104,0.7666666507720947,0.765072762966156,0.7666666507720947,0.7645833492279053,0.7658332586288452,0.7662634253501892,0.5312693119049072,0.8321331739425659,367.0,113.0,112.0,368.0,0.8182117938995361
2,Xception,128,0.3,0.3,32,10,0.9885416626930237,0.9890453815460205,0.987500011920929,0.989062488079071,0.9882275462150574,0.9876261949539185,0.9765836000442505,0.998909592628479,1899.0,21.0,24.0,1896.0,80.9398581981659,0.7749999761581421,0.7706611752510071,0.7770833373069763,0.768750011920929,0.7740617394447327,0.7748297452926636,0.5459190011024475,0.8371418714523315,369.0,111.0,107.0,373.0,0.8170852661132812
3,Xception,128,0.3,0.3,32,4,0.979687511920929,0.9807090759277344,0.979687511920929,0.9807291626930237,0.9801830053329468,0.9797811508178711,0.9604619145393372,0.9977635741233826,1883.0,37.0,39.0,1881.0,52.10332536697388,0.7666666507720947,0.7661795616149902,0.7645833492279053,0.7666666507720947,0.7652721405029297,0.7653205990791321,0.5313040018081665,0.8176541924476624,368.0,112.0,113.0,367.0,0.8458414077758789
4,Xception,128,0.3,0.3,32,7,0.9864583611488342,0.9864653944969177,0.9869791865348816,0.9864583611488342,0.986714243888855,0.9870264530181885,0.9734764099121094,0.9984673261642456,1894.0,26.0,25.0,1895.0,65.45314645767212,0.7833333611488342,0.7821576595306396,0.7854166626930237,0.78125,0.783557653427124,0.7850134372711182,0.5667175054550171,0.8209288716316223,375.0,105.0,103.0,377.0,0.812777042388916
5,Xception,128,0.3,0.3,32,16,0.9994791746139526,0.9994794130325317,1.0,0.9994791746139526,0.9997435808181763,1.0,0.999487042427063,0.9999997019767761,1919.0,1.0,0.0,1920.0,107.95926141738892,0.8104166388511658,0.8147368431091309,0.8062499761581421,0.8166666626930237,0.810416579246521,0.8083965182304382,0.6230154037475586,0.873621940612793,392.0,88.0,93.0,387.0,0.813422679901123
6,Xception,128,0.3,0.3,32,12,0.9973958134651184,0.9973958134651184,0.9973958134651184,0.9973958134651184,0.9973956942558289,0.9974116086959839,0.9948074221611023,0.999963641166687,1915.0,5.0,5.0,1915.0,89.78988981246948,0.8104166388511658,0.8117154836654663,0.8083333373069763,0.8125,0.8094785809516907,0.8102447390556335,0.6209251284599304,0.8856596946716309,390.0,90.0,92.0,388.0,0.8106110095977783
7,Xception,128,0.3,0.3,32,13,0.9932291507720947,0.9932291507720947,0.9932291507720947,0.9932291507720947,0.9932291507720947,0.9932291507720947,0.9864583611488342,0.9998528361320496,1907.0,13.0,13.0,1907.0,93.4385552406311,0.78125,0.777546763420105,0.7791666388511658,0.7770833373069763,0.7784151434898376,0.7786352038383484,0.5563364624977112,0.8583744764328003,373.0,107.0,106.0,374.0,0.8158574104309082
8,Xception,128,0.3,0.3,32,7,0.9911458492279053,0.991150438785553,0.9916666746139526,0.9911458492279053,0.9914102554321289,0.9916666746139526,0.9828203916549683,0.999691903591156,1903.0,17.0,16.0,1904.0,66.58731269836426,0.737500011920929,0.7380457520484924,0.7395833134651184,0.737500011920929,0.7385459542274475,0.7396016716957092,0.477133184671402,0.8075585961341858,354.0,126.0,125.0,355.0,0.8234870433807373
9,Xception,128,0.3,0.3,32,6,0.9848958253860474,0.9849115610122681,0.9859374761581421,0.9848958253860474,0.9854325652122498,0.9859364628791809,0.9708643555641174,0.998077929019928,1891.0,29.0,27.0,1893.0,73.19667673110962,0.7770833373069763,0.7787056565284729,0.7770833373069763,0.7791666388511658,0.7779054641723633,0.7775720953941345,0.5563161969184875,0.8443272113800049,374.0,106.0,107.0,373.0,0.8078162670135498
10,Xception,128,0.3,0.3,32,10,0.9989583492279053,0.99843829870224,0.9989583492279053,0.9984375238418579,0.9987019300460815,0.9989583492279053,0.9974037408828735,0.9999837279319763,1917.0,3.0,2.0,1918.0,96.48892450332642,0.7729166746139526,0.7729166746139526,0.7729166746139526,0.7729166746139526,0.7728098034858704,0.7731407284736633,0.5458618402481079,0.8416774272918701,371.0,109.0,109.0,371.0,0.8046886920928955
