val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1_score,val_auc,model,runtime,val_runtime,total_runtime
54.427933778081616,51.208444715154414,52.52678573537827,54.00212591202759,48.4616940905226,57.43067226847825,VGG16,37.714020926368484,0.433857951358873,38.14787887772735
56.39880963734218,55.51690319362952,55.61904762762275,54.76424324380861,51.93494694022347,60.22622409523749,VGG19,45.92936251163483,0.5118198771866,46.441182388821424
59.021666693687436,57.63682162463665,58.13187510736752,58.37520837036427,55.91276256670244,62.863801163434985,ResNet152,126.71235850381849,2.4843003566265107,129.19665886044504
60.33460890760225,58.826869254817765,60.40199829491179,58.9370748267642,58.16368470305806,64.05587987936273,ResNet101,91.01622597538696,1.5611828169044182,92.57740879229137
63.30527208897532,62.54678715856708,62.75063768884509,62.76615651823314,61.43342110917581,68.05020460060663,ResNet50,54.48847888586472,0.6949892377366825,55.183468123601415
63.95979165434837,63.70607295036316,63.53770839371718,63.36000007956754,62.71322340117767,67.9801390171051,MobileNetV2,33.01437176012993,0.47819795680046084,33.49256971693039
66.70270829200744,66.35746881365776,66.60895824925974,66.3112499346491,66.1926216205582,71.53159866631032,EfficientNetB4,154.78267926049233,2.244209988355636,157.02688924884797
75.84979168772698,75.72099353075028,75.73937504887581,75.81187494397163,75.72518867254257,81.9695980668068,ResNet50V2,66.727710231781,0.6486551294326782,67.37636536121369
75.99312501549721,75.93037882447243,75.9156249910593,75.92958334684371,75.91053869128227,82.30874217152595,Xception,79.35106127071381,0.7951161611080169,80.14617743182181
76.66958332061768,76.54265475273132,76.49125003516674,76.5243749320507,76.47421807348728,83.15773229598999,MobileNet,27.307965940237047,0.3148665814399719,27.62283252167702
76.87395831048488,76.80432606637478,76.78000001609325,76.78968750417698,76.77697584331035,83.2573378622532,DenseNet201,147.2810099624395,2.193175269603729,149.47418523204328
77.89812493175268,77.83610740602016,77.86963545531034,77.79994786679745,77.84387706667185,84.19747959375381,ResNet101V2,131.8897401816845,1.3668921584486962,133.2566323401332
77.99770841002464,77.93657789826393,77.80708338064142,78.04708335399627,77.82060527196154,84.47394154071807,InceptionV3,70.34329415011405,1.0324699327945712,71.37576408290862
78.02750005125999,77.97406553030014,77.97666670084,77.97083337306977,77.96992137432099,84.32622528076172,ResNet152V2,199.10642273926734,2.059121304512024,201.16554404377936
