subset,strategy,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,DL,DenseNet201,18792.76219701767,249.75171208381653,19042.513909101486,83.46354180574417,82.39583373069763,77.89062261581421,90.67708402872086,58.71093049645424,109.85677614808084,83.35336798429489,82.45300650596619,77.85284221172333,90.58972597122194,58.74751657247541,109.69505161046985,83.31927061080933,82.23958313465118,77.87760645151138,90.45572876930235,59.010422974824905,109.32291224598885,83.36145800352097,82.52604007720947,77.76041477918625,90.61197936534882,58.4830678999424,109.88932624459268,83.32894486188889,82.29102790355682,77.8049185872078,90.48096239566804,58.79085287451744,109.49502810835838,90.07829308509828,90.461665391922,85.5127602815628,96.8025580048561,68.57806369662288,113.73725458979604,83.35585975646973,82.28763937950134,77.94632464647293,90.45678377151488,59.18063595890999,109.22247245907784,66.70889964699745,64.67275321483612,55.74548989534378,81.0054823756218,17.855501174926758,118.89547109603882,68.387500166893,68.4374988079071,66.04166626930237,70.46874910593033,59.40104201436043,77.10937336087227,68.29171448945999,68.18711161613464,66.01260006427765,70.48415094614029,59.30527374148369,77.19147726893425,68.46041679382324,68.4374988079071,66.45833253860474,70.6250011920929,60.2083295583725,76.87500417232513,68.16666686534882,68.33333373069763,65.98958373069763,70.6250011920929,59.036457538604736,77.57812738418579,68.37254810333252,68.09582114219666,66.14400744438171,70.44386714696884,59.69421789050102,76.89365670084953,73.46544867753983,73.09375405311584,71.1412250995636,75.97091645002365,63.89668807387352,83.21545347571373,68.33777338266373,68.12704205513,66.25424921512604,70.4198956489563,60.005779564380646,76.66836529970169,36.64526775479317,36.46770417690277,32.19310045242309,40.8975712954998,19.13639418780803,53.95427756011486
10,DL,DenseNet201,17198.54036140442,247.82803440094,17446.36839580536,82.95520865917206,80.859375,74.89583343267441,91.67968630790712,49.72005411982535,116.85546562075618,82.80891644954681,80.91778457164764,74.55084025859833,91.78336709737778,48.70205000042915,117.63215735554697,82.83854186534882,81.1718761920929,74.50520992279053,91.87500029802324,48.45052435994147,117.9296858608723,82.80260396003723,80.83333373069763,74.44010525941849,91.79687649011612,48.40494841337204,117.83203333616255,82.81701409816742,80.98295331001282,74.49262291193008,91.81231111288072,48.513090610504136,117.79184341430668,89.39321690797806,88.96974325180054,81.89819306135178,97.31454700231554,58.77366214990614,120.43907791376115,82.8620576262474,81.09835386276245,74.5335578918457,91.86804294586182,48.53183031082153,117.869770526886,65.67221334576607,61.98596060276032,49.09016340970993,83.61910730600357,-2.70325243473053,135.41252315044403,68.13750004768372,68.22916567325592,66.40625,70.26041746139526,60.624998807907104,76.04166865348816,67.9955552816391,68.07059645652771,66.21360182762146,70.16604542732239,60.28493642807007,76.09471082687378,68.16874998807907,68.4374988079071,66.66666865348816,70.20833492279053,61.35416924953461,75.52083432674408,67.89166659116745,68.22916567325592,66.25000238418579,70.41666507720947,60.00000834465027,76.666659116745,68.05947464704514,68.35066974163055,66.26947224140167,70.24870812892914,60.30061841011048,76.21756196022034,73.45948761701584,74.15505647659302,71.72065079212189,75.77864825725555,65.63365459442139,81.86564445495605,68.10532569885254,68.41004192829132,66.52448028326035,70.31652480363846,60.836413502693176,76.00459158420563,36.07475993037224,36.25437766313553,32.45507404208183,40.626779943704605,20.197515189647675,52.88433879613876
15,DL,DenseNet201,20416.834852457047,248.5064070224762,20665.341259479523,89.3114584684372,93.6718761920929,81.08073025941849,97.46093600988388,56.5104216337204,122.03124463558196,89.23642659187317,93.71099174022676,81.0082495212555,97.53741174936296,56.21450617909429,122.33115509152417,89.26395833492279,93.64583492279051,81.01562708616257,97.47395664453506,56.32813274860382,122.1614509820938,89.18802088499069,93.69791746139526,80.9244766831398,97.53906428813936,56.00259527564047,122.46094569563869,89.2175332903862,93.6849743127823,81.06275349855423,97.50787317752835,56.395073980093024,122.17555269598958,94.02151781320572,98.31735491752625,89.03031945228577,99.71746504306792,72.99960106611252,115.74818342924118,89.24439698457718,93.67820024490356,81.10468089580536,97.4757045507431,56.54814541339874,122.03224003314972,78.45036014914513,87.38560378551483,62.23313957452774,95.01786082983018,13.05605769157408,144.19494271278384,70.20624989271164,70.3125,68.33333373069763,71.92708402872086,62.9427082836628,77.31770947575569,70.12226259708405,70.41666507720947,68.5252457857132,72.09784537553787,63.16634640097618,77.45674476027489,69.87083315849304,70.3125,67.86458343267441,71.92708402872086,61.770832538604736,78.02083492279053,69.93958339700475,70.6250011920929,68.90625208616257,72.50000238418579,63.51562663912773,77.89062783122063,69.82702934741974,70.10899186134338,68.11021566390991,72.05108851194382,62.198906391859055,77.96239778399467,75.8469580411911,75.760418176651,73.61881881952286,78.5419911146164,66.23406037688255,85.9267495572567,69.35990668088198,70.195472240448,68.20535957813263,71.99337482452393,62.523336708545685,77.67539769411087,39.8607038478367,40.62683135271072,36.6373136639595,44.183773547410965,25.31762383878231,55.50346337258816
20,DL,DenseNet201,21440.78632903099,250.1723039150238,21690.95863294601,92.737499833107,96.22395634651184,88.12500089406967,98.48958253860474,72.57812842726707,114.03645500540732,92.70519077777864,96.14683091640472,88.13394457101822,98.39825332164764,72.73748144507408,113.79471644759178,92.69947922229768,96.19791507720949,88.0078136920929,98.39843809604643,72.42187708616257,113.98437470197678,92.70364612340929,96.14583253860474,88.15104216337204,98.39843809604643,72.77994826436043,113.76953199505806,92.6993163228035,96.2045133113861,88.06196451187134,98.39714169502258,72.55919873714447,113.89990746974944,96.60366016626358,99.3124097585678,95.1164722442627,99.8526245355606,88.01224380731585,106.95685297250743,92.71515130996704,96.20651006698608,88.05665075778961,98.4058916568756,72.53278940916061,113.9297530055046,85.41842663288116,92.40432977676392,76.17673128843307,96.78984433412552,45.25706171989441,127.70951390266418,71.27708357572556,71.45833373069763,68.95833611488342,73.54166507720947,62.08334267139435,80.41665852069855,71.23563092947006,71.57676219940186,68.90703290700912,73.48956316709518,62.03323751688004,80.36335855722427,71.19166672229767,71.35416567325592,68.95833611488342,73.1249988079071,62.7083420753479,79.37499284744263,71.23750007152557,71.45833373069763,68.90625208616257,73.54166507720947,61.95313259959221,80.49478456377983,71.20847183465958,71.46206796169281,68.9572885632515,73.22255074977875,62.55939528346062,79.62044402956963,77.17379546165466,77.70214974880219,74.27549511194229,79.74517047405243,66.07098206877708,87.94968351721764,71.20453631877899,71.3684231042862,68.97350996732712,73.21022897958755,62.61843144893646,79.56530749797821,42.43873530626297,42.848990857601166,37.9190057516098,46.72985076904297,24.70273822546005,59.94611829519272
25,DL,DenseNet201,16248.070082426071,223.84862351417544,16471.918705940247,94.99687504768372,98.30729365348816,94.6354165673256,99.11458492279051,87.91666403412823,105.83333745598787,94.95919114351273,98.23146760463716,94.61359530687332,99.12749677896498,87.84274309873584,105.89834898710248,94.9552083015442,98.2031226158142,94.49218660593034,99.11458492279051,87.55858913064007,106.04818239808078,94.96145844459534,98.22916388511658,94.59635466337204,99.1276055574417,87.79947832226756,105.9244818985462,94.95501363277435,98.22658002376556,94.55001652240752,99.12278354167938,87.69086599349976,105.98193407058716,97.81349974870682,99.80053305625916,98.65694344043732,99.96032863855362,96.70186564326286,101.91540643572807,94.97042655944824,98.21317195892334,94.53265666961671,99.11490231752394,87.65928819775586,105.9882707893848,89.9280806183815,96.46344780921936,89.14186805486679,98.24352711439134,75.48937946557996,111.89601570367816,73.05416649580002,73.33333492279053,71.24999761581421,75.41666626930237,64.99999463558197,81.6666692495346,72.99716925621033,73.31196665763855,70.90732008218765,75.32398104667664,64.28232863545418,81.94897249341011,72.99375015497208,72.91666865348816,71.19791507720947,75.46875029802322,64.79166224598885,81.87500312924385,72.98958337306976,73.33333492279053,71.04166746139526,75.20833611488342,64.79166448116302,81.45833909511566,72.98459959030151,73.11249673366547,70.96605747938156,75.45336037874222,64.23510313034058,82.1843147277832,79.443106174469,79.61599826812744,77.71587669849396,81.78510069847107,71.61204069852829,87.88893669843674,73.01079833507538,73.15001487731934,71.06898874044418,75.50383061170578,64.41672593355179,82.15609341859818,45.9935514330864,46.46077752113342,42.03855246305465,50.8913978934288,28.759284317493428,64.17066603899003
30,DL,DenseNet201,12908.783374786375,207.29419541358948,13116.077570199966,95.37552094459534,98.41145873069765,93.4374988079071,99.32291507720949,84.60937440395352,108.15103948116304,95.33942073583604,98.46356809139252,93.44852566719054,99.3225634098053,84.6374690532684,108.13362002372745,95.32760429382324,98.48958253860474,93.60677152872086,99.32291507720949,85.0325562059879,107.89713039994244,95.34270828962326,98.46354126930235,93.4374988079071,99.32291507720949,84.60937440395352,108.15103948116304,95.33160668611526,98.46471846103668,93.53003799915314,99.29686635732652,84.87979546189308,107.94710889458656,98.03939819335938,99.8563438653946,98.10903519392016,99.97087866067886,95.31626999378209,102.76364386081691,95.34260833263396,98.48943054676056,93.5961350798607,99.31745380163191,85.01415699720387,107.89943188428876,90.68109235167503,96.93146049976347,87.05004900693893,98.5956996679306,69.73157301545143,115.9141756594181,74.82916682958603,74.79166388511658,72.65625,76.92708373069763,66.24999940395355,83.33333432674408,74.77654618024826,74.5828926563263,72.8238582611084,76.77929550409317,66.89070239663124,82.71245136857033,74.74791657924652,75.0,72.44791835546494,76.71874910593033,66.04167222976685,83.12499523162842,74.79166656732559,74.58333373069763,73.02083224058151,76.8750011920929,67.23957881331444,82.65625461935997,74.75759816169739,74.76121187210083,72.41249829530716,76.75396353006363,65.90030044317245,83.26616138219833,81.06336677074432,81.21159374713898,78.74869853258133,83.44330191612244,71.70679345726967,90.4852069914341,74.77408820390701,74.8310923576355,72.43376672267914,76.75382941961288,65.95367267727852,83.2339234650135,49.54733827710152,49.37683343887329,45.21796032786369,53.546042740345,32.72583670914173,66.03816635906696
35,DL,DenseNet201,13438.502504348757,206.6514685153961,13645.153972864153,96.51666641235352,99.11458492279051,97.09635525941847,99.5312511920929,93.44401136040688,103.18359509110452,96.47433322668076,99.11481440067293,97.09405153989792,99.53149557113647,93.43788549304008,103.18766161799432,96.44947934150696,99.08854365348816,97.01823145151138,99.58333373069765,93.17057803273198,103.43098714947703,96.48072916269302,99.11458492279051,97.09635525941847,99.5312511920929,93.44401136040688,103.18359509110452,96.4603238105774,99.11205768585206,97.04960882663728,99.5578795671463,93.28720271587372,103.32028567790984,98.50562953948976,99.94933307170868,99.60730969905852,99.98919069767,99.03448820114131,100.5620121955872,96.465744972229,99.09776747226717,97.0394864678383,99.5820477604866,93.22564452886584,103.39588969945903,92.93989682197572,98.23224246501924,94.12131458520888,99.11691099405289,86.62791997194287,106.6103056073189,75.74999970197678,76.04166865348816,73.54166507720947,77.91666388511658,66.97916686534882,84.47916209697723,75.67748463153839,75.88980793952942,73.517245054245,77.99176573753357,66.80546402931213,84.70354676246643,75.63958317041397,75.83333551883698,73.54166507720947,78.125,66.66666269302368,85.00000238418579,75.68958342075348,75.93750059604645,73.33333492279053,78.125,66.14583730697632,85.31249761581421,75.65476095676422,75.70694386959076,73.50777387619019,77.99198180437088,66.78146198391914,84.71829369664192,82.24123591184616,82.45887160301208,80.15999346971512,84.71608310937881,73.32585901021957,91.55021756887436,75.6601494550705,75.59716403484344,73.55755567550659,78.06162089109421,66.80145785212517,84.81771871447563,51.336334079504006,51.77669525146485,47.03437834978104,56.04502558708191,33.51840749382973,69.56099644303322
40,DL,DenseNet201,13084.58831691742,208.9540512561798,13293.5423681736,97.2135414481163,99.03645813465118,96.1848944425583,99.63541626930235,91.0091117024422,104.81119900941844,97.18861067295074,99.08923208713531,96.28082364797592,99.635511636734,91.24879166483878,104.66754361987114,97.19635426998138,99.0625023841858,96.09375,99.63541626930235,90.78125059604648,104.94791567325588,97.18750005960464,99.08854365348816,96.28906399011612,99.63541626930235,91.26953557133676,104.65494468808171,97.19324046373367,99.06120896339417,96.17644399404529,99.63478296995164,90.98893553018571,104.82229143381116,99.13601875305176,99.94840919971466,99.39814954996108,99.99289065599442,98.5060378909111,100.8850023150444,97.1995719075203,99.06881153583528,96.10677510499951,99.63329434394838,90.81699624657628,104.92307320237164,94.39074158668518,98.13042283058168,92.36387163400651,99.2728054523468,82.00047090649608,109.63620617985724,76.643749833107,76.45833492279053,74.94791597127914,78.38541865348816,69.79166194796562,83.54167267680168,76.56950092315674,76.3184130191803,74.9610185623169,78.42924892902374,69.75867301225662,83.63159447908401,76.64583349227905,76.5625,74.94791597127914,78.38541865348816,69.79166194796562,83.54167267680168,76.54374998807907,76.2499988079071,74.73958134651184,78.54166626930237,69.03645396232605,84.24479365348816,76.60929465293884,76.44556164741516,74.9561220407486,78.36626470088959,69.84090805053711,83.48147869110107,83.18481612205505,83.47417414188385,80.94607442617416,85.64176112413406,73.90254437923431,92.68529117107391,76.62037581205368,76.48541629314423,74.95203912258148,78.34280580282211,69.86588910222054,83.42895582318306,53.19623097777366,52.7186244726181,49.95226934552193,56.72111660242081,39.79899846017361,66.87438748776913
45,DL,DenseNet201,13172.918681621552,211.8411610126496,13384.7598426342,97.2520837187767,99.08854365348816,97.52604216337204,99.63541626930235,94.36198100447652,102.79947742819786,97.24663084745409,99.0632712841034,97.5793853402138,99.6352732181549,94.49555352330212,102.71910503506656,97.2223961353302,99.1406261920929,97.63020873069765,99.59635436534882,94.68099027872086,102.5455728173256,97.24843788146973,99.06249940395357,97.5781261920929,99.63541626930235,94.49219107627871,102.72135138511656,97.2337064743042,99.10173118114471,97.6048529148102,99.60426390171052,94.60573643445971,102.60338038206098,99.10823661088943,99.95886981487274,99.69049096107484,99.99414682388306,99.23500716686247,100.4496306180954,97.23238795995712,99.1420477628708,97.63460755348206,99.59827363491056,94.68910843133928,102.54377275705336,94.47869235277176,98.20664823055267,95.2143371105194,99.22085851430892,89.20455500483513,105.2306406199932,77.25000017881393,77.18749940395355,75.5208358168602,78.80208492279053,70.5989621579647,83.72395858168602,77.19238650798798,77.0832359790802,75.49499720335007,78.9002925157547,70.38705423474312,84.00823548436165,77.15416675806046,77.29166746139526,75.15625208616257,79.06249910593033,69.29688155651093,84.92186963558197,77.20208328962326,77.08333134651184,75.36458373069763,79.01041656732559,69.89583447575569,84.47916582226753,77.16747152805328,77.2431492805481,75.28161704540253,78.80079597234726,70.00284865498543,84.07956436276436,83.67553389072418,83.93760919570923,81.51654303073883,85.69335490465164,75.25132521986961,91.95857271552086,77.17930716276169,77.28647589683533,75.27492791414261,78.91876846551895,69.8091670870781,84.38452929258347,54.36405321955681,54.354289174079895,50.58242380619049,57.66008943319321,39.96592536568642,68.27658787369728
50,DL,DenseNet201,13299.588935613632,217.1973738670349,13516.786309480667,98.03437489271164,99.40104186534882,98.09895753860474,99.6874988079071,95.71614563465118,102.07031071186066,98.0090304017067,99.4007408618927,98.09848219156264,99.70053881406784,95.69539725780488,102.10362374782562,98.01822912693024,99.32291507720949,98.07291626930235,99.6874988079071,95.65104246139524,102.10937261581424,98.0067708492279,99.40104186534882,98.09895753860474,99.70051944255827,95.6966146826744,102.10286229848862,98.01284247636796,99.37416613101958,98.08313995599748,99.69450682401656,95.66608965396884,102.1115571260452,99.48084902763368,99.97878968715668,99.84312951564787,99.99537765979768,99.6147572994232,100.22374987602235,98.0224598646164,99.33159947395325,98.08607250452042,99.68947172164916,95.68097367882731,102.09457054734229,96.03049439191818,98.75155091285706,96.17941826581954,99.38937574625017,91.36448204517362,104.20431196689609,77.94583302736282,78.125,76.2499988079071,79.79166507720947,70.93749940395355,85.10416448116302,77.98391860723495,78.19706201553345,76.20429247617722,79.64611351490021,71.04156091809273,84.8088450729847,77.81041622161865,78.02083194255829,76.04166865348816,79.79166507720947,70.41667401790619,85.41665971279144,78.03958320617676,78.33333611488342,76.19791626930237,79.63541746139526,71.04166448116302,84.7916692495346,77.88938790559769,78.00076007843018,76.06293261051178,79.71103638410568,70.59077695012093,85.18319204449654,84.71384656429291,84.75434184074402,82.92457908391953,86.36496216058731,77.76400446891785,91.525536775589,77.88540107011795,78.05016338825226,76.09756737947464,79.74559366703033,70.6255279481411,85.21763309836388,55.8589905500412,56.05287253856659,52.10471153259277,59.377697110176086,41.19523316621781,70.28717547655106
