subset,strategy,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,DL,EfficientNetB4,120.43845973491668,1.845634183883667,122.28409391880037,60.11562502384186,60.28645634651184,59.296876192092896,61.13281399011612,56.54296949505806,63.88672068715096,60.01150357723236,60.14613211154938,59.26025211811066,61.03927940130234,56.591711193323135,63.70782032608986,59.97499990463256,60.28645932674408,59.062498807907104,61.13281399011612,55.95702603459358,64.23828676342964,60.03645873069763,60.00000238418579,59.388020634651184,61.19791865348816,56.67317360639572,63.91276568174362,59.97022807598113,60.28381586074829,59.13575142621994,61.01237237453461,56.32082000374794,63.82730379700661,64.9753326177597,65.0212287902832,64.26861584186554,66.53307229280472,60.87193116545677,69.92975696921349,60.01560032367706,60.250163078308105,59.2145711183548,61.022622883319855,56.50249347090721,63.73470053076744,20.03707282245159,20.40810585021972,18.49250085651874,22.07509502768516,13.11860959976911,27.44898628443479,61.66666674613953,61.87500059604645,59.27083194255829,63.69791626930237,52.63020545244217,70.33854275941849,61.49171233177185,61.58234775066376,59.01052504777908,63.1335437297821,52.82599702477455,69.31807175278664,60.95833295583725,61.770832538604736,58.43749791383743,64.42708224058151,49.45312142372131,73.41145873069763,61.80416643619537,61.35416626930237,59.21874791383743,64.3750011920929,51.48436799645424,72.10938110947609,61.19167101383209,61.57698929309845,58.755408227443695,63.85043263435364,51.11287161707878,71.49296924471855,65.05208730697632,64.75987732410431,61.10373139381409,67.86099970340729,50.967828929424286,77.99690216779709,61.25948429107666,61.54478192329407,59.096647799015045,63.859134912490845,51.95291712880135,71.00286558270454,22.80882311612368,22.982484847307205,17.930843308567997,26.84947624802589,4.552893899381153,40.22742565721274
10,DL,EfficientNetB4,127.00716733455658,1.902359309196472,128.90952664375305,60.94791662693023,60.989582538604736,60.11718809604645,62.29166388511658,56.85547441244125,65.55337756872177,60.88949477672577,60.88080108165741,59.83207821846008,61.9059756398201,56.72123208642006,65.01682177186012,60.80770790576935,60.96354126930237,59.92187410593033,62.05729097127914,56.718748807907104,65.26041626930237,60.909374713897705,60.83333492279053,60.15625,62.187498807907104,57.10937678813934,65.23437201976776,60.77621364593506,60.9661340713501,59.790149331092834,61.82845085859299,56.732697039842606,64.88590314984322,66.08125007152557,66.2123829126358,64.61582332849503,67.80525147914886,59.83168110251427,72.58939370512962,60.85532355308533,61.03645861148834,59.89194810390472,61.92779839038849,56.83817267417908,64.98157382011414,21.70437814295292,21.96324467658997,19.719811528921127,23.96715767681598,13.348792307078847,30.33817689865825,61.74583315849305,61.87499761581421,59.84375029802322,62.70833611488342,55.546871572732925,67.00521484017372,61.40848529338837,61.61714792251587,59.50031876564026,62.91666626930237,54.375797510147095,68.04118752479553,63.39166676998138,62.08333075046539,59.427084028720856,64.47916477918625,51.848962903022766,72.05728590488434,59.43749995250255,61.35416626930237,59.47916656732559,63.12500238418579,54.010412842035294,68.59375610947609,62.08049905300141,61.95929646492005,59.60352420806885,63.39579820632935,53.9151132106781,69.08420920372009,65.4754947423935,65.66123962402344,62.67263293266296,68.0183932185173,54.653992503881454,76.03703364729881,59.50549139082432,61.65266931056976,59.09289121627808,62.88892328739166,53.3988431096077,68.58297139406204,22.855654537677765,23.442442715167992,18.560160323977467,25.83653777837753,7.645594142377378,36.75110395997761
15,DL,EfficientNetB4,132.43504810333252,1.9162725973129275,134.35132070064546,62.17500030994415,62.52604126930237,60.96354126930237,63.45052272081375,57.233069092035294,67.18099489808083,62.10430634021758,62.18719482421875,60.90870648622513,63.58269602060318,56.89772218465805,67.59368032217026,62.14604163169861,62.5,60.83333492279053,63.47656399011612,56.86849132180214,67.44140759110451,62.08125007152557,61.95312738418579,60.96354126930237,63.73697817325592,56.80338591337204,67.89713352918625,62.098026275634766,62.47659027576447,60.77138334512711,63.431304693222046,56.781501322984695,67.42118671536446,67.70030581951141,68.03179383277893,66.01312011480331,69.67118978500366,60.52601560950279,75.15829429030418,62.15126121044159,62.51212954521179,60.93734949827194,63.46285492181778,57.14909136295319,67.25111305713654,24.24989379942417,24.75055456161499,21.785210818052285,27.0469382405281,13.892619684338564,34.93952937424182,62.93750023841858,62.812501192092896,60.00000238418579,65.78125208616257,51.32812783122063,74.45312663912773,62.787781715393066,62.944296002388,59.770527482032776,65.34285396337509,51.4120377600193,73.70134368538857,63.19166672229767,62.70833611488342,60.10416895151138,66.40625,50.65104737877846,75.85937157273293,62.466666638851166,62.70833611488342,59.427084028720856,64.79166746139526,51.38020887970925,72.83854261040688,62.960806012153625,62.774255871772766,60.07333695888519,66.40051305294037,50.58257281780243,75.89127719402313,66.87943601608276,66.5962427854538,63.25281858444214,70.01442760229111,53.110405057668686,80.15684112906456,62.91370868682862,62.92673349380493,59.9303662776947,65.8916026353836,50.98851174116135,74.83345717191696,25.706023827195168,25.68567544221878,19.75689008831977,31.832364946603768,1.6436778008937862,49.94557723402976
20,DL,EfficientNetB4,130.74445999145507,1.9448787355422967,132.68933872699736,63.46770834922791,63.20312321186066,61.47135198116303,65.14322906732559,55.96353635191917,70.65104469656944,63.46531009674072,63.08269500732422,61.43545210361481,65.18103182315826,55.81708252429962,70.79940140247345,63.48125052452088,63.17708492279053,61.6536483168602,65.10416716337204,56.47787004709244,70.2799454331398,63.45729160308839,63.04687559604645,61.731770634651184,65.3124988079071,56.3606783747673,70.68359106779099,63.448010325431824,63.098299503326416,61.57830953598023,65.12552201747894,56.25749081373215,70.44634073972702,69.50195181369781,68.82734894752502,66.91804826259613,71.55096083879471,59.96867939829826,78.50032970309258,63.50818932056427,63.07806074619293,61.5283340215683,65.18982499837875,56.036097556352615,70.68206146359444,26.96434113383293,26.178131997585297,22.876656427979466,30.33438324928283,11.69006619602442,41.520973481237874,62.69583332538605,62.91666626930237,60.26041656732559,64.79166746139526,53.463540226221085,71.58854380249977,62.72180414199829,62.92857229709625,60.379424691200256,64.85519111156464,53.66577506065369,71.5688407421112,61.83333307504654,62.812501192092896,60.885417461395264,65.52083343267441,53.93229350447655,72.47395738959312,63.19583344459534,62.812501192092896,59.79166626930237,64.99999761581421,51.97916924953461,72.81249463558197,61.94837427139282,62.87625730037689,60.60706824064255,65.26424586772919,53.62130180001259,72.25001230835915,67.19218730926514,67.56239235401154,64.86892700195312,70.43657600879669,56.517453491687775,78.78804951906204,62.58123493194581,63.22656273841858,59.89302545785904,65.22336155176163,51.89752131700516,73.21886569261551,25.10048619657755,25.82792490720748,20.004525035619736,29.73013371229172,5.416112020611763,44.31854672729969
25,DL,EfficientNetB4,133.39218789100647,2.0502447128295898,135.44243260383607,64.15833342075348,63.51562738418579,62.29166388511658,65.88541865348816,56.9010317325592,71.27605080604553,64.05039238929749,63.73503506183624,62.09295988082886,65.86912423372269,56.42871335148811,71.53337076306343,64.08500003814697,63.56770694255829,62.18750029802322,65.72916507720947,56.87500312924385,71.04166224598885,64.01041734218597,63.463541865348816,62.20051944255829,66.00260436534882,56.4973920583725,71.7057317495346,64.0240877866745,63.63536715507507,62.059058248996735,65.90481698513031,56.29042014479637,71.67345508933067,70.53897535800934,70.04018425941467,67.97888576984406,72.42148220539093,61.31499111652374,79.08537685871124,64.07701921463013,63.6799693107605,62.15122491121292,65.89920371770859,56.52925670146942,71.52117192745209,28.10633954405785,27.43547260761261,24.14829730987548,31.71405792236328,12.799656391143792,43.06269884109496,63.0625,63.12500238418579,60.88541597127914,65.625,53.77603992819786,72.73437604308128,62.94772577285767,63.33571076393128,61.12720966339111,65.83968698978424,54.05849367380142,72.90840297937393,61.05833283439278,62.91666924953461,59.47916656732559,65.625,50.26041641831398,74.84375014901161,64.0791665315628,63.749998807907104,61.5104153752327,66.6145846247673,53.85416150093079,74.27083849906921,61.06349854916334,62.84274458885193,60.006216168403625,65.51771759986877,51.7389640212059,73.7849697470665,67.02269494533539,67.90646612644196,64.57421779632568,70.83403319120407,55.1844947040081,80.22375628352165,61.421189427375786,62.71078586578369,60.28472781181336,65.52763134241104,52.42037251591682,73.39198663830757,25.23065104335547,25.844547152519223,20.93433663249015,30.790542811155312,6.150027364492411,45.574852079153054
30,DL,EfficientNetB4,140.7776556110382,1.9942510986328128,142.771906709671,65.78229176998138,64.92187678813934,62.65624761581421,68.21614652872086,54.31639924645424,76.55599489808083,65.77140820026398,64.69656527042389,62.57432848215103,68.39753091335297,53.83952483534813,77.13233456015587,65.74812495708466,65.18229246139526,62.30468600988388,68.11197698116302,53.59374955296517,76.82291343808174,65.67395830154419,64.68750238418579,62.968748807907104,68.52864623069763,54.62890267372131,76.86849236488342,65.62393271923065,64.9438738822937,62.23010867834091,68.22594404220581,53.23635563254357,77.21969708800316,72.90449166297913,72.2085565328598,68.07955354452133,76.68661326169968,55.168963968753815,89.5972028374672,65.68869078159332,65.05714356899261,62.38988190889359,68.28309297561646,53.55006530880928,77.12290957570076,31.339212775230408,29.701676964759827,24.84657168388366,36.67193651199341,7.108524441719041,54.409983754158034,62.94583344459534,63.02083432674408,59.79166626930237,66.56250208616257,49.63541254401207,76.71875581145287,62.74694883823395,62.34332025051117,59.71933603286743,66.0257562994957,50.25970563292504,75.4853866994381,62.86250001192093,63.43750059604645,59.79166626930237,66.92708432674408,49.0885391831398,77.63021141290665,62.67916643619537,62.187498807907104,59.79166626930237,66.40625,49.86979067325592,76.32812559604645,62.752875328063965,63.20586800575256,59.748803079128265,66.10425859689713,50.215619802474976,75.63744187355042,66.77641892433167,67.07193851470947,62.58469074964523,71.2031751871109,49.65696409344673,84.1309018433094,62.82601857185364,63.15681338310242,59.81556922197342,66.1243885755539,50.35234019160271,75.5876176059246,25.537247955799103,24.7932069003582,19.435133785009377,32.36043825745582,0.0471770763397161,51.74839496612549
35,DL,EfficientNetB4,138.01485236644746,2.0997420024871825,140.11459436893463,66.63020813465118,66.11979305744171,63.50260227918625,69.921875,53.87369319796562,79.55078408122063,66.6326197385788,65.83756506443024,63.35241496562958,69.95698660612106,53.44555750489235,79.86384406685829,66.54749941825867,66.04166626930237,63.21614682674408,69.94791477918625,53.118494898080826,80.0455667078495,66.61562514305115,65.65104126930237,63.229167461395264,69.96093541383743,53.13151553273201,80.05858734250069,66.49641740322113,65.94733893871307,63.2537379860878,69.96476501226425,53.18719744682312,80.03130555152893,73.88309228420258,73.8418698310852,69.38242018222809,78.55812758207321,55.6188590824604,92.3216886818409,66.55858099460602,65.99822640419006,63.44414204359055,69.92984116077423,53.71559336781502,79.65838983654976,33.1181800365448,31.896643340587616,26.853310316801064,39.91831392049789,7.255804911255831,59.51581932604313,63.395833015441895,64.16666507720947,59.687502682209015,66.82291626930237,48.984382301568985,77.5260366499424,63.55049026012421,64.3604964017868,61.09514683485031,67.14135259389877,52.02583819627762,76.21066123247147,62.70416664145887,64.3750011920929,60.62500178813934,67.70833134651184,50.0000074505806,78.33332568407059,63.029166638851166,64.27083313465118,60.52083522081375,68.02083104848862,49.27084147930145,79.27082479000092,61.70523831620813,64.19533491134644,60.26259958744049,66.60032123327255,50.7560171186924,76.10690370202065,67.82135385274887,68.33550035953522,65.05441665649414,72.32720255851746,54.14523780345917,83.23638141155243,61.97068393230438,63.98385465145111,59.42356288433075,66.52721911668777,48.76807853579521,77.18270346522331,25.845157220959663,27.918091416358948,19.21958923339844,32.86964893341064,-1.2555003166198704,53.34473848342894
40,DL,EfficientNetB4,149.18020222663878,2.2793147373199463,151.45951696395872,67.1072918176651,66.53645932674408,64.89583402872086,70.23437321186066,56.888025254011154,78.24218198657036,67.07876741886139,66.42197966575623,64.59807306528091,70.17199844121933,56.23718500137329,78.53288650512695,67.0916668176651,66.27604365348816,65.07812738418579,70.35156339406967,57.16797336935997,78.26171740889549,67.02187514305115,66.40625,64.16666656732559,69.94791626930237,55.49479201436043,78.61979082226753,67.00464153289795,66.31066799163818,64.97474759817123,70.39916515350342,56.83812126517296,78.5357914865017,74.67358732223511,74.02777671813965,71.61436825990677,78.30068171024323,61.58489808440208,88.33015188574791,67.06322252750397,66.33545458316803,65.04056006669998,70.40285468101501,56.99711814522743,78.44629660248756,34.08542110025883,32.759180665016174,29.634673148393624,40.69413840770721,13.04547525942325,57.28333629667759,63.09166693687439,63.02083432674408,60.208332538604736,66.40625,50.91145634651184,75.7031261920929,62.85430800914765,63.42031955718994,59.83428806066513,66.49247258901596,49.847011268138885,76.4797493815422,63.75416726619005,64.16666805744171,60.83333492279053,67.91666448116302,50.20834058523178,78.54165881872177,61.474999994039536,63.229167461395264,59.63541865348816,66.6145846247673,49.16666969656944,77.08333358168602,62.45747697353363,63.54147791862488,60.66005527973175,66.36821627616882,52.09781378507614,74.93045777082443,67.4718097448349,68.94119083881378,63.475534319877625,71.64192348718643,51.22595056891441,83.89150723814964,61.70053803920745,62.88057267665863,59.55853760242462,66.27265363931656,49.48736354708672,76.34382769465446,25.24890360608697,25.942333042621613,19.273786619305604,32.50168710947037,-0.5680641159415384,52.34353784471752
45,DL,EfficientNetB4,157.66611318588258,2.1202028131484987,159.78631599903107,69.16666650772095,67.578125,65.67708402872086,71.36718779802322,57.1419283747673,79.90234345197678,69.1463326215744,67.63973832130432,65.56611806154251,71.43876999616623,56.75714015960693,80.2477478981018,69.1787497997284,67.96875,65.57291746139526,71.35416716337204,56.9010429084301,80.0260417163372,69.09270823001862,67.81249940395355,65.66406190395355,71.53646051883698,56.85546398162842,80.34505844116211,69.10982573032379,67.69340932369232,65.6179204583168,71.3795468211174,56.97548091411591,80.0219863653183,77.47012603282928,75.97006559371948,72.4360242486,80.80127686262131,59.88814532756805,93.34915578365326,69.16759371757507,67.67084896564484,65.67322164773941,71.42918109893799,57.03928247094154,80.06312027573586,38.27315132319927,35.331542789936066,31.273602694272995,42.8505077958107,13.908245041966438,60.215865448117256,64.25416672229767,64.3750011920929,61.87499761581421,67.08333492279053,54.06249165534973,74.895840883255,64.04025340080261,64.15889859199524,61.43885403871536,67.19633787870407,52.8026282787323,75.83256363868713,64.375,64.37499821186066,61.927081644535065,67.3958346247673,53.72395217418671,75.59896409511566,63.783333122730255,64.3750011920929,60.885417461395264,67.6562488079071,50.7291704416275,77.81249582767487,64.18540835380554,64.17639255523682,62.04397678375244,67.03786104917526,54.55315038561821,74.5286874473095,68.83408451080322,69.16786134243011,65.69026857614517,72.093865275383,56.08487352728844,81.69926032423973,64.1114444732666,64.12471830844879,62.02408820390701,67.01862514019012,54.532282799482346,74.51043054461479,28.159481078386307,28.234408795833588,23.685686662793152,34.11996811628341,8.034264482557768,49.7713902965188
50,DL,EfficientNetB4,171.00812851905823,2.187252426147461,173.1953809452057,70.96041691303253,69.66145634651184,67.63020753860474,73.21614772081375,59.251297265291214,81.59505799412727,70.97372448444366,69.4401741027832,67.61182099580765,73.43083471059799,58.88330042362213,82.15935528278351,71.01041686534882,69.27083134651184,67.91666895151138,73.20312261581421,59.98698845505714,81.13280311226845,70.96249997615814,69.58333253860474,67.3697903752327,73.55468720197678,58.09244513511658,82.8320324420929,70.96934854984283,69.27731931209564,67.64881908893585,73.26310873031616,59.22738462686539,81.68454319238663,79.6614979505539,78.57815325260162,75.44818073511124,83.7608352303505,62.97919899225235,96.22981697320938,71.04767382144928,69.4020688533783,67.66614019870758,73.3474388718605,59.1441921889782,81.86938688158989,42.00952658057213,38.75580430030823,35.298847407102585,46.695078164339066,18.204501271247864,63.78942430019379,66.82499980926514,67.91666746139526,64.16666507720947,69.11458373069763,56.744787096977234,76.53646171092987,66.77252304553986,67.38440692424774,64.29708749055862,69.15057450532913,57.01685696840286,76.4308050274849,65.97500015050173,67.49999821186066,63.749998807907104,69.11458373069763,55.70312142372131,77.16146111488342,66.47916668653488,67.1875,64.42708373069763,69.37500238418579,57.00520575046539,76.79688036441803,65.53969509899616,67.56920218467712,63.96221965551376,68.94174069166183,56.49293810129166,76.41102224588394,71.76142382621765,72.88422584533691,68.37244480848312,75.62901675701141,57.48758688569069,86.51387467980385,66.04408150911331,67.47350692749023,63.93125653266907,68.94069314002991,56.41710162162781,76.45484805107117,32.50029291212559,35.02461910247803,28.11906635761261,38.024553656578064,13.260835409164429,52.882784605026245
