subset,strategy,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,DL,InceptionV3,2566.169637441635,41.83655595779419,2608.0061933994293,79.58020842075348,78.5416692495346,73.39843809604645,87.39583492279053,52.40234285593033,108.39193016290665,79.58134281635284,78.404301404953,73.33865463733673,87.44725584983826,52.17575281858444,108.61015766859056,79.55416691303253,78.35937440395355,73.37239682674408,87.44791597127914,52.25911810994148,108.56119468808174,79.59166669845581,78.43749821186066,73.04687649011612,87.44791746139526,51.4453150331974,109.04947891831398,79.5597174167633,78.31945717334747,73.32664728164673,87.45137453079224,52.13955640792847,108.6384654045105,86.94721460342407,87.06692159175873,80.72032332420349,94.66529041528702,59.8028726875782,115.58274105191232,79.59531879425049,78.37812602519989,73.42520207166672,87.45083659887314,52.386750280857086,108.48928838968276,59.17558574676514,56.74896836280823,46.86446860432625,74.90849047899246,4.798435792326927,116.97452329099178,67.07083344459534,66.8749988079071,64.99999761581421,69.58333551883698,58.12499076128006,76.45834237337112,67.06533026695251,67.0157790184021,64.78091180324554,69.67577636241913,57.43861496448517,77.0180732011795,66.7833331823349,66.66666865348816,64.79166746139526,68.54166388511658,59.16667282581329,74.16665852069855,67.1875,66.97916686534882,64.3750011920929,69.89583224058151,56.09375461935997,78.17707881331444,66.91493499279022,66.81466400623322,64.71396386623383,68.79362761974335,58.59446823596954,74.91312325000763,72.6159462928772,72.29936718940735,70.22938877344131,75.11599361896515,62.89948150515556,82.4459008872509,66.91764199733734,66.88580513000488,64.45892006158829,68.76818388700485,57.99502432346344,75.2320796251297,33.991364777088165,33.646392822265625,29.692996293306344,38.87241184711456,15.923872962594018,52.641535177826896
10,DL,InceptionV3,2982.5130064487457,42.07639694213867,3024.5894033908844,88.94270777702332,90.7031238079071,85.44270992279053,95.28645724058153,70.67708894610405,110.052078217268,88.94585704803467,90.68192541599274,85.42946577072144,95.15058845281602,70.84778174757955,109.7322724759579,88.91562485694885,90.78125059604643,85.41666567325592,95.2213540673256,70.70963308215141,109.9283866584301,88.91770803928375,90.67708253860474,85.37760227918625,95.14323025941847,70.72916030883792,109.79167222976682,88.88766431808472,90.70740342140198,85.49604415893555,95.22793292999268,70.89821100234985,109.82576608657835,94.5639946460724,97.03697264194489,93.19392889738084,99.03322458267212,84.4349853694439,107.79216811060904,88.89935564994812,90.76167643070222,85.47312766313553,95.2350988984108,70.83017081022263,109.8780557513237,77.80688086152077,81.41851723194122,71.0538238286972,90.4531642794609,41.95481315255165,119.55217495560646,70.1875,70.6250011920929,69.58333253860474,71.97916805744171,65.98957926034927,75.57292133569717,71.00983512401581,70.74186503887177,69.51983571052551,72.08058089017868,65.67871794104576,75.92169865965843,69.00416696909815,70.83333134651184,69.37500238418579,71.61458134651184,66.01563394069672,74.97394979000092,71.01250004768372,70.72916626930237,69.37500238418579,72.23958373069763,65.07813036441803,76.5364557504654,69.01558553986251,70.76121270656586,69.37039345502853,71.71352058649063,65.85570275783539,75.22821128368378,75.97686159610748,76.6253262758255,74.30631965398788,78.69558930397034,67.7224151790142,85.27949377894402,70.00783801078796,70.69534361362457,69.4183275103569,71.67496681213379,66.03336855769157,75.05992576479912,40.03796549327672,41.45955443382263,38.8038881123066,43.55630502104759,31.6752627491951,50.68493038415909
15,DL,InceptionV3,2957.090814113617,45.42886805534363,3002.519682168961,90.1041669845581,92.13541746139526,84.23177152872086,96.7057302594185,65.52083343267438,115.41666835546496,90.06761264801025,92.20584332942964,84.38925296068192,96.7035785317421,65.91776460409164,115.17506688833237,90.06458353996277,92.00520813465118,84.1796875,96.7057302594185,65.39062336087224,115.49479439854623,90.0708338022232,92.1875,84.42708104848862,96.7057302594185,66.00910723209378,115.12370407581332,90.06285059452057,92.18223690986632,84.2922031879425,96.6715082526207,65.72324559092522,115.240465849638,95.14746987819672,97.61918187141418,92.00911521911624,99.4557961821556,80.83909377455714,110.62581762671468,90.0852814912796,92.05639958381654,84.21570807695389,96.71872705221176,65.46117961406708,115.47325551509856,80.15066754817963,84.38420593738556,68.62669587135315,93.35250556468964,31.53798133134842,130.44122010469437,71.38749969005585,71.5624988079071,69.1666692495346,73.38541597127914,62.8385491669178,79.71353605389595,71.38299036026001,71.54799401760101,69.22699362039566,73.451466858387,62.89028376340866,79.788176715374,71.37916660308838,71.5624988079071,69.63541656732559,73.48958253860474,63.85416761040688,79.27083149552345,71.38750004768372,71.45833373069763,69.11458522081375,73.43749850988388,62.63021528720856,79.92186844348907,71.38496100902557,71.49966657161713,69.58889067173004,73.478002846241,63.75522240996361,79.31167110800743,77.59475636482239,77.884441614151,75.32242834568024,80.18994480371475,68.02115365862846,87.49121949076653,71.37766909599304,71.58825993537903,69.66028660535812,73.46700131893158,63.95021453499794,79.17707338929176,42.77263420820236,43.02536100149155,38.75686153769493,46.940582245588296,26.481280475854867,59.21616330742836
20,DL,InceptionV3,3443.6337037086487,45.93378973007202,3489.5674934387207,94.71145844459534,97.03125059604643,93.98437291383742,98.94531071186066,86.54296621680257,106.38671740889552,94.73269486427309,97.03433215618134,93.97230148315433,98.85565638542175,86.64726912975313,106.18068873882294,94.73458337783812,96.92708253860474,93.93229037523268,98.94531071186066,86.41275987029073,106.46484121680264,94.66770827770232,97.0312476158142,93.97135227918623,98.85416626930235,86.64713129401206,106.17838725447656,94.6689623594284,97.00103104114532,93.97884458303452,98.91880452632904,86.56890466809276,106.3287444412708,97.76408278942108,99.57131743431091,98.49217385053632,99.91494119167328,96.35802283883092,102.0490922033787,94.68040990829468,96.93960547447205,93.9592033624649,98.94718378782274,86.47723272442815,106.42915442585948,89.34995067119598,94.0148651599884,87.9643440246582,97.84197509288788,73.14789742231369,112.6584216952324,73.2291671037674,73.02083373069763,71.3541641831398,75.36458373069763,65.33853486180305,81.38021305203438,71.89374530315399,73.04898500442505,71.51827812194824,75.36458373069763,65.74881970882416,81.13404214382172,71.8583334684372,73.1249988079071,71.45833373069763,75.36458373069763,65.59895873069763,81.22395873069763,73.90833377838135,73.1249988079071,71.875,75.57291835546494,66.3281224668026,81.11979588866234,71.87401080131531,73.01943004131317,71.46126478910446,75.35664141178131,65.61819985508919,81.19970634579659,78.9079464673996,79.92664277553558,76.98915004730225,81.30289614200592,70.51853090524673,87.77351528406143,72.87797546386719,73.02502989768982,71.4272290468216,75.38591772317886,65.48919603228569,81.32395073771477,45.77030503749848,46.04717046022415,42.97106340527534,50.732578337192535,31.32879100739955,62.374850735068335
25,DL,InceptionV3,3305.365151882172,47.39276194572449,3352.757913827896,95.98645842075348,97.39583432674408,94.21875029802324,98.84114563465118,87.28515729308131,105.7747386395931,95.95739996433258,97.32059240341188,94.21237856149672,98.87993931770325,87.21103742718697,105.88128045201302,96.00208353996275,97.42187559604643,94.41406428813936,98.85416626930235,87.75391131639485,105.51431924104686,95.95312523841858,97.31771051883698,94.21875029802324,98.88020753860474,87.22656443715098,105.87239339947698,95.9805566072464,97.37379252910614,94.2751333117485,98.86696934700012,87.38737925887108,105.75472339987756,98.84187519550323,99.65044260025024,98.51956963539124,99.92562085390092,96.41049280762672,102.03469768166542,96.00249361991882,97.4159449338913,94.39589232206345,98.85572046041489,87.70615011453629,105.54546266794203,91.96225047111513,94.74174380302428,88.52627873420715,97.73553460836412,74.7123949229717,111.54941841959956,74.77499985694885,74.79166388511658,72.50000238418579,76.61458253860474,66.32813215255737,82.78645277023315,74.72056150436401,74.73903894424438,72.1735030412674,76.54055505990982,65.62292501330376,83.09113308787346,74.76666641235352,74.79166388511658,72.50000238418579,76.66666507720947,66.25000834465027,82.916659116745,74.70416641235352,74.6874988079071,72.08333611488342,76.40625089406967,65.59896394610405,82.89062306284904,74.74319159984589,74.69037175178528,72.39422798156738,76.62851512432098,66.04279726743698,82.97994583845139,81.39766895771027,81.0491532087326,79.44444417953491,83.89496356248856,72.76866510510445,90.57074263691902,74.75236344337463,74.70919191837311,72.39919602870941,76.63943767547607,66.03883355855942,82.99980014562607,49.473878026008606,49.37672913074493,44.63844448328018,53.23115587234497,31.749377399683,66.12022295594215
30,DL,InceptionV3,3397.683979511261,48.18925428390503,3445.873233795166,96.424999833107,98.28124940395357,95.03906220197678,99.0494802594185,89.02343511581418,105.06510734558108,96.4267885684967,98.28124940395354,95.07488757371902,99.06225800514224,89.09383192658422,105.04331365227702,96.38645815849304,98.25520813465118,95.0130209326744,99.03645962476732,88.97786289453502,105.07161766290668,96.43125009536745,98.2812523841858,95.07812410593031,99.0625023841858,89.1015566885471,105.039069801569,96.40638649463654,98.28152358531952,95.04585266113284,99.04945045709611,89.0404559671879,105.05484715104105,98.9960559606552,99.78901147842409,98.86832386255264,99.95594173669814,97.2368970513344,101.58736854791638,96.39758551120758,98.25953245162964,95.01978009939194,99.03796017169954,88.99250999093053,105.06523028016092,92.82470154762268,96.56766057014464,90.09898602962494,98.10047000646593,78.09676006436348,110.10269597172736,76.08749973773956,76.14583373069763,74.63541626930237,78.07291597127914,69.4791667163372,83.22916552424431,76.04640984535217,76.03736221790314,74.64851886034012,78.07291597127914,69.51192319393158,83.20951163768768,75.99583339691162,75.93750059604645,74.63541626930237,78.07291597127914,69.4791667163372,83.22916552424431,76.06249976158142,76.04166865348816,74.63541626930237,78.07291597127914,69.4791667163372,83.22916552424431,76.02201116085052,75.99509954452515,74.65570122003555,78.08924466371536,69.50538605451584,83.23955982923508,82.92420256137848,83.20421874523163,81.04600757360458,84.85905528068542,75.32643601298332,90.57862684130669,76.01201152801514,75.96591114997864,74.64816570281982,78.04053723812103,69.55960839986801,83.12909454107285,52.06202763319016,52.19509303569794,49.322891980409615,56.14766627550125,39.08573053777216,66.38482771813871
35,DL,InceptionV3,3535.836865186692,49.09778356552124,3584.9346487522125,97.10104191303252,98.828125,97.29166775941847,99.41406399011612,94.10807341337204,102.59765833616255,97.06613290309906,98.85297119617462,97.21553027629852,99.37490075826643,93.97647455334663,102.61395648121834,97.08125007152556,98.77604246139526,97.29166775941847,99.37500208616255,94.16666626930235,102.50000357627869,97.06145870685576,98.85416626930235,97.21354246139526,99.37500208616255,93.97135302424432,102.61719152331352,97.07282304763794,98.8008350133896,97.25289195775986,99.36837553977968,94.07966658473012,102.5416009128094,99.02800714969636,99.90294575691225,99.55985099077223,99.96624141931537,98.95026534795758,100.57582706213,97.08279836177826,98.77835512161252,97.29570150375363,99.3761822581291,94.17498037219046,102.4969033896923,94.1479505300522,97.6065069437027,94.51001584529877,98.73836040496826,88.1674990057945,105.08087724447252,77.10833358764648,77.60416567325592,75.57291686534882,79.1145846247673,70.26041522622108,84.42708626389503,77.08060789108276,77.59159803390503,75.5746677517891,78.94735038280487,70.51564380526543,84.00637432932854,77.04999995231628,77.39583253860474,75.52083283662796,78.90625,70.4427070915699,83.98437574505806,77.08749985694885,77.60416567325592,75.67708492279053,78.95833253860474,70.75521349906921,83.88020396232605,77.06333303451538,77.49218940734863,75.54066777229309,78.91614884138107,70.47744616866112,83.97937044501305,83.85046887397766,83.85405242443085,82.17545449733734,85.35183370113373,77.41088569164276,90.11640250682832,77.06299757957458,77.46973633766174,75.53346008062363,78.94265204668045,70.41967213153839,84.05643999576569,54.1417020559311,55.00468611717224,51.0941818356514,57.87086933851242,40.92915058135986,68.03590059280396
40,DL,InceptionV3,3557.366656780243,50.59755444526672,3607.9642112255096,97.89062440395357,98.85416626930235,97.76041507720949,99.3749976158142,95.3385412693024,101.79687142372129,97.89593172073364,98.88005256652832,97.69411087036131,99.37524348497392,95.17241194844246,101.89694240689278,97.89583325386047,98.9062488079071,97.64322936534882,99.41406399011612,94.98697742819786,102.07031592726707,97.89687430858612,98.88020753860474,97.69531190395357,99.3749976158142,95.1757833361626,101.89452618360517,97.89556396007538,98.86963665485382,97.66343533992766,99.39482957124709,95.06634399294852,101.99192091822624,99.5311245918274,99.92031753063202,99.6998608112335,99.97917115688324,99.2808952927589,100.39813667535786,97.90159249305724,98.89321327209474,97.65853583812714,99.41445887088776,95.0246512889862,102.04834342002869,95.79728746414185,97.73805439472198,95.34246921539308,98.79004657268524,90.17110317945485,103.96141260862348,78.38333320617676,78.64583432674408,76.8750011920929,80.78124970197678,71.01562842726707,86.6406224668026,78.38890099525452,78.51926684379578,76.83148831129074,80.77113777399063,70.9220141172409,86.68061196804047,78.33750009536743,78.4375011920929,76.8750011920929,80.72916716337204,71.09375223517418,86.51041612029076,78.40416669845581,78.54166626930237,76.77083164453506,80.78124970197678,70.7552045583725,86.79687678813934,78.3579181432724,78.48997116088867,76.91639810800552,80.7365134358406,71.1862251162529,86.46668642759323,85.13014781475067,85.12597680091858,83.36464315652847,87.81472146511078,76.68952569365501,94.48983892798424,78.36544132232666,78.47537994384766,76.93971246480942,80.76674193143845,71.19916826486588,86.50728613138199,56.7455068230629,56.98237419128418,53.805722296237946,61.51135861873627,42.24726781249046,73.06981310248375
45,DL,InceptionV3,3386.7503542900085,52.20277714729309,3438.9531314373016,97.7218747138977,98.9062488079071,97.10937291383742,99.34895634651184,93.7499977648258,102.70833149552344,97.70647644996644,98.9062488079071,97.02098220586775,99.296772480011,93.60729679465292,102.71045789122584,97.73020839691162,98.93229007720949,97.10937291383742,99.29687380790712,93.82812157273288,102.57812514901164,97.7052081823349,98.9062488079071,97.01822847127914,99.29687380790712,93.60026046633718,102.71484181284907,97.7185196876526,98.90620112419128,97.06597328186037,99.29003417491911,93.7298819422722,102.6261255145073,99.52991759777068,99.9149739742279,99.53181296586992,99.96873289346696,98.87643307447436,100.62411278486248,97.73311984539032,98.9311456680298,97.1099704504013,99.29881840944287,93.82669851183894,102.58209034800528,95.44029307365416,97.81637191772462,94.1328376531601,98.58242869377138,87.45845109224317,105.25681525468828,78.32916688919067,78.02083194255829,76.45833492279053,79.79166507720947,71.45833969116211,84.79166030883789,78.30228519439697,78.08941602706909,76.47355496883392,79.73888665437698,71.57555744051933,84.63688418269157,78.19583332538605,78.02083194255829,76.30208283662796,79.8958346247673,70.91145515441895,85.28646230697632,78.32916688919067,78.02083194255829,76.51041746139526,79.79166507720947,71.58854603767395,84.71353650093079,78.247483253479,78.03640365600586,76.40952616930008,79.76669818162918,71.37376815080643,84.80245620012283,84.99375879764557,85.45648753643036,82.89545774459839,86.77978217601776,77.06897109746933,92.60626882314682,78.22819459438324,77.97379195690155,76.3998344540596,79.9038365483284,71.1438313126564,85.1598396897316,56.529175460338585,56.25,52.81586050987244,59.54447090625763,42.72294491529465,69.63738650083542
50,DL,InceptionV3,3470.253717660904,54.06708645820618,3524.32080411911,97.86041688919067,99.11458492279051,97.51302301883698,99.62239563465118,94.34896409511566,102.7864545583725,97.8570806980133,99.1662323474884,97.27796763181686,99.63532090187071,93.7419377267361,103.1713508069515,97.83749997615814,99.16666746139526,97.60416746139526,99.58333373069765,94.63541805744168,102.5520831346512,97.859375,99.16666746139526,97.26562649011612,99.63541626930235,93.71094182133676,103.19010093808171,97.84639298915864,99.1806834936142,97.49335348606112,99.62115734815598,94.3016476929188,102.81286314129828,99.50818061828612,99.93996024131776,99.60881173610689,99.98599141836166,99.04304221272469,100.55176094174384,97.84603536128998,99.17449951171876,97.60795682668687,99.586883187294,94.63956728577617,102.5552727282047,95.70185029506683,98.362135887146,94.98236179351808,99.2455542087555,88.58757317066193,105.64034283161163,78.674999833107,78.22916805744171,77.49999761581421,80.1562488079071,73.51562082767487,84.14062559604645,78.61330676078796,78.32456231117249,77.29166746139526,80.11482208967209,73.05693551898003,84.34955403208733,78.59583306312561,78.125,77.29166746139526,80.0000011920929,73.22916686534882,84.06250178813934,78.62083351612091,78.33333611488342,77.29166746139526,80.1562488079071,72.9947954416275,84.45312082767487,78.60352277755737,78.2086193561554,77.28643268346786,80.03223687410355,73.16772639751434,84.15094316005707,85.49885332584381,85.3159636259079,83.75580757856369,87.67144232988358,77.88235545158386,93.5448944568634,78.60772442817688,78.16962599754333,77.29284018278122,80.01634329557419,73.20758551359177,84.10159796476364,57.22064083814621,56.46414458751679,54.58521693944931,60.1061999797821,46.30374237895012,68.3876745402813
