subset,strategy,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,DL,MobileNet,1069.4063711166382,15.101552963256836,1084.507924079895,83.5791665315628,83.33333134651184,76.51041448116302,92.3828125,52.70181745290754,116.19140952825548,83.44220054149628,83.23395252227783,76.47778689861298,92.7356019616127,52.09106430411339,117.12232455611228,83.44708335399628,83.38541686534882,76.7708346247673,92.25260615348816,53.54817733168602,115.47526344656944,83.39479184150696,83.17708373069763,76.74479186534882,92.7734375,52.70182341337204,116.81640595197678,83.3863296508789,83.30985307693481,76.55520439147949,92.4888789653778,52.65469253063202,116.38939082622528,89.56003499031067,91.1515861749649,85.17810255289078,97.89035469293594,66.10972434282303,116.95873290300368,83.4312082529068,83.4153801202774,76.73271298408508,92.31743216514587,53.3556342124939,115.69451093673706,66.82672160863876,66.63295328617096,53.09203118085861,85.04555821418762,5.161740630865097,132.97584876418114,66.47083294391632,66.45833551883698,64.68749791383743,68.48958134651184,58.98437276482582,74.19270649552345,66.1175422668457,66.52552485466003,64.39589560031891,68.29581558704376,58.54601562023163,74.14569556713104,66.71666675806046,67.08333194255829,64.3750011920929,69.53125,56.64062798023224,77.26562321186066,65.54166668653488,66.25000238418579,64.47916775941849,68.69791597127914,58.1510454416275,75.02603828907013,66.11317497491837,66.41972362995148,64.7549107670784,68.77318173646927,58.727504312992096,74.80058819055557,71.37086772918701,71.97200655937195,69.11914050579071,74.01486784219742,61.77554950118065,81.35845884680748,66.68707358837128,66.51289165019989,64.8035928606987,68.79368424415588,58.81845578551293,74.77882131934166,32.550107926130295,32.92277902364731,28.429034352302544,36.89381107687949,15.73186926543712,49.59097616374492
10,DL,MobileNet,1207.0986258983612,15.93103551864624,1223.0296614170074,92.51145839691162,94.73958313465118,88.65885585546494,98.71093779802324,73.58073294162747,113.78906071186069,92.46097016334534,94.70085203647614,88.6257141828537,98.76281917095184,73.42005670070651,113.96847665309905,92.51479172706604,94.76562440395357,88.67187649011612,98.71093779802322,73.61328452825546,113.76952975988388,92.40520811080933,94.71354186534882,88.61978948116302,98.76302033662796,73.40494319796562,113.97786661982536,92.434978723526,94.67993676662444,88.6623427271843,98.73358011245728,73.55548664927483,113.84043619036674,96.54553771018982,98.9041656255722,95.6390142440796,99.91838335990906,89.21996057033539,106.33743703365326,92.47248411178587,94.77166533470154,88.65721374750137,98.72207492589948,73.5599219799042,113.81936669349668,84.88602694869041,89.36714231967926,77.31372565031052,97.4786952137947,47.06627130508424,127.72614955902095,69.18333315849304,69.37499940395355,67.91666746139526,71.45833373069763,62.60416805744171,76.77083313465118,69.41575872898102,69.95746791362762,68.05195957422256,71.52330428361893,62.84494251012802,76.73032134771347,67.987499833107,69.37500238418579,67.70833134651184,71.66666388511658,61.770832538604736,77.60416269302368,69.93333315849304,70.10416686534882,68.12499761581421,71.56249731779099,62.968748062849045,76.71874687075615,68.32426393032074,69.46384906768799,67.64307022094727,71.4811161160469,61.886001378297806,77.23818495869637,74.88060748577118,75.23491978645325,73.18712174892426,77.40456461906433,66.86095744371414,83.73072892427444,68.86675429344177,69.50910091400146,67.77614206075668,71.46795243024826,62.23842650651932,77.00566798448563,38.05827754735947,38.96220028400421,35.47228649258613,42.9731659591198,24.22096729278563,54.2244851589203
15,DL,MobileNet,1313.9136743545532,16.206339597702026,1330.1200139522552,93.18229126930235,98.30729067325592,90.15624821186066,99.67447817325592,75.87890326976776,113.95182311534882,93.12888956069946,98.3324646949768,89.76246118545532,99.63560700416564,74.95274245738986,114.44532573223113,93.09354138374329,98.28124940395357,90.26041775941847,99.6874988079071,76.11979618668556,113.82812038064004,93.10833299160004,98.33333194255827,89.70052152872086,99.63541626930235,74.79817941784862,114.5377583801746,93.07254910469057,98.30562472343443,90.03784358501434,99.66185390949248,75.60182809829715,114.09786939620967,96.3316388130188,99.84517395496368,96.27578258514404,99.99403953552246,90.69839715957642,105.57142496109007,93.09253716468812,98.28676879405975,90.23774862289427,99.688683450222,76.06134638190272,113.86508569121358,86.18808650970459,96.61687314510344,80.0390899181366,99.32488799095154,51.110392808914185,128.25358510017395,70.86666679382324,71.14583253860474,69.06250268220901,73.28125089406967,62.73438036441803,79.60937321186066,70.69160389900208,71.17590308189392,68.86831223964691,73.4407290816307,62.00968697667122,80.2993543446064,71.40000009536743,71.45833373069763,69.8437511920929,73.6458346247673,64.14062604308128,79.34895977377892,70.24166625738144,71.14583253860474,68.43750029802322,73.54166507720947,60.78125312924385,81.19791224598885,71.01748645305634,71.13181352615356,69.74485963582993,73.31288307905197,64.39282447099686,78.66491824388504,76.76037299633026,77.32703387737274,74.56505000591278,79.0819764137268,67.78966039419174,85.85736602544785,70.98081111907959,71.14776968955994,69.38698291778564,73.32766354084015,63.47596198320389,79.2386844754219,41.67656323313713,42.31698364019394,38.08281198143959,46.98181301355362,24.734310433268547,60.33031456172466
20,DL,MobileNet,1392.110984802246,15.14676809310913,1407.2577528953552,95.82187521457672,99.50520992279051,95.16927003860474,99.8307302594185,88.17707970738408,106.82292059063914,95.70110392570496,99.4531273841858,95.24716585874556,99.8435452580452,88.35259675979614,106.73811435699464,95.7322919368744,99.42708611488342,95.22135257720949,99.79166388511658,88.36588561534882,106.64713084697723,95.69791674613953,99.4531273841858,95.24739384651184,99.8437523841858,88.35285604000089,106.73829019069674,95.71503698825836,99.4542270898819,95.2460691332817,99.79125112295152,88.42829614877698,106.60902410745624,97.9420496225357,99.97571408748628,98.93275946378706,99.99829232692716,97.3344601690769,101.59659162163734,95.73966419696808,99.43492114543916,95.2382892370224,99.79124516248704,88.40885534882543,106.620679050684,91.44227933883668,98.90983998775482,90.50455838441847,99.58447813987732,76.88467875123021,113.2043577730656,72.73333311080933,73.02083373069763,71.09375,74.68749731779099,65.70312902331352,80.07811829447746,72.70376181602478,73.0439841747284,70.70330381393433,74.92219805717468,64.37496244907379,81.25053942203522,72.42916715145111,72.81250059604645,70.26041746139526,74.68749731779099,63.61979767680168,81.32811710238457,72.75416684150696,73.1249988079071,71.09375,75.15625208616257,64.99999687075615,81.25000521540642,72.53291845321655,72.77546226978302,70.28000354766846,74.75140690803528,63.57289850711823,81.45851194858551,78.90103280544281,78.82302105426788,76.7641007900238,81.39583170413971,69.81650441884995,88.34342807531357,72.52457356452942,72.83286452293396,70.32425552606583,74.76901561021805,63.65711539983749,81.43615573644638,45.20292544364929,45.94335108995437,40.78530818223953,49.58704710006713,27.58269980549813,62.78965547680853
25,DL,MobileNet,1376.153903007507,15.659225940704346,1391.8131289482117,98.00833368301392,99.1406261920929,97.34375029802322,99.62239563465118,93.92578229308128,103.04036363959312,97.983461022377,99.1406112909317,97.41086661815643,99.63541626930235,94.07404214143756,102.97224074602124,97.9854165315628,99.1406261920929,97.48697727918623,99.63541626930235,94.2643187940121,102.85807475447652,97.98333323001862,99.1406261920929,97.40885198116302,99.63541626930235,94.06900554895404,102.97526270151135,97.9837282896042,99.14096593856812,97.44924008846284,99.63600635528564,94.1690906882286,102.91615575551988,99.53443014621736,99.95497167110445,99.74942207336424,99.99330639839172,99.38359558582304,100.35913288593296,97.9921647310257,99.14199411869048,97.49027341604231,99.63541626930235,94.27255913615224,102.85313054919244,95.97497737407684,98.2834368944168,94.90193873643874,99.27197694778444,88.3468814194202,105.82703426480298,74.21666717529297,73.85416626930237,72.70833253860474,76.04166865348816,67.7083283662796,81.0416728258133,74.09389626979828,73.87667000293732,72.33719527721405,75.91911107301712,66.96432158350945,81.29198476672173,74.05416715145111,73.85416626930237,72.70833253860474,76.04166865348816,67.7083283662796,81.0416728258133,74.10833370685577,73.95833134651184,72.34375029802322,75.9895846247673,66.8749988079071,81.45833611488342,74.06527101993561,73.77770841121674,72.57412075996399,76.12797915935516,67.24333316087723,81.45876675844193,80.39582526683807,80.07377684116364,78.91303300857544,82.73361623287201,73.18215817213058,88.46449106931686,74.08827567100525,73.87140691280365,72.65280783176422,76.23732388019562,67.27603375911713,81.61409795284271,48.1707746386528,47.609612345695496,45.00830173492431,52.14129090309143,34.30881798267363,62.84077465534212
30,DL,MobileNet,1359.7828142642977,15.666537523269652,1375.4493517875671,97.63750004768372,99.2968738079071,96.84896022081374,99.72656071186066,92.53255948424336,104.04296144843104,97.574471950531,99.24518465995789,96.84474766254426,99.687659740448,92.58037954568866,103.9520278573036,97.5927083492279,99.2968738079071,96.83593958616258,99.73958134651184,92.48047694563869,104.09504398703572,97.57291650772096,99.24479126930235,96.84896022081377,99.6874988079071,92.59115234017376,103.9453066885471,97.58351171016692,99.27281737327576,96.82295620441438,99.71372187137604,92.48680770397188,104.04987037181851,99.257497549057,99.9693065881729,99.5552495121956,99.9956265091896,98.89468401670456,100.65619200468063,97.59794211387634,99.29992854595184,96.84109538793564,99.74076598882677,92.49158948659894,104.09027189016344,95.17369568347932,98.5470563173294,93.65128576755524,99.42943453788756,84.98406261205673,108.09665769338608,75.2041665315628,75.62500238418579,73.7500011920929,76.8750011920929,69.0625011920929,81.5625011920929,75.18799161911011,75.49322545528412,73.98552745580673,76.92315131425858,69.57909166812897,81.32958710193634,74.80833327770233,75.52083432674408,73.1249988079071,76.82291716337204,67.5781212747097,82.36979469656944,75.31666600704193,75.62499940395355,74.06249791383743,77.0312488079071,69.60937157273293,81.48437514901161,74.98868262767792,75.60807764530182,73.47061038017273,76.8038883805275,68.47069337964058,81.80380538105965,81.81507182121277,82.06282258033752,80.0006628036499,83.92610102891922,74.11250546574593,89.8142583668232,74.96021294593811,75.52366852760315,73.42786490917206,76.72505229711533,68.48208382725716,81.67083337903023,50.13945114612579,51.14812254905701,47.39941358566284,53.61124277114868,38.08166980743408,62.92898654937744
35,DL,MobileNet,1393.5818405151367,15.419787883758543,1409.0016283988953,97.87812542915344,99.58333373069765,96.9791665673256,99.79166388511658,92.76042059063911,104.01040986180304,97.82342445850372,99.50558841228484,96.96877747774124,99.79174882173535,92.73432046175006,104.02620583772656,97.83958351612092,99.58333373069765,96.83593809604643,99.79166388511658,92.40234941244124,104.2252525687218,97.8239586353302,99.50520992279051,96.9791665673256,99.79166388511658,92.76042059063911,104.01040986180304,97.83220052719116,99.5472013950348,96.8500778079033,99.79166090488434,92.43770316243176,104.20403555035588,99.3959584236145,99.98752772808076,99.4990289211273,99.99689012765884,98.75223711133,100.74368193745616,97.84571969509123,99.58239197731018,96.84376120567325,99.79284852743147,92.42013022303584,104.21647951006888,95.6714038848877,99.09498691558838,93.70850026607512,99.5872050523758,84.89044308662415,108.40526223182678,75.97500014305115,76.2499988079071,73.7500011920929,77.91666388511658,67.50000715255737,84.1666579246521,75.86931896209717,76.15052461624146,73.68973195552826,77.82441228628159,67.48771145939827,84.02643278241158,75.70833313465118,75.93750059604645,73.54166507720947,78.17708551883698,66.58853441476822,85.13021618127823,75.92083358764648,76.2499988079071,73.85416775941849,77.81249731779099,67.91667342185974,83.74999165534973,75.77448606491089,76.02769732475281,73.65006804466248,77.9660627245903,67.17607602477074,84.44005474448204,82.44867706298828,82.61989653110504,80.38563430309296,85.0078672170639,73.45228493213654,91.94121658802032,75.79317367076874,75.95348060131073,73.64306002855301,78.03323715925217,67.05779433250427,84.6185028553009,51.64739257097244,52.19539999961853,47.55887985229492,55.79386651515961,35.20639985799788,68.14634650945665
40,DL,MobileNet,1264.3717248439789,15.310526132583618,1279.6822509765625,97.78958320617676,99.11458492279051,96.52343690395354,99.67447817325592,91.79687499999996,104.4010400772095,97.7349544763565,99.11481142044067,96.40643894672394,99.63584095239638,91.56233593821528,104.47994396090505,97.75625026226044,99.19270873069765,96.41927182674408,99.67447817325592,91.53646230697632,104.55728769302368,97.7333333492279,99.11458492279051,96.39323055744173,99.63541626930235,91.52995198965075,104.49869483709332,97.74541008472444,99.15777146816254,96.46537452936172,99.6744692325592,91.6517324745655,104.48811128735542,99.51070666313171,99.96581077575684,99.36473816633224,99.99501556158066,98.41932207345964,100.94043165445328,97.7622331380844,99.19060170650482,96.43824547529222,99.67484772205351,91.58334210515024,104.52975109219548,95.49743747711182,98.31361770629884,92.95996427536012,99.34932589530943,83.37592184543612,108.93336832523345,76.8083336353302,77.49999761581421,75.26041865348816,78.28125208616257,70.72916850447655,82.81250223517418,76.69520974159241,77.3484081029892,75.22522658109665,78.10879051685333,70.89988067746162,82.43413642048836,76.56249988079071,77.39583253860474,75.0,78.33333611488342,69.99999582767487,83.33334028720856,76.7333333492279,77.49999761581421,75.31250268220901,78.28125208616257,70.85937857627869,82.7343761920929,76.62071120738983,77.3308277130127,75.01959800720215,78.10717970132828,70.38822546601295,82.73855224251747,83.73395323753357,83.96451473236084,82.22928047180176,85.7973113656044,76.8772341310978,91.14935770630836,76.62128233909607,77.32143998146057,75.0669464468956,78.28720510005951,70.23655846714973,83.11759307980537,53.30912733078003,54.39581274986267,50.31947195529938,56.2073141336441,41.48770868778229,65.0390774011612
45,DL,MobileNet,1358.55641579628,15.856338024139404,1374.4127538204193,97.58854126930235,99.47916567325592,96.5234398841858,99.88281428813934,91.48437827825546,104.92187589406969,97.58966779708862,99.47932958602908,96.45012468099594,99.79185760021208,91.43752530217174,104.8044569790363,97.50729179382324,99.50520992279051,96.52343839406969,99.88281428813934,91.48437455296516,104.92187812924384,97.6031243801117,99.47916567325592,96.44531160593034,99.79166388511658,91.42578318715098,104.81119230389592,97.54667568206789,99.4927704334259,96.50409221649169,99.83813762664796,91.5030241012573,104.83920574188237,99.20379543304443,99.97614622116087,99.52940642833708,99.9979257583618,98.8266274333,100.7007047533989,97.5315294265747,99.50673282146454,96.5335637331009,99.88281428813934,91.50968790054324,104.906690120697,95.11938905715942,98.9871084690094,93.01819801330566,99.67624098062514,83.03113356232646,109.66330543160436,77.69166684150696,77.91666388511658,75.93749910593033,79.3749988079071,70.78124955296516,84.53124836087227,77.49327421188354,77.80073285102844,75.92309713363647,79.55092191696167,70.48135995864868,84.99265909194946,77.66249966621399,77.91666388511658,75.88541656732559,79.53125089406967,70.41666507720947,85.00000238418579,77.40416729450226,77.70833373069763,76.04166865348816,79.58333492279053,70.7291692495346,84.89583432674408,77.57515811920166,77.70299911499023,75.99867284297943,79.39056158065796,70.91083973646164,84.47839468717575,84.5003513097763,84.13769602775574,82.95437395572662,86.24804466962814,78.01386788487434,91.18855074048042,77.59539580345154,77.64417827129364,76.04269087314606,79.32612597942352,71.11753821372986,84.25127863883972,55.097566187381744,55.5277019739151,51.93494260311127,58.8595062494278,41.54809713363648,69.24635171890259
50,DL,MobileNet,1374.9933941364288,15.454476356506348,1390.4478704929352,98.3572919368744,99.66145753860474,97.1484363079071,99.8437523841858,93.10546219348905,103.88672649860384,98.30305290222168,99.68757927417757,97.23398834466934,99.84373152256012,93.31937357783316,103.75834628939631,98.32500004768372,99.63541626930235,97.04427123069765,99.8437523841858,92.84504950046536,104.04297411441806,98.2999997138977,99.6874988079071,97.23958373069765,99.8437523841858,93.33333075046536,103.75000536441806,98.31352424621582,99.68543350696564,97.1365749835968,99.84373450279236,93.07583570480348,103.9044737815857,99.65458738803864,99.99322593212128,99.57673698663712,99.99874383211136,98.94372671842572,100.63175410032277,98.32880067825316,99.64094161987305,97.0610275864601,99.8437523841858,92.88694038987155,104.01783958077436,96.631471991539,99.37573671340942,94.2903220653534,99.6874988079071,86.19455695152283,107.78326392173769,77.924999833107,77.60416567325592,76.2499988079071,80.1562488079071,70.3906238079071,86.0156238079071,77.8361028432846,77.66140401363373,76.19296312332153,80.0617203116417,70.3898273408413,85.86485609412193,77.84583342075348,77.70833373069763,76.04166865348816,80.1562488079071,69.86979842185974,86.32811903953552,77.83333325386047,77.70833373069763,76.04166865348816,80.0000011920929,70.10416984558105,85.9375,77.84111738204956,77.83713638782501,76.10158175230026,80.21877557039261,69.92579102516174,86.39456629753113,84.69607317447662,84.80957448482513,82.82334953546524,86.72228008508682,76.97495371103287,92.5706759095192,77.850417137146,77.83836722373962,76.1223554611206,80.22773265838623,69.96428966522217,86.38579845428467,55.69399333000183,55.22106885910034,52.30359584093094,60.3753536939621,40.1959590613842,72.48299047350883
