subset,strategy,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,DL,MobileNetV2,20.50147334098816,0.4560902643203735,20.957563605308533,68.09375011920929,62.47395873069763,60.924479365348816,73.94531071186066,41.393232345581055,93.47655773162842,66.66543352603912,60.22490859031677,58.25347602367401,74.23021495342255,34.28836762905121,98.19532334804536,66.62875056266785,60.50000190734863,58.39583426713944,73.61979335546494,35.559895634651184,96.4557319879532,67.42083299160004,61.119791865348816,60.00000238418579,74.49218928813934,38.26172202825546,96.23046964406969,67.35322594642639,61.12852394580841,59.86319035291672,73.85866492986679,38.86997848749161,94.8518767952919,71.43373513221741,64.18209075927734,61.073994636535645,81.89373463392258,29.84438464045525,113.12334463000298,67.43811905384064,61.34998798370361,60.04917323589325,73.7158715724945,39.54912573099136,94.2159190773964,34.864079773426056,22.389941662549973,20.32730095088481,47.98905998468399,-21.16533759981396,89.48169853538276,54.483333230018616,50.0,50.0,57.91666507720947,38.12500238418579,69.79166269302368,52.05313128232956,50.0,50.0,56.86993449926376,39.69509825110436,67.17483624815941,53.108333617448814,50.0,50.0,62.08333522081375,31.874997168779373,80.20833805203438,54.03749997913837,50.0,50.0,63.69791477918625,29.453127831220627,84.24478694796562,51.12634730339051,50.0,50.0,59.03961509466171,36.44057735800743,72.59903773665428,56.41386258602142,54.20486032962799,50.56103765964508,60.55718809366226,35.56681200861931,75.55141374468803,52.68108958005905,50.0,50.0,56.21112734079361,40.68330898880959,65.52781835198402,7.4080513571389,0.0,0.0,12.756181508302683,-19.134272262454022,31.89045377075671
10,DL,MobileNetV2,19.548847303390502,0.4632646608352661,20.012111964225767,70.83749985694885,63.77604305744171,61.47135347127914,79.41406071186066,34.55729261040688,106.32812157273293,69.65335667133331,62.16457188129425,58.9008703827858,79.47480082511902,28.039974719285965,110.33569648861884,69.81645822525024,63.10416758060455,59.72916632890701,79.46614772081375,30.123694241046906,109.07161980867386,70.10000002384186,62.682291865348816,60.05208194255829,79.47916686534882,30.911454558372498,108.6197942495346,70.07968974113464,62.42463290691376,59.97478514909744,79.47449684143066,30.72521761059761,108.7240643799305,74.73760902881622,67.01906323432922,62.69392520189285,88.6505275964737,23.75902161002159,127.58543118834496,70.18093526363373,62.6082569360733,60.19685715436936,79.47574108839035,31.27853125333786,108.39406698942184,40.28950825333595,25.101281702518463,20.28414085507392,58.967986702919006,-37.7416279166937,116.99375547468662,55.22916662693024,52.395832538604736,50.0,60.31250208616257,34.53124687075615,75.78125521540642,54.79820388555526,51.97210609912872,50.0,59.29045230150223,36.06432154774666,73.22613075375557,58.72083336114884,56.041666865348816,50.0,64.73958343267441,27.890624850988388,86.84895858168602,50.99166670814157,50.0,49.843750149011605,60.57291775941849,33.749998733401284,76.66666917502882,55.75147980451584,55.3338885307312,50.0,62.03719824552536,31.94420263171196,80.0929956138134,57.715677082538605,55.63628673553467,51.956869661808014,63.6059045791626,34.48331728577614,81.07945695519447,54.97270840406417,51.38461589813232,50.0,60.83873212337494,33.74190181493759,77.09683030843735,9.903236171230672,5.471239797770975,0.0,20.67292667925357,-31.00939001888036,51.68231669813392
15,DL,MobileNetV2,21.68718729019165,0.4578244352340698,22.14501172542572,76.55208361148834,75.4687488079071,65.59896022081375,86.71874850988388,33.91927778720856,118.39843094348907,75.7831506729126,75.28390884399414,64.62442278862,86.75169050693512,31.43352121114731,119.9425920844078,75.78374981880188,75.390625,63.96354138851166,86.79687678813934,29.71353828907013,121.04687988758089,76.11874997615814,75.13020932674408,65.20833224058151,86.7447942495346,32.90363922715187,119.04948726296423,76.07735192775726,75.36096572875977,64.68275189399719,86.77946478128433,31.537682563066483,119.92453411221504,81.58183681964874,82.96045958995819,69.48534101247787,93.73672306537628,33.108267933130264,130.1137961447239,76.15153086185455,75.36605596542358,64.79282826185226,86.79412603378296,31.790881603956223,119.796072691679,52.267970353364944,50.72074234485626,29.779760539531708,73.55948686599731,-35.8898289501667,139.22907635569572,58.97916686534882,60.52083373069763,50.93749910593033,63.80208432674408,31.6406212747097,83.0989621579647,59.51138412952424,60.3519082069397,51.35402977466583,65.47292768955231,30.17568290233612,86.65127456188202,54.95416675973684,59.375,50.0,67.03125089406967,24.453123658895493,92.57812723517418,61.42083336412907,62.708333134651184,50.0,69.7395846247673,20.390623062849045,99.34896156191826,54.21380319632589,58.362531661987305,50.0,65.43956100940704,26.840658485889435,88.59890252351761,62.09529936313629,62.62120008468628,56.326282024383545,68.93391609191895,37.41483092308045,87.84536719322205,58.91295659542084,59.41336750984192,50.23444294929504,65.0536298751831,28.00566256046295,87.2824102640152,16.944881179369986,19.076428562402725,1.93698946386575,26.08917877078056,-34.29129449650646,62.31746273115277
20,DL,MobileNetV2,24.08581654548645,0.4721061086654663,24.55792265415192,80.40000021457672,82.421875,70.01302242279053,89.63541388511658,40.57943522930145,119.06900107860564,79.49672520160675,82.27452039718628,69.03323531150818,89.40538614988327,38.47500905394554,119.96361240744592,79.63062524795532,82.55208432674408,69.25781220197678,89.6614596247673,38.652341067790985,120.2669307589531,79.84479117393494,82.23958313465118,68.9322903752327,89.37499970197678,38.26822638511658,120.0390636920929,79.88780915737152,82.41114318370819,69.0803200006485,89.53066617250443,38.40480074286461,120.20618543028831,84.78321146965027,89.99069333076477,75.68354457616806,95.87299972772598,45.39936184883118,126.15718245506288,79.97192251682281,82.51131176948547,69.31204795837402,89.64520543813705,38.81231173872948,120.1449416577816,59.846117943525314,64.7873044013977,38.29641118645667,79.05453592538834,-22.84077592194082,140.19172303378582,59.56249964237214,59.79166626930237,51.3541653752327,65.46874940395355,30.182289332151413,86.64062544703484,59.00530540943145,59.071847796440125,52.60123163461685,65.69991260766983,32.953210175037384,85.3479340672493,56.83750039339066,60.00000238418579,50.0,65.625,26.5625,89.0625,60.96249967813492,58.645832538604736,50.10416656732559,69.79166865348816,20.57291343808174,99.322921782732,56.6707276403904,59.45201814174652,50.0,65.2782291173935,27.08265632390976,88.19557279348373,62.37218379974365,61.09744310379028,55.9705451130867,69.97135430574417,34.969331324100494,90.97256809473038,58.881556034088135,58.6065798997879,51.57897919416428,65.7661497592926,30.298223346471783,87.04690560698509,18.156462544575334,16.883228719234467,4.802043829113237,30.060820281505585,-33.08612084947528,67.94898496009411
25,DL,MobileNetV2,27.28860011100769,0.4632582187652588,27.751858329772947,81.43437480926514,82.05729126930237,66.31510257720947,94.9869766831398,23.30729141831398,137.9947878420353,80.78503024578094,82.12778270244598,65.86361974477768,94.76314038038254,22.514338791370392,138.11242133378985,80.84062492847443,82.21354186534882,66.43489450216293,95.19531130790712,23.29426929354666,138.3359365165234,80.98750030994415,82.10937678813934,65.49479216337204,94.7395846247673,21.627603471279144,138.6067733168602,80.99036824703217,82.16145932674408,65.0877133011818,94.98065412044528,20.248302072286588,139.82006534934047,85.54739117622375,89.81200158596039,71.94505333900452,98.94351661205292,31.447358429431915,139.44121152162552,81.06760966777802,82.2531133890152,65.19987732172012,95.18297016620636,20.22523805499077,140.15760943293571,62.064014464616776,64.37771022319794,30.021975934505463,89.94968831539154,-59.86959263682365,179.84125688672066,60.55000019073486,59.687501192092896,53.38541716337204,67.3958346247673,32.369790971279144,88.4114608168602,59.777898490428925,58.91979336738586,52.135591208934784,66.6994959115982,30.28973415493965,88.54535296559334,60.63750013709068,60.83333492279053,50.9895846247673,70.26041746139526,22.083335369825363,99.1666667163372,59.15833327593282,60.729166865348816,50.312502682209015,69.94791477918625,20.859384536743164,99.4010329246521,59.46624037623406,60.82745492458344,51.64768993854523,67.27683395147324,28.203973919153214,90.72054997086524,63.5582537651062,62.09625005722046,55.61316907405853,73.04757833480835,29.461555182933807,99.19919222593307,59.09674696624278,59.56563055515289,50.82724243402481,67.44939535856247,25.894013047218323,92.38262474536896,19.92714027874172,18.606840074062344,3.937618248164653,33.82938206195831,-40.90002747252584,78.6670277826488
30,DL,MobileNetV2,34.462995290756226,0.463932204246521,34.926927495002744,85.47604131698608,89.21875059604645,77.81250029802322,97.8124976158142,47.81250432133676,127.81249359250066,84.94248056411743,89.05888795852661,77.24297195672989,97.6469039916992,46.63707390427591,128.2528020441532,84.86729180812836,89.24479186534882,76.94010585546494,97.79947698116302,45.6510491669178,129.08853366971016,85.19166672229767,89.03645873069763,77.26562321186066,97.64322936534882,46.69921398162842,128.20963859558103,85.09092712402344,89.14932012557983,77.17566639184952,97.727569937706,46.3478110730648,128.5554252564907,89.15841269493103,95.6260234117508,85.65216660499573,99.751515686512,64.50314298272133,120.9005393087864,85.15874099731445,89.24403190612793,77.1134153008461,97.79723137617113,46.08769118785858,128.82295548915863,70.29891830682755,78.30145955085754,54.48150485754013,95.45331597328185,-6.976211816072442,156.9110326468944,62.94166648387909,64.79166746139526,58.3854153752327,69.53125,41.66666343808174,86.25000193715096,63.01712787151337,65.01258611679077,57.50851482152939,69.71523463726044,39.198435097932816,88.02531436085701,65.79166643321514,66.97916686534882,59.11458432674408,71.09374850988388,41.14583805203438,89.06249478459358,59.66666680993512,64.3750011920929,52.34375149011612,69.94791626930237,25.937504321336743,96.35416343808174,63.30289322137833,65.8279299736023,59.734126925468445,69.05931681394577,45.74634209275246,83.04710164666176,66.92200899124146,68.73209476470947,60.04871726036072,74.43267554044724,38.47277984023094,96.008612960577,60.796214289963245,64.02584314346313,58.22145193815231,69.031922519207,42.00574606657028,85.24762839078903,25.533280219417065,28.54965776205063,13.997172936797137,38.18158954381943,-22.279451973736304,74.45821445435287
35,DL,MobileNetV2,31.46265315055847,0.4728875017166137,31.935540652275083,85.53125035762787,89.5312488079071,75.28645843267441,97.70833253860474,41.65364727377892,131.34114369750023,85.24026846885681,89.3530547618866,73.91137182712555,97.74824529886249,38.15606161952017,133.50355550646785,85.2291671037674,89.27083313465118,74.8828113079071,97.7864608168602,40.52733704447746,132.14193508028984,85.13645815849304,89.34895694255829,73.56770932674408,97.7473944425583,37.29818165302275,134.01692211627963,85.1275041103363,89.37758803367615,74.38904792070389,97.76776880025864,39.320966601371765,132.83585011959076,89.71431565284729,95.7716703414917,81.9328635931015,99.74801540374756,55.210135877132416,126.47074311971664,85.17757070064545,89.33909833431244,74.6106892824173,97.78822958469392,39.84437882900238,132.55454003810885,70.31845206022263,78.77095341682434,48.55134785175324,95.53743451833724,-21.927782148122787,166.01656451821327,62.14999997615814,61.56249940395355,55.05208373069763,68.54166388511658,34.817713499069214,88.776034116745,61.54476737976074,61.2140953540802,53.80616933107376,69.30060088634491,30.56452199816704,92.54224821925165,63.34583365917206,63.54166865348816,55.88541477918625,70.83333432674408,33.4635354578495,93.25521364808084,59.458333648741245,61.87500059604645,51.354168355464935,70.00000178813934,23.385418206453323,97.96875193715096,61.99038565158844,62.04235255718231,56.39814734458923,68.33563297986984,38.49191889166832,86.24186143279076,65.59632003307343,65.02745151519775,56.14849030971527,73.99891465902328,29.37285378575325,100.7745511829853,61.96371638774871,61.28247082233429,54.87063080072403,68.68762373924255,34.14514139294624,89.41311314702034,23.01980691961944,21.227785944938653,7.6405731961131025,36.65536046028137,-35.8816077001393,80.17754135653378
40,DL,MobileNetV2,32.94576700210571,0.4720520162582397,33.41781901836395,85.69479131698608,89.73958194255829,74.76562410593033,98.24218600988388,39.55078125,133.4570288658142,85.35776591300964,89.66848850250244,73.69237840175629,98.21707606315614,36.90533190965651,135.00412255525592,85.42437481880188,89.50520753860474,73.93229156732559,98.26822727918623,37.42838799953461,134.77213084697723,85.21249973773956,89.68749940395355,73.52864593267441,98.21614474058153,36.49739772081375,135.24739295244217,85.28017592430115,89.58434164524078,73.78645092248917,98.2442706823349,37.099721282720566,134.9310003221035,89.79054701328278,96.16354703903198,81.34935647249222,99.78479892015456,53.69619280099869,127.4379625916481,85.33061909675598,89.55227434635162,73.92951101064682,98.26966226100924,37.41928413510321,134.77988913655284,70.58600705862045,79.22084927558899,47.63062074780464,96.4902639389038,-25.6588440388441,169.77972872555253,64.19166648387909,64.58333432674408,55.93750029802322,71.97916805744171,31.874998658895493,96.04166969656944,64.00565278530121,64.62554037570953,55.43669164180756,70.96893787384033,32.13832229375839,94.2673072218895,62.80833300948143,64.0625,54.01041656732559,74.32291656732559,23.541666567325592,104.7916665673256,64.59999978542328,67.60416626930237,58.43750089406967,73.54166805744171,35.78125014901161,96.19791880249976,62.75493639707565,63.73903155326843,54.23422902822495,72.95498698949814,26.153092086315155,101.03612393140791,67.8586853146553,69.39572095870972,57.78238922357559,77.40858644247055,28.343093395233154,106.847882270813,63.65267777442932,64.26176726818085,52.77688354253769,72.67461866140366,22.93028086423874,102.5212213397026,27.5457600079535,28.134381771087646,7.844007946550841,44.34057101607323,-46.90083665773274,99.0854156203568
45,DL,MobileNetV2,31.4211141872406,0.486089129447937,31.907203316688538,85.75937497615814,91.38020873069765,74.06249791383743,96.49739712476732,40.41014909744261,130.14974594116214,85.4188381433487,91.35192930698392,73.49359393119812,96.50570452213287,38.97542804479599,131.023870408535,85.4385416507721,91.3281261920929,74.24479126930237,96.38020694255827,41.04166775941849,129.58333045244217,85.31770849227905,91.35416746139526,73.50260317325592,96.5104177594185,38.990881294012055,131.02213963866237,85.33558487892151,91.38701558113098,73.62750917673111,96.44393771886826,39.40286636352539,130.66858053207395,89.64855182170868,97.05850780010223,81.70763850212097,99.2105558514595,55.45326247811317,125.4649318754673,85.37949442863464,91.36709570884705,73.85589480400085,96.3910460472107,40.053167939186096,130.19377291202545,70.72369986772537,82.75877237319946,47.01557904481888,92.89897382259367,-21.80951312184333,161.7240659892559,63.4666669368744,62.08333373069763,57.18749910593033,69.89583522081375,38.1249949336052,88.95833939313889,63.32651138305664,62.31056749820709,57.26485252380371,70.07920891046524,38.04331794381142,89.30074349045753,63.075000017881386,67.1875,53.958332538604736,73.74999821186066,24.270834028720856,103.43749672174454,62.15416658157484,64.68749940395355,55.98958432674408,73.90625029802322,29.114585369825363,100.78124925494194,61.64672628045083,63.1627082824707,55.90120255947113,70.0175791978836,34.72663760185242,91.19214415550232,67.49035102128983,66.49956703186035,60.20844727754593,75.93636065721512,36.61657720804215,99.5282307267189,61.11414755880833,62.22264766693115,55.80246299505234,70.3206941485405,34.0251162648201,92.09804087877274,25.49214587174356,23.349528014659874,12.411313317716118,39.846059679985046,-28.740806225687283,80.99817922338845
50,DL,MobileNetV2,36.0532141828537,0.4828016757965088,36.53601585865021,88.60729193687439,92.68229305744173,83.94531160593033,99.20572936534882,61.0546849668026,122.09635600447656,88.2392748594284,92.73902773857117,83.90757739543915,99.20522570610046,60.96110492944717,122.15169817209244,88.23312509059906,92.65625178813934,83.58072936534882,99.19270873069765,60.16276031732559,122.61067777872086,88.33229196071625,92.73437559604643,83.97135436534882,99.20572936534882,61.119791865348816,122.05729186534882,88.30530488491058,92.77780950069427,83.72071981430054,99.186272919178,60.52239015698433,122.38460257649422,92.23502898216248,97.91751503944398,91.28420352935792,99.95871186256409,78.27244102954865,112.97047436237337,88.34635066986084,92.69415140151978,83.71751606464386,99.19326454401016,60.503893345594406,122.40688726305962,76.67458787560463,85.5615496635437,67.59053170681,98.37574511766434,21.412711590528488,144.55356523394585,65.22499966621399,66.66666567325592,56.97916895151138,71.66666388511658,34.94792655110359,93.69790628552435,64.93749731779099,66.13063514232635,55.20480126142502,71.78796529769897,30.330055207014084,96.66271135210992,66.76249980926514,69.47916746139526,61.19791567325592,75.20833611488342,40.18228501081467,96.22396677732468,63.33333349227905,67.1875,52.29166448116303,72.65625,21.74478620290756,103.20312827825546,65.47949951887131,67.39737689495087,58.6451455950737,72.61024862527847,37.69749104976654,93.55790317058565,69.61119878292084,70.65353691577911,59.634822607040405,77.55631506443024,32.75258392095566,104.43855375051498,65.00955665111542,66.76655411720276,54.889582097530365,73.21417331695557,27.402695268392563,100.70106014609335,30.132314786780626,33.728355169296265,10.616541653871533,43.69239807128906,-38.99724297225475,93.30618269741537
