subset,strategy,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,DL,ResNet152,103.26710745334626,2.1162332248687745,105.38334067821503,62.05208361148834,61.58854067325592,59.60937738418579,65.00000208616257,51.52344033122063,73.08593913912773,61.248562812805176,60.9779417514801,57.807543873786926,64.95169699192047,47.09131419658661,75.66792666912079,61.1114581823349,61.71875,57.57291615009308,65.05208611488342,46.35416120290756,76.27084106206894,61.90520846843719,61.22395992279053,59.375,64.85676914453506,51.1523462831974,73.07942286133766,61.9361732006073,61.47589087486267,59.144847095012665,64.98539447784424,50.384026020765305,73.7462155520916,64.92035949230194,66.13968908786774,59.19614881277084,70.74841111898422,41.867755353450775,88.07680457830429,61.97554194927215,61.48463189601898,59.21967178583145,64.96273428201675,50.6050780415535,73.57732802629471,23.916429817676544,22.75076881051063,18.2738933712244,29.9728699028492,0.7254285737871985,47.5213347002864,54.17499995231629,50.52083432674408,50.0,58.22916775941849,37.65624836087227,70.57291939854622,53.055925846099846,50.0,50.0,59.89039093255997,35.16441360116005,74.72597733139992,51.716666802763946,50.0,48.281249403953545,56.19791597127914,36.40624955296515,68.07291582226755,54.69999995175749,50.0,50.0,67.13541746139526,24.296873807907104,92.83854365348816,47.35579863190651,50.0,50.0,58.29236507415772,37.56145238876343,70.73091268539429,56.58923614025117,55.43760657310486,50.0,61.67952865362168,32.48070701956749,79.19882163405418,48.74335727095604,50.0,50.0,56.50657266378403,40.24014100432396,66.26643165946007,6.955338561907409,0.0,0.0,13.872708380222315,-20.80906257033348,34.68177095055579
10,DL,ResNet152,93.88154249191284,2.0832350730895994,95.96477756500244,61.751041889190674,60.88541448116303,58.710937201976776,65.33854007720947,48.76953288912773,75.27994439005852,60.903368711471565,59.92083549499512,57.17258006334305,65.19890129566193,45.13309821486473,77.23838314414024,60.983958601951606,60.0885421037674,57.07291662693024,65.36458134651184,44.63541954755783,77.80207842588425,61.452083706855774,60.75521111488342,58.72395783662796,65.11718779802322,49.134112894535065,74.70703274011612,61.500988245010376,60.33819019794464,58.30698162317276,65.2806892991066,47.846420109272,75.74125081300735,64.75013494491577,64.09624218940735,58.51751118898392,70.72651982307434,40.20399823784828,89.04003277420998,61.55414831638336,60.473865270614624,58.49865823984146,65.2547538280487,48.364514857530594,75.38889721035957,23.05499619245529,21.04493305087089,17.230565473437302,30.482178926467896,-2.646854706108584,50.35959910601379,54.52083325386048,50.0,50.0,58.74999761581421,36.87500357627869,71.87499403953552,52.02323257923126,50.0,50.0,55.84024637937546,41.23963043093681,64.60061594843864,57.71249974519015,50.0,50.0,66.77083224058151,24.84375163912773,91.92708060145378,49.90416667610407,50.0,48.95833432674407,57.18750059604645,36.61458492279051,69.53125000000001,52.24157283455133,50.0,50.0,64.4491359591484,28.32629606127739,86.12283989787102,56.95148813724518,50.0,50.0,64.12510871887207,28.81233692169189,85.31277179718018,47.61407589912415,50.0,50.0,58.38133692741394,37.42799460887909,70.95334231853485,7.92639314290136,0.0,0.0,17.238846048712723,-25.858269073069085,43.09711512178181
15,DL,ResNet152,117.39355043411256,2.1533175897598267,119.54686802387238,63.610416531562805,64.84375,59.583333134651184,66.54948145151138,49.134110659360886,76.99870392680168,63.09571504592896,64.69517648220062,58.22005420923233,66.3934662938118,45.95993608236313,78.653584420681,63.1568751335144,64.81770873069763,58.39583426713944,66.45833253860474,46.30208685994148,78.55207994580269,63.36875021457672,64.63541686534882,59.518229961395264,66.38020724058151,49.22526404261589,76.67317315936089,63.34257197380065,64.70354795455933,59.16415303945541,66.39500111341476,48.31788092851639,77.24127322435379,67.94526982307434,70.45698761940002,60.32729744911194,72.92785048484802,41.42646789550781,91.82868003845216,63.40487420558929,64.69210684299469,59.03204083442688,66.4281114935875,47.93793484568596,77.52221748232841,26.775635316967968,29.501447081565857,17.907149344682693,32.81237855553627,-4.450694471597672,55.17022237181664,57.16666626930237,56.56249821186066,50.0,61.77083104848862,32.343753427267075,79.42707762122154,55.38531649112701,55.72417378425598,50.0,61.85954064130783,32.210689038038254,79.64885160326958,54.83750000596046,53.333333134651184,50.0,64.63541686534882,28.046874701976776,86.58854216337204,56.6833331361413,56.979167461395264,50.0,67.18749850988388,24.21875223517418,92.9687462747097,51.50155276060104,56.50242567062378,50.0,61.83305382728577,32.25041925907135,79.58263456821442,60.3854639530182,61.54698133468628,50.0,65.84906429052353,26.226403564214703,89.62266072630882,52.282379329204566,54.1141003370285,50.0,60.06081700325012,34.90877449512482,75.1520425081253,12.024114973843096,11.320789530873297,0.0,20.24070881307125,-30.36106321960688,50.60177203267813
20,DL,ResNet152,122.32827488422394,2.1910974836349486,124.51937236785888,64.3604166507721,64.73958194255829,61.445312201976776,66.90104007720947,53.26172038912773,75.08463189005852,64.08340775966644,64.45322334766388,61.533455550670624,67.03337728977203,53.28357294201851,75.28325989842415,64.00229167938232,64.453125,61.10676974058151,66.82291626930237,52.53254994750023,75.39713606238365,64.2416660785675,64.55729007720947,61.71875,67.21353977918625,53.47656533122063,75.45572444796562,64.14388501644135,64.42984938621521,61.30961328744888,66.87812507152557,52.95684561133385,75.23089274764061,69.2667236328125,69.87288892269135,65.78609347343445,73.41532111167908,54.34225201606751,84.85916256904602,64.18043076992035,64.48966562747955,61.39503866434097,66.81418716907501,53.26631590723992,74.94290992617607,28.39289815723896,28.92490476369857,22.95577302575112,33.89767929911613,6.542913615703591,50.31053870916365,57.454166650772095,57.91666507720947,50.572916865348816,62.031249701976776,33.38541761040688,79.21874895691872,55.98354995250702,57.71971344947815,50.0,63.698017597198486,29.45297360420227,84.24504399299622,53.6833334453404,53.854167461395264,47.44791686534881,66.56250208616257,18.77603903412817,95.2343799173832,58.23333317041397,57.70833194255829,50.0,73.6458346247673,14.531248062849045,109.11458656191826,50.22842919826508,54.281750321388245,50.0,64.50275331735611,28.24587002396584,86.25688329339027,61.15660560131073,62.26041615009308,57.56895393133164,66.872937977314,43.61297786235809,80.82891404628754,52.143346190452576,54.78203892707825,50.0,60.03018319606781,34.954725205898285,75.07545799016953,12.323374858126044,10.50480790436267,0.0,21.135478466749188,-31.70321770012378,52.83869616687296
25,DL,ResNet152,123.06213311195374,2.273307547569275,125.33544065952302,64.25208258628845,63.77604007720947,58.29426944255829,69.49218660593033,41.49739369750023,86.28906235098839,63.620906591415405,63.75811696052551,56.23645633459091,69.40151900053024,36.48886233568192,89.14911299943924,63.60312521457672,63.77604305744171,56.60416930913925,69.32291835546494,37.526045739650726,88.40104192495346,63.94791650772095,64.08854126930237,57.18749910593033,69.15364563465118,39.238279312849045,87.10286542773247,63.846424460411065,63.70757520198822,57.32228457927704,69.36571300029755,39.25714194774628,87.43085563182831,68.40302109718323,68.93196105957031,57.98028856515885,75.66825598478317,31.44833743572235,102.20020711421968,63.93088912963867,63.64426612854004,57.50049352645874,69.43580508232117,39.5975261926651,87.33877241611481,27.8449250087142,27.31901556253433,14.78232033550739,38.85846436023712,-21.3318957015872,74.9726803973317,56.924999833107,55.937498807907104,50.0,62.76041567325592,30.85937649011612,81.9010391831398,55.96298635005951,55.13495206832886,50.0,62.63428181409836,31.048577278852463,81.5857045352459,57.04583346843719,53.02083194255829,50.0,63.54166567325592,29.68750149011612,83.8541641831398,55.77916648425162,53.437501192092896,50.0,63.90624940395355,29.14062589406967,84.76562350988388,55.51563620567321,55.70598840713501,50.0,63.10097128152847,30.34854307770729,82.75242820382118,59.89414924383163,60.14626920223236,50.0,67.52978265285492,23.70532602071762,93.8244566321373,53.93681883811951,53.8451224565506,50.0,61.70553416013718,32.441698759794235,79.26383540034294,13.01855161227286,8.79819132387638,0.0,25.4192128777504,-38.1288193166256,63.54803219437599
30,DL,ResNet152,118.0612106180191,2.3521381998062134,120.41334881782532,64.42916667461395,64.55729007720947,60.10416448116303,67.3958346247673,49.16665926575661,78.33333984017372,64.06622958183289,64.37358856201172,60.21069288253784,67.38711893558502,49.44605380296707,78.15175801515579,64.05416643619537,64.32291865348816,60.3489562869072,67.34374761581421,49.85676929354668,77.83593460917473,64.3010413646698,64.40103948116302,59.427084028720856,67.57812350988388,47.20052480697632,79.80468273162842,64.20024061203003,64.31770920753479,59.22897756099701,67.29632169008255,47.1279613673687,79.39733788371086,68.98063910007477,70.27475833892822,63.870497047901154,74.3190124630928,48.19772392511368,89.99178558588028,64.29282450675964,64.41014409065247,59.28357243537903,67.28378683328629,47.28325083851814,79.28410843014717,28.54692949354649,28.743666410446167,18.48150491714477,34.66992229223251,-5.80112114548684,58.95254835486412,57.25000011920929,56.77083432674408,50.052084028720856,63.43750208616257,29.97395694255829,83.51562917232513,54.72100806236268,56.671515107154846,50.0,63.34050744771957,29.98923882842064,83.35126861929893,56.8916669357568,56.35416805744171,50.0,67.3958346247673,23.906248062849045,93.48958656191826,56.279166638851166,58.43749940395355,50.0,67.08333194255829,24.375002086162567,92.70832985639572,53.22069599106908,58.170533180236816,50.0,64.34274911880493,28.485876321792603,85.85687279701233,60.82338571548463,61.61306202411652,50.92702955007553,67.58301258087158,25.94305500388145,92.56698712706566,52.82602119445801,56.84447884559631,50.0,61.70414388179779,32.443784177303314,79.26035970449448,13.312035504728554,12.41790801286697,0.0,23.50743003189563,-35.26114504784344,58.76857507973907
35,DL,ResNet152,133.9126329755783,2.3503730869293213,136.26300606250763,65.45208287239075,64.66145813465118,62.2916653752327,70.53385376930237,49.92838278412819,82.89713636040688,65.32406830787659,64.86899852752686,62.178535759449005,70.38923650979996,49.86248463392258,82.70528763532639,65.31604135036469,65.10416567325592,62.20051944255829,70.16927003860474,50.24739354848862,82.12239593267441,65.38645815849304,64.71354365348816,62.057292461395264,70.48177123069763,49.42057430744171,83.11848938465118,65.33079385757446,64.99487459659576,62.175893783569336,70.25789022445679,50.05289912223816,82.38088488578796,70.41974210739136,70.72597444057465,66.72193259000778,77.24609971046448,50.93568190932274,93.03235039114952,65.40192937850952,65.03289937973022,62.21845299005509,70.31116187572479,50.07938966155052,82.45022520422935,30.77050645276904,29.89520877599716,24.39441047608852,40.66950678825378,-0.0182339921593804,65.08215125650169,58.72083353996277,60.208335518836975,50.62499940395355,64.73958343267441,29.45312336087227,85.91145947575569,58.92263782024384,57.58045911788941,51.12068951129913,64.79434967041016,30.6101992726326,85.30483990907669,59.11250019073486,60.62500178813934,50.0,63.90625089406967,29.140623658895493,84.76562723517418,56.55416646599769,54.16666567325592,50.0,65.41666388511658,26.87500417232513,88.54165971279144,57.19979983568192,59.7997784614563,50.0,64.93828147649765,27.592577785253525,87.34570369124413,62.48240411281586,63.09852302074432,57.28917419910431,69.52387243509293,38.93712684512138,87.87591978907585,57.41445219516754,58.912089467048645,50.97953826189041,64.10980075597763,31.284144520759583,83.80519449710846,16.115677948109802,15.992210060358044,2.10887012071907,25.59481859207153,-33.12005258630962,60.82374129910022
40,DL,ResNet152,121.39442162990572,2.446015248298645,123.84043687820436,65.08229148387909,63.30729126930237,61.17187738418579,69.23176944255829,49.082039296627045,81.32160753011703,64.55161511898041,63.03932070732117,60.576677322387695,69.05278414487839,47.86251708865166,81.76694437861443,64.62791657447815,63.43750059604645,60.794270038604736,69.3359375,47.98176884651184,82.1484386920929,64.69062519073486,62.838542461395264,60.91145873069763,68.93229335546494,48.88020679354668,80.96354529261589,64.70266950130463,63.20032179355621,60.95753014087677,69.19499635696411,48.60133081674576,81.55119568109512,69.40426886081696,67.79849529266357,64.70608711242676,74.79871362447739,49.567147344350815,89.93765339255333,64.76783740520477,63.29134702682495,60.95539778470993,69.21450942754745,48.56673032045365,81.60317689180374,29.478968679904938,26.22629404067993,21.658855304121968,38.29113095998763,-3.28955817967653,63.23954444378613,58.09999990463257,58.22916626930237,50.10416656732559,63.749998807907104,29.635418206453323,84.21874716877937,57.591668546199806,57.95367956161499,50.02588033676148,63.81773501634598,29.33809831738472,84.50551703572273,58.32500021159649,57.8125,50.0,66.04166626930237,25.937500596046448,90.10416567325592,56.16666665673256,56.87499940395355,50.0,65.36458134651184,26.95312798023224,88.4114533662796,55.76852104067802,59.23501253128052,50.0,64.91417735815048,27.62873396277428,87.2854433953762,61.47385412454605,63.28851878643036,51.57351344823837,68.0195301771164,26.90448835492134,92.68855527043344,54.980843484401696,56.68424367904663,50.0,63.59338164329529,29.609927535057068,83.98345410823822,14.57793921465054,14.064925909042351,0.0512941682245575,26.808261126279824,-40.08415626885834,66.94371156336271
45,DL,ResNet152,122.36255351066588,2.3637009763717653,124.72625448703764,66.01145780086517,65.20833373069763,61.09374761581421,71.01562470197678,46.21093198657036,85.89844033122063,65.36645603179932,64.88180756568909,59.28092002868652,70.95164507627487,41.774832457304,88.4577326476574,65.38229167461395,64.73958492279053,60.17708331346512,70.98958343267441,43.958333134651184,87.20833361148834,65.69166684150696,64.86979126930237,60.18229275941849,71.09375,43.81510689854622,87.46093586087227,65.62207365036011,64.94915187358856,60.30498743057251,70.92183381319046,44.379717856645584,86.84710338711739,70.39177751541138,70.16209065914154,62.17246800661087,77.98460125923157,38.45426812767983,101.7028011381626,65.66543912887573,64.91436660289764,60.408613085746765,71.01146876811981,44.5043295621872,86.91575229167938,31.350091099739075,29.83830720186233,20.876959711313248,41.877631098032,-10.624047368764876,73.37863817811012,59.93333327770232,63.229167461395264,50.0,65.26041477918625,27.109377831220627,88.15103694796562,56.64691603183747,61.21966540813446,50.0,64.82691168785095,27.75963246822357,87.06727921962738,59.12500013411045,62.18750178813934,50.0,71.97916805744171,17.031247913837433,104.94792014360428,58.654166758060455,57.8125,50.0,68.12499761581421,22.812503576278687,95.31249403953552,55.618082329630845,62.373411655426025,50.0,66.88816249370575,24.667756259441376,92.22040623426436,63.01010805368424,66.39431715011597,50.0,69.99891102313995,20.00163346529007,99.99727755784988,55.62626349925996,60.73346436023712,50.0,66.83236211538315,24.75145682692528,92.08090528845788,18.273885123431683,22.75832295417785,0.0,28.677622973918915,-43.01643446087837,71.69405743479729
50,DL,ResNet152,134.38859023094176,2.4595113945007325,136.8481016254425,68.42083358764648,68.75,63.2161483168602,73.32031279802322,48.05990159511566,88.47655951976776,67.8867574930191,68.47842335700989,62.57432103157044,73.2639491558075,46.53987884521485,89.29839134216309,67.8841667175293,68.56770813465118,62.812501192092896,73.50260615348816,46.77734375,89.53776359558105,68.17916631698608,68.4374988079071,62.447917461395264,73.17708134651184,46.3541716337204,89.2708271741867,68.138432264328,68.51337552070618,62.71264404058456,73.38665574789047,46.7016264796257,89.39767330884933,73.60761749744415,74.57075417041779,68.03455352783203,80.66880255937576,49.083179980516434,99.62017610669136,68.187948346138,68.5465931892395,62.66087144613266,73.4176367521286,46.52572348713875,89.55278471112251,36.36195734143257,37.030673027038574,25.29193982481956,46.70110866427421,-6.821813434362417,78.81486192345619,61.08333361148834,62.291666865348816,57.70833492279053,65.88541567325592,45.44271379709244,78.15103679895401,58.59180533885956,60.32283902168274,55.364009737968445,66.50897115468979,38.64656761288643,83.2264132797718,61.93333345651627,65.00000059604645,50.52083283662796,70.7812488079071,20.130208879709244,101.17187276482582,59.083333330228925,59.375,50.62499940395355,69.21875178813934,22.734370827674866,97.10938036441804,59.10504484176635,63.68938684463501,56.31992220878601,67.07477867603302,40.1876375079155,83.20706337690353,65.5255378484726,67.2138661146164,61.76947206258774,71.55550420284271,47.09042385220528,86.23455241322517,59.09605291485786,61.37733459472656,54.389265179634094,66.64773225784302,36.00156456232071,85.0354328751564,21.16648269817233,22.25526273250579,11.8287855759263,31.26613423228263,-17.327237408608205,60.42215721681714
