subset,strategy,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,DL,ResNet152V2,7755.873321533203,102.6529779434204,7858.526299476623,71.35208368301392,70.36458253860474,66.99218600988388,74.77864772081375,55.31249344348908,86.45834028720856,71.27191293239594,69.95632350444794,66.77494049072266,74.55280721187592,55.10814040899277,86.2196072936058,71.16770803928375,70.02604007720947,66.94010347127914,74.49218779802322,55.61197698116303,85.82031428813934,71.3156247138977,69.97395753860474,67.09635555744171,74.62239563465118,55.8072954416275,85.9114557504654,71.20871472358704,70.22409439086914,66.91125482320786,74.57122355699539,55.42130172252655,86.0611766576767,78.18117010593414,77.51629054546356,72.80144840478897,82.58778005838394,58.12195092439652,97.2672775387764,71.23644030094147,70.18819153308868,66.99042469263077,74.56051707267761,55.6352861225605,85.91565564274788,42.51043462753296,40.48940986394882,33.61990675330162,49.06717240810394,10.449008271098135,72.23807089030743,65.62916696071625,65.83333611488342,64.16666507720947,67.29166507720947,59.47916507720947,71.97916507720947,65.56130659580231,65.58205485343933,63.74617964029312,67.47357696294785,58.15508365631104,73.06467294692993,65.25833368301392,65.625,63.38541656732559,67.44791716337204,57.29166567325592,73.54166805744171,65.69166672229767,65.72916805744171,63.38541656732559,67.96874850988388,56.51041865348816,74.84374642372131,65.36744821071625,65.60021042823792,63.52008134126663,67.30393320322037,57.84430354833603,72.97971099615097,69.73368084430695,69.58224177360535,67.32562482357025,72.38790541887283,59.73220393061638,79.9813263118267,65.45168924331665,65.68451225757599,63.71675282716751,67.41035431623459,58.176350593566895,72.9507565498352,30.975529074668884,31.118178367614743,27.586964517831795,35.109063237905495,16.303816437721245,46.392211318016045
10,DL,ResNet152V2,8013.430046796799,104.64581823349,8118.075865030289,77.01562452316284,73.046875,69.921875,84.32291746139526,48.320311307907104,105.92448115348816,76.92927503585815,73.11915457248688,69.62182521820068,84.23240929841995,47.70594909787178,106.14828541874886,76.89270830154419,72.83854186534882,69.57031190395355,84.29687321186066,47.480469942092896,106.38671517372131,76.95104157924652,73.38541746139526,69.57031339406967,84.21875238418579,47.59765490889549,106.19141086935996,76.8957051038742,72.92876839637756,69.60895955562592,84.25841927528381,47.63476997613907,106.23260885477066,83.58214008808136,81.07073605060577,76.08795464038849,92.25280731916428,51.84067562222479,116.500086337328,76.95105588436127,72.8994071483612,69.66721415519714,84.30270701646805,47.71397486329079,106.2559463083744,53.8706265091896,45.98560184240341,39.46690633893012,68.52500885725021,-4.120247438550012,112.11216263473034,67.08333277702332,67.1875,65.05208164453506,69.32291835546494,58.64582657814026,75.72917342185974,67.06955277919769,67.30384230613708,64.8194670677185,69.47471350431442,57.83659741282463,76.4575831592083,67.03749990463257,67.1875,64.79166746139526,69.32291835546494,57.99479112029076,76.11979469656944,67.07916629314423,67.1875,65.05208164453506,69.79166567325592,57.94270560145378,76.9010417163372,67.03946506977081,67.25363433361053,64.98550176620483,69.5085808634758,58.20088312029839,76.29319950938225,72.11927533149719,72.69270718097687,69.48475539684296,75.56592226028442,60.36300510168076,84.68767255544662,67.07088851928711,67.17113852500916,65.01625627279282,69.52361315488815,58.25522094964981,76.28464847803116,34.12531605362892,34.27179902791976,29.59173619747161,38.54416459798812,16.163093596696847,51.972807198762894
15,DL,ResNet152V2,9136.608010292051,103.09415411949158,9239.702164411545,85.17708361148834,87.36979365348816,77.0312488079071,92.60416775941847,53.67187038064003,115.96354618668556,85.10902976989746,87.22224831581116,77.04283446073532,92.5900101661682,53.72207090258598,115.91077372431756,85.02083325386047,87.39583194255829,77.23958492279053,92.74739474058153,53.97787019610403,116.00910946726802,85.14270842075348,87.13541626930237,77.0312488079071,92.57812649011612,53.71093228459356,115.89844301342968,85.05868899822235,87.44544088840485,76.92714482545853,92.66938418149948,53.313785791397095,116.28274321556091,91.03852021694183,94.37103867530824,85.70737540721893,97.6770520210266,67.75286048650742,115.63156694173811,85.07802844047546,87.45323419570923,77.03150361776352,92.7423357963562,53.4652553498745,116.30858406424522,70.18639850616455,74.88960921764374,54.01315093040466,85.33432185649872,7.03139454126358,132.3160782456398,70.31666672229767,70.41666507720947,68.02083402872086,72.34375178813934,61.53645738959312,78.82812842726707,70.18850469589233,70.1959490776062,68.09907406568527,72.48564958572388,61.519210785627365,79.06551286578178,70.45416700839996,70.3125,68.33333373069763,72.44791835546494,62.16145679354668,78.61979529261589,70.02083325386047,70.10416686534882,68.12499761581421,72.65625,61.32811903953552,79.45312857627869,70.29710042476654,70.23994624614716,68.57284903526306,72.28059768676758,63.01122605800629,77.84222066402435,75.89689517021179,76.53124630451202,72.6703017950058,78.85807156562805,63.38864713907242,88.13972622156143,70.34758806228638,70.25018632411957,68.54307353496552,72.39583283662796,62.76393458247185,78.17497178912163,40.504074573516846,40.525974333286285,36.94584369659423,44.58536729216576,25.48655830323695,56.04465268552305
20,DL,ResNet152V2,9986.391313791277,101.87523198127748,10088.266545772552,90.84687507152556,94.53125,86.99218928813934,98.46354126930235,69.7851613163948,115.6705692410469,90.81059563159944,94.62807476520538,87.03108876943588,98.45132678747176,69.90073174238208,115.58168381452558,90.84791719913484,94.50520873069765,86.9401067495346,98.3593761920929,69.81120258569717,115.48828035593031,90.7947918176651,94.63541805744173,87.08333522081375,98.45052063465118,70.0325571000576,115.50129875540732,90.82742762565611,94.56948339939116,86.9727686047554,98.39574843645094,69.8382988572121,115.53021818399426,95.0501058101654,98.70740473270416,94.23290938138962,99.7212752699852,86.00036054849625,107.95382410287856,90.84284126758575,94.51242983341216,86.99023127555847,98.362135887146,69.93237435817719,115.41999280452728,81.6546944975853,89.146688580513,73.99870455265045,96.7999517917633,39.79683369398117,131.0018226504326,72.38333332538605,72.49999940395355,69.9999988079071,75.41666626930237,61.87499761581421,83.54166746139526,72.35888826847076,72.33728766441345,70.03111988306046,75.41666626930237,61.95280030369759,83.49498584866524,72.30833339691162,72.81250059604645,69.9999988079071,75.41666626930237,61.87499761581421,83.54166746139526,72.39583349227905,72.39583432674408,69.53125149011612,75.41666626930237,60.703129321336746,84.24478843808174,72.31627380847931,72.52633273601532,69.98371332883835,75.41666030883789,61.83429285883904,83.5660807788372,78.63597679138184,79.43055331707001,76.382215321064,81.95388466119766,68.0247113108635,90.31138867139816,72.3799170255661,72.4384754896164,70.08308470249176,75.41666626930237,62.08271235227585,83.41703861951828,44.71159607172012,44.7920635342598,40.05292356014252,50.833332538604736,23.88231009244919,67.00394600629807
25,DL,ResNet152V2,10347.890275001526,102.57720804214478,10450.46748304367,94.07916700839996,97.36979305744173,92.34375208616258,99.40104335546494,81.75781518220904,109.98698025941846,94.08358371257782,97.41847813129424,92.17173159122466,99.34924095869064,81.40546754002568,110.11550500988965,94.09479188919067,97.3437488079071,92.43489652872086,99.3749976158142,82.02474489808085,109.7851492464542,94.0729169845581,97.42187559604643,92.14843809604646,99.34895634651184,81.3476607203484,110.14973372220987,94.0865445137024,97.36851453781128,92.30067431926727,99.36937987804411,81.69761598110199,109.9724382162094,97.10542905330658,99.58114624023438,97.40703403949738,99.9602735042572,93.57717484235764,103.79013270139694,94.09552025794984,97.34838604927064,92.4295961856842,99.37775731086732,82.00735449790952,109.799998998642,88.17651063203812,94.7417974472046,84.59742218255997,98.73871356248854,63.38548511266711,119.9506506323814,74.7458336353302,75.20833611488342,72.55208492279053,76.66666507720947,66.38021469116211,82.83853530883789,74.5965166091919,75.05197525024414,72.33469188213348,76.5072762966156,66.07581526041031,82.76615291833878,74.80000007152557,75.10416805744171,72.76041656732559,76.66666507720947,66.90104380249977,82.5260378420353,74.51250052452087,75.0,72.29166626930237,76.45833492279053,66.04166328907013,82.70833790302277,74.69554793834686,75.13301074504852,72.3819375038147,76.70119255781174,65.90305492281914,83.1800751388073,81.13933157920837,81.95095360279083,78.5776823759079,82.89029598236084,72.10876196622849,89.35921639204025,74.72172796726227,75.15121102333069,72.48847335577011,76.7039343714714,66.16528183221817,83.02712589502335,49.317941308021545,50.20975768566132,44.74505335092544,53.2899871468544,31.927652657032,66.10738784074785
30,DL,ResNet152V2,10327.55985379219,103.16391968727112,10430.723773479462,95.57083308696748,98.67187440395357,93.61979365348816,99.67447817325592,84.53776687383655,108.75650495290752,95.598264336586,98.6462265253067,93.57738345861436,99.63584095239638,84.48969721794131,108.72352719306944,95.56041646003725,98.64583313465118,93.52864474058153,99.67447817325592,84.3098945915699,108.89322832226752,95.60416662693024,98.64583313465118,93.58072727918623,99.63541626930235,84.4986937940121,108.71744975447652,95.578186750412,98.65738451480864,93.56078952550888,99.6742591261864,84.39058512449262,108.84446352720263,98.20961117744446,99.86791610717772,98.36292266845705,99.99382048845293,95.91657593846318,102.44016721844676,95.57466530799866,98.65051507949828,93.535678088665,99.676451086998,84.32451859116554,108.88761058449744,91.17198753356934,97.31886684894562,87.1309757232666,99.35052245855331,68.80165562033653,117.67984256148338,76.28333330154419,76.2499988079071,74.84374791383743,77.70833373069763,70.54686918854713,82.00521245598793,76.24803614616394,76.27468705177307,74.80476647615433,77.70833373069763,70.44941559433937,82.06368461251259,76.2833331823349,76.35416686534882,74.27083402872086,77.70833373069763,69.11458447575569,82.8645832836628,76.23749959468842,76.2499988079071,74.79166388511658,77.70833373069763,70.416659116745,82.08333849906921,76.26854157447815,76.30768716335297,74.58497285842896,77.70832777023315,69.89994049072266,82.39336013793945,82.68463551998138,83.62597525119781,79.89279627799988,85.1005345582962,72.08118885755539,92.91214197874068,76.26845109462738,76.32392644882202,74.43438470363617,77.70833373069763,69.52346116304398,82.61925727128983,52.523860037326806,52.60482728481293,49.44643452763557,55.416667461395264,40.49108512699604,64.3720168620348
35,DL,ResNet152V2,10250.764684677124,101.83071160316469,10352.595396280289,96.45520853996275,98.828125,95.61198055744173,99.67447817325592,89.5182341337204,105.76822459697723,96.43285071849824,98.7763911485672,95.65270841121674,99.66151118278503,89.63950425386429,105.67471534013748,96.45208382606506,98.90625178813934,95.69010436534882,99.67447817325592,89.71354365348816,105.65103888511658,96.4354168176651,98.77603948116302,95.65104246139526,99.66145753860474,89.63541984558105,105.67708015441896,96.44072270393372,98.80644381046297,95.67079842090608,99.66806769371031,89.67489451169968,105.66397160291672,98.56466484069824,99.89865720272064,99.1350755095482,99.99064952135086,97.85171449184418,101.27401053905488,96.46324694156648,98.90351593494414,95.69468200206757,99.67447817325592,89.72498774528503,105.64417243003844,92.89478927850725,97.61022627353668,91.3467213511467,99.3361324071884,79.36260476708415,111.32024899125096,76.9583330154419,77.08333134651184,75.52083283662796,79.21874970197678,69.97395753860474,84.765625,76.92328417301178,77.05941200256348,75.7700577378273,79.00427132844925,70.91873735189438,83.85559171438217,76.93750035762787,76.97916626930237,75.52083283662796,79.37500178813934,69.73957940936089,85.15625521540642,76.91666626930237,77.08333134651184,75.67708492279053,78.90625,70.83333730697632,83.74999761581421,76.92802143096924,76.99259519577026,75.66302120685577,79.20949757099152,70.34330666065216,84.52921211719513,83.6815721988678,83.88292193412781,81.90662264823914,85.99527180194855,75.77364891767502,92.12824553251266,76.93726062774658,76.96416974067688,75.6029024720192,79.23701852560043,70.15172839164734,84.68819260597229,53.85772955417632,54.063162207603455,51.40932947397232,58.28550159931183,41.09507128596306,68.59975978732109
40,DL,ResNet152V2,10651.056568145752,102.0429708957672,10753.09953904152,97.85312509536745,99.5312511920929,97.65624850988388,99.88281428813934,94.31639984250069,103.22266295552254,97.83093059062958,99.47926104068756,97.68127501010896,99.882772564888,94.3790286779404,103.18501889705657,97.8635413646698,99.5312511920929,97.6432278752327,99.88281428813934,94.28384825587273,103.24219390749931,97.82499992847444,99.47916865348816,97.68228977918623,99.88281428813934,94.3815030157566,103.18360105156898,97.84714996814728,99.49278831481934,97.6611629128456,99.87019300460814,94.34761777520184,103.18373814225194,99.28743004798888,99.96795952320096,99.75290298461914,99.99788105487822,99.38543587923051,100.36534816026683,97.8613965511322,99.53041076660156,97.65025377273558,99.88239407539366,94.30204331874846,103.2306045293808,95.69261121749878,98.98634552955626,95.32950818538666,99.73997473716736,88.7138083577156,106.3556745648384,78.55833303928375,78.85416746139526,76.92708373069763,80.31250089406967,71.84895798563957,85.39062663912773,78.4936318397522,78.77209186553955,76.88702046871185,80.3228959441185,71.73320725560188,85.47670915722847,78.52500009536743,78.85416746139526,76.71874910593033,80.36458343267441,71.24999761581421,85.83333492279053,78.48750019073486,78.75000238418579,76.8750011920929,80.31250089406967,71.71875163912773,85.46875044703484,78.51169168949127,78.85228097438812,76.85202658176422,80.356565117836,71.59521877765656,85.61337292194366,85.22249472141266,85.20149290561676,82.82096236944199,87.49408572912216,75.81127732992172,94.50377076864244,78.5156831741333,78.8596659898758,76.76839232444763,80.32762259244919,71.4295469224453,85.66646799445152,57.01547056436539,57.7105700969696,53.75193655490875,60.676753520965576,43.36471110582352,71.06397897005081
45,DL,ResNet152V2,9766.408697605131,104.63300061225893,9871.041698217392,97.34166646003725,99.24479126930235,96.23697847127916,99.73958134651184,90.98307415843011,104.99348565936086,97.32812762260436,99.24400448799132,96.23210281133652,99.7395485639572,90.9709341824055,105.00071719288825,97.35104179382324,99.19270873069765,96.10677063465118,99.73958134651184,90.6575545668602,105.18879741430284,97.32604157924652,99.24479126930235,96.23697847127916,99.73958134651184,90.98307415843011,104.99348565936086,97.33984124660492,99.1897851228714,96.1699202656746,99.73958134651184,90.81542864441874,105.09407296776769,99.21607279777528,99.9549835920334,99.28330928087234,99.9930903315544,98.21863770484924,101.05776190757751,97.35296070575714,99.19497072696686,96.11635506153108,99.73958134651184,90.6815156340599,105.174420773983,94.68218803405762,98.3875811100006,92.34976917505264,99.47916865348816,81.65566995739937,110.17326787114143,79.0291668176651,78.75000238418579,77.1354153752327,81.14583343267441,71.11978828907013,87.16146051883698,78.99383807182312,78.48232984542847,77.08768397569656,81.14583343267441,71.0004597902298,87.23305761814117,78.94583320617676,78.64583432674408,77.1354153752327,81.14583343267441,71.11978828907013,87.16146051883698,79.00833356380463,78.4375011920929,77.1354153752327,81.14583343267441,71.11978828907013,87.16146051883698,78.9709460735321,78.57915759086609,77.19020545482635,81.14582747220993,71.25677242875099,87.0792604982853,85.72581160068512,85.33094227313995,83.76654833555222,88.28548043966293,76.98815017938614,95.063878595829,78.96021354198456,78.59543263912201,77.18368321657181,81.14583343267441,71.24045789241791,87.08905875682831,57.957961678504944,57.18938112258911,54.37769293785095,62.291666865348816,42.50673204660416,74.16262775659561
50,DL,ResNet152V2,9831.093368053436,101.46637535095216,9932.559743404388,97.14895868301392,98.6718773841858,96.71874791383745,99.63541626930235,92.34374538064006,104.01041880249974,97.13849997520448,98.72466027736664,96.68228775262833,99.62227195501326,92.27231144905092,104.03224825859068,97.15000021457672,98.7500011920929,96.73177301883698,99.5312511920929,92.5325557589531,103.73046845197678,97.13541662693024,98.72395992279051,96.67968600988388,99.62239563465118,92.26562157273293,104.03646007180214,97.14379072189332,98.73752295970915,96.71843200922012,99.58209246397016,92.42294132709506,103.87758314609523,99.04478073120116,99.87501800060272,99.31012094020844,99.98923987150192,98.29144254326825,101.00791826844213,97.15226447582243,98.74816834926604,96.73417657613756,99.53716844320296,92.52968877553944,103.74165624380107,94.29049599170683,97.47816920280457,93.44192743301392,99.16821569204328,84.85249504446986,107.75764808058736,79.14166700839996,79.37500178813934,77.29166746139526,81.7708358168602,70.57291492819786,88.4895883500576,79.11763072013855,79.4363260269165,77.21149176359177,81.51603490114212,70.75467705726624,87.97284960746765,79.14166712760925,79.3749988079071,77.29166746139526,81.7708358168602,70.57291492819786,88.4895883500576,79.11666655540466,79.3749988079071,77.18749791383743,81.45833611488342,70.78124061226845,87.86459341645241,79.13058769702911,79.3518453836441,77.2498294711113,81.63118958473206,70.67778930068016,88.20322975516319,85.39683592319489,86.5753024816513,83.23106169700623,88.65446448326111,75.0959575176239,96.78956866264345,79.13991570472717,79.3181836605072,77.27247327566147,81.74135535955429,70.56915014982224,88.44467848539352,58.26140600442886,58.75183045864105,54.48109805583954,63.233742117881775,41.35213196277618,76.36270821094513
