subset,strategy,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,DL,Xception,63.38005104064941,0.673710618019104,64.05376165866852,87.41145861148834,87.44791746139526,79.51822727918625,98.42447936534882,51.1588491499424,126.78385749459268,87.40204298496246,87.27883398532867,79.47818785905838,98.42468947172163,51.05843544006348,126.84444189071657,87.40604197978973,87.36979067325592,79.30989563465118,98.4375,50.61848908662796,127.12890654802322,87.38541686534882,87.26562261581421,79.51822727918625,98.42447936534882,51.1588491499424,126.78385749459268,87.3826551437378,87.33663558959961,79.30804044008255,98.43202829360962,50.622058659791946,127.11801007390022,92.40645277500153,94.56003308296204,87.83007860183716,99.8568758368492,69.78988274931908,117.8970716893673,87.39950942993164,87.3389184474945,79.31604832410812,98.44279885292052,50.62592253088951,127.13292464613914,74.78819879889488,74.64437186717987,58.73492807149887,96.86471819877626,1.5402428805827872,154.05940338969236,67.12083327770233,66.97916686534882,64.79166746139526,69.2708358168602,58.07291492819786,75.9895883500576,66.90158140659332,66.59748554229736,64.56858664751053,68.88109147548676,58.09982940554619,75.3498487174511,66.88333350419998,67.29166507720947,64.89583402872086,68.90625208616257,58.88020694255829,74.92187917232513,66.86249995231628,66.97916686534882,64.3750011920929,69.53125,56.64062798023224,77.26562321186066,66.81212079524994,67.17553734779358,65.24723917245865,68.7162458896637,60.04372909665108,73.91975596547127,72.38895380496979,72.24696278572083,70.43901979923248,74.87950325012207,63.7782946228981,81.54022842645645,66.9428778886795,66.9847697019577,65.31497985124588,68.64699274301529,60.316960513591766,73.6450120806694,33.79601189494133,33.339549601078026,29.767505824565887,38.1774641573429,17.15256832540036,50.79240165650843
10,DL,Xception,71.37822361469269,0.7084787845611572,72.08670239925384,94.43437564373016,96.64062559604643,90.93749821186064,99.5312511920929,78.04686874151227,112.42188066244128,94.3827885389328,96.59688472747804,90.9186542034149,99.531190097332,77.99985036253926,112.44999393820764,94.43020868301392,96.77083194255827,90.98958522081377,99.51823055744173,78.19661721587181,112.31119856238364,94.37916731834412,96.58854305744173,90.91145694255827,99.5312511920929,77.98176556825635,112.46094256639483,94.40658581256866,96.72291278839111,90.95384925603868,99.52462762594224,78.09768170118332,112.38079518079758,97.67287743091585,99.43959712982178,97.10226356983183,99.98947978019714,92.77143925428388,104.32030409574512,94.43169796466827,96.77075445652008,90.9866526722908,99.51980412006378,78.1869255006313,112.31953129172328,88.81594836711884,93.44927668571472,81.90540075302124,99.05085861682892,56.18721395730972,124.76904541254044,69.98333311080933,69.89583373069763,68.12499761581421,71.82291597127914,62.578120082616806,77.36979350447655,70.10731256008148,70.03118395805359,68.0916577577591,72.50859886407852,61.46624609827995,79.13401052355766,69.30416655540466,69.89583373069763,67.91666746139526,71.66666388511658,62.29167282581329,77.29165852069855,70.37083303928375,69.9999988079071,68.2291641831398,72.50000238418579,61.822906881570816,78.90625968575478,69.591099858284,69.66822445392609,68.03576797246933,71.83645814657211,62.33473271131516,77.53749340772629,75.27858543395996,75.63617527484894,73.69764745235443,77.35627889633179,68.2097002863884,82.84422606229782,69.72626686096191,69.65143382549286,67.80637055635452,71.79813235998154,61.818727850914,77.78577506542206,39.74936175346375,39.48449343442917,36.04656010866165,43.96724402904511,24.16553422808647,55.848269909620285
15,DL,Xception,73.33239377498627,0.6888761997222901,74.02126997470856,95.63020837306976,98.20312559604643,93.37239414453506,99.79166388511658,83.7434895336628,109.42056849598885,95.60322630405426,98.15137982368468,93.3777630329132,99.83066767454147,83.69840607047081,109.51002463698389,95.59375,98.17708432674408,93.45052242279051,99.79166388511658,83.93881022930145,109.30337607860564,95.60208344459534,98.15104305744173,93.37239414453506,99.8307302594185,83.6848899722099,109.51823443174364,95.5987389087677,98.16574156284332,93.41525733470915,99.81088638305664,83.82181376218796,109.40432995557784,98.21829903125764,99.84310269355774,98.21424782276152,99.99781847000123,95.53889185190197,102.6731744408608,95.59695422649384,98.17731082439424,93.44745129346848,99.79284852743147,83.92935544252396,109.310944378376,91.20222049951552,96.3320016860962,86.827951669693,99.62298572063446,67.63540059328079,118.81553679704666,70.56250023841858,70.52083313465118,68.75,72.50000238418579,63.12499642372131,78.12500596046448,70.52602970600128,70.60067355632782,68.75327527523041,72.22501337528229,63.54566812515259,77.43262052536011,70.49583351612091,70.72916626930237,68.75,72.50000238418579,63.12499642372131,78.12500596046448,70.54166674613953,70.93749940395355,68.75,72.29166626930237,63.43750059604645,77.60416567325592,70.50424981117249,70.60144245624542,68.58280897140503,72.39742875099182,62.86087930202484,78.11935842037201,76.2340099811554,76.84124708175659,73.67317825555801,78.75027507543564,66.05753302574158,86.36592030525208,70.5229332447052,70.78517377376556,68.61285716295242,72.38238751888275,62.95856162905693,78.03668305277824,41.04428029060364,41.05022698640824,37.34794780611991,44.73996460437775,26.259922608733167,55.8279898017645
20,DL,Xception,75.79721081256866,0.6923441505432129,76.48955496311187,95.89687538146973,98.67187440395357,95.84635198116302,99.89583492279051,89.7721275687218,105.97005933523177,95.81460165977478,98.54302108287813,95.64936608076096,99.89582151174544,89.27968293428421,106.2655046582222,95.8277086019516,98.64583313465118,95.82031220197678,99.88281428813934,89.72655907273293,105.9765674173832,95.83541679382324,98.54166805744173,95.63802182674408,99.89583492279051,89.25130218267444,106.28255456686016,95.85094165802002,98.59410524368286,95.74386179447173,99.88922029733656,89.52582404017447,106.10725805163383,97.8984923362732,99.91910755634308,99.18268024921416,99.99964833259584,97.9572281241417,101.2251004576683,95.86314499378204,98.648202419281,95.82179933786392,99.88320767879485,89.7296868264675,105.97532019019128,91.70638740062714,97.1905529499054,91.4894461631775,99.77884143590929,79.05535325407985,112.21293434500691,71.97083353996277,71.77083194255829,70.05208283662796,74.01041686534882,64.11458179354668,79.9479179084301,71.8003921508789,71.27856314182281,69.86507773399353,73.80937933921814,63.948625326156616,79.72583174705505,71.89166688919067,72.08333313465118,70.20833492279053,73.85416477918625,64.73959013819695,79.32290956377983,71.77083349227905,71.66666388511658,69.27083283662796,73.95833432674408,62.23958060145378,80.98958656191826,71.84433054924011,71.73728346824646,70.05402147769928,73.58852177858353,64.75227102637291,78.8902722299099,77.72871172428131,77.53798067569733,75.24859309196472,80.11957556009293,67.94211938977242,87.42604926228523,71.8610030412674,71.65422141551971,70.03828287124634,73.83154630661011,64.34838771820068,79.52144145965576,43.672002375125885,42.92615205049515,39.799412339925766,47.348155081272125,28.476298227906227,58.671269193291664
25,DL,Xception,77.1440796470642,0.784992470741272,77.92907211780548,97.18125009536745,99.08854365348816,95.33854126930235,99.73958134651184,88.73698115348816,106.34114146232604,97.17938888072968,99.08806681632996,95.35853266716003,99.73958134651184,88.78695964813232,106.31115436553956,97.1677086353302,99.03645813465118,95.2343761920929,99.73958134651184,88.47656846046448,106.49738907814026,97.18124997615814,99.08854365348816,95.36458253860474,99.73958134651184,88.80208432674408,106.3020795583725,97.1724305152893,99.06208515167236,95.29594779014587,99.73958134651184,88.63049745559692,106.4050316810608,99.19912147521973,99.91098940372468,98.87576848268507,99.99658167362212,97.19454869627953,101.6778014600277,97.17551708221436,99.0380346775055,95.24900764226912,99.73958134651184,88.51314708590508,106.4754419028759,94.3531950712204,98.12578856945038,90.6072437763214,99.47916865348816,77.29935646057129,112.78705596923828,73.0250004529953,72.81250059604645,71.875,75.20833611488342,66.87499582767487,80.20834028720856,72.95573341846466,72.67119586467743,71.57662659883499,75.39095133543015,65.85513949394226,81.11243844032288,73.05416703224182,73.02083373069763,71.71874791383743,75.15625208616257,66.56249165534973,80.31250834465027,72.91666638851166,72.49999940395355,71.875,75.36458373069763,66.64062440395355,80.59895932674408,73.00669610500336,72.99962639808655,71.64535522460938,75.13522356748581,66.41055271029472,80.37002608180046,79.23417067527771,79.1137158870697,77.63031721115112,81.60894513130188,71.66237533092499,87.57688701152802,73.01362097263336,72.96217978000641,71.66843712329865,75.0820741057396,66.54798164963722,80.20252957940102,45.97744512557984,45.94224393367767,43.39069575071334,50.37072002887726,32.92065933346747,60.84075644612314
30,DL,Xception,82.02196266174316,0.7192515087127686,82.74121417045593,97.3604165315628,99.73958134651184,96.70572876930238,99.94791746139526,91.84244573116304,104.81120049953458,97.34081244468688,99.73958134651184,96.76679968833923,99.94791001081468,91.99513420462608,104.71957549452782,97.39270842075348,99.73958134651184,96.65364623069765,99.94791746139526,91.71223938465118,104.88932430744173,97.33333313465118,99.73958134651184,96.77083194255827,99.94791746139526,92.00520366430284,104.71354573965073,97.36570250988008,99.73958134651184,96.70859277248384,99.94170665740968,91.85892194509506,104.79137748479845,98.89757442474364,99.99270737171172,99.4494557380676,99.99984353780746,98.62387403845784,100.82542523741724,97.3905153274536,99.73958134651184,96.66494876146318,99.94791746139526,91.74049571156505,104.87237051129338,94.730439722538,99.47916865348816,93.4288129210472,99.8830109834671,83.74751582741737,109.56430807709694,74.60416638851166,74.79166686534882,72.81249910593033,76.40625089406967,67.42187142372131,81.79687857627869,74.5102744102478,74.81786906719208,72.96763509511948,76.33897960186005,67.91061833500862,81.3959963619709,74.65416646003723,74.89583194255829,73.1249988079071,76.61458253860474,67.89062321186066,81.84895813465118,74.44583320617676,74.79166388511658,72.9687511920929,76.40625089406967,67.81250163912773,81.56250044703484,74.57204496860504,74.6023565530777,72.92758673429489,76.3860747218132,67.73985475301743,81.57380670309067,81.0438381433487,81.0131311416626,79.29351329803467,82.80501514673233,74.02626052498817,88.07226791977882,74.60983073711395,74.6497243642807,72.94736504554749,76.49954706430435,67.61909201741219,81.82782009243965,49.10904109477997,49.38794821500778,45.89603543281555,52.7651771903038,35.592322796583176,63.06888982653618
35,DL,Xception,76.13183487892151,0.7196077489852906,76.8514426279068,98.04687488079072,99.1406261920929,96.83593809604643,99.8437523841858,92.3242166638374,104.35547381639483,98.03920829296112,99.1662323474884,96.93323820829391,99.84378963708878,92.56741106510162,104.20961678028108,98.06666660308838,99.1406261920929,96.91406190395357,99.86979216337204,92.48046651482584,104.30338755249974,98.03750014305116,99.16666746139526,96.94010466337204,99.8437523841858,92.58463308215138,104.19922396540645,98.05248498916626,99.14218485355376,96.88742458820344,99.8441442847252,92.4523450434208,104.27922382950784,99.59823036193848,99.96136724948884,99.61517006158827,99.9988704919815,99.03961941599846,100.57442113757132,98.06909990310668,99.14298951625824,96.92117273807526,99.87058192491531,92.49705895781516,104.2946957051754,96.10763204097748,98.28422665596008,93.7821999192238,99.68907833099364,84.92188230156901,108.54939594864842,75.36666667461395,75.72916746139526,73.64583164453506,77.23958343267441,68.25520396232605,82.63021111488342,75.31686067581177,75.78288316726685,73.62097948789597,77.11629569530487,68.37800517678261,82.35927000641823,75.34583330154419,75.62500238418579,73.80208373069763,77.08333134651184,68.88021230697632,82.00520277023315,75.30000019073486,75.83333253860474,73.59374910593033,77.23958343267441,68.12499761581421,82.70833492279053,75.32583153247833,75.68754553794861,73.69983494281769,77.12870389223099,68.55653151869774,82.27200731635094,81.72898054122925,81.9367378950119,79.75683510303497,83.62945765256882,73.94790127873421,89.43839147686958,75.34274363517761,75.70920884609222,73.80417734384537,77.12535560131073,68.82240995764732,82.10712298750877,50.6528297662735,51.46118700504303,47.29512706398963,54.275621473789215,36.82438544929026,64.7463630884886
40,DL,Xception,80.91864244937896,0.747297511100769,81.66593996047973,98.6468745470047,99.71354007720949,98.17708283662796,99.94791746139526,95.520830899477,102.60416939854622,98.65517234802246,99.71354007720949,98.23059141635896,99.94791746139526,95.65460234880447,102.52390652894974,98.6572916507721,99.71354007720949,98.30729365348816,99.94791746139526,95.84635794162752,102.40885317325588,98.65520811080933,99.71354007720949,98.2291653752327,99.94791746139526,95.65103724598885,102.52604559063911,98.65554201602936,99.71312284469604,98.26858937740326,99.94791746139526,95.74959725141524,102.46690958738328,99.72184419631958,99.99346733093262,99.84916746616364,99.99997317790984,99.62295889854434,100.22618174552916,98.66083753108978,99.71511662006378,98.30918610095978,99.94791746139526,95.85108906030656,102.40601450204848,97.314817070961,99.4278460741043,96.53912931680678,99.89583492279051,91.50407090783118,104.93089333176611,76.19166660308838,76.04166865348816,74.21875,78.125,68.359375,83.984375,76.10547602176666,76.04156136512756,74.24565404653549,78.19963991641998,68.31467524170876,84.13061872124672,76.13749980926514,75.93750059604645,74.16666746139526,77.86458134651184,68.6197966337204,83.4114521741867,76.0916668176651,76.04166865348816,74.21875,78.28125208616257,68.12499687075615,84.37500521540642,76.1166079044342,75.88450610637665,74.30324852466583,78.04397940635681,68.69215220212936,83.65507572889328,82.8124703168869,82.9313188791275,81.08973354101181,84.57210958003998,75.86616948246956,89.79567363858223,76.1351398229599,75.94584822654724,74.29053783416748,78.03697735071182,68.67087855935097,83.65663662552834,52.23399394750595,51.983797550201416,48.59703108668327,56.30607604980469,37.03346364200114,67.86964349448682
45,DL,Xception,82.49158087730407,0.9219426584243774,83.41352353572844,98.6541668176651,99.73958134651184,98.08593690395354,99.94791746139526,95.29296606779096,102.74088829755786,98.66681683063509,99.7394472360611,98.0997085571289,99.94791001081468,95.32740637660028,102.72021219134332,98.64583361148834,99.73958134651184,98.13801944255827,99.94791746139526,95.42317241430284,102.66276448965073,98.66770839691162,99.73958134651184,98.09895753860472,99.94791746139526,95.32551765441892,102.72135734558108,98.6563719511032,99.7139424085617,98.11913371086122,99.94150698184968,95.38557380437854,102.67506688833234,99.74554753303528,99.99284744262695,99.7738093137741,99.99983459711076,99.43477138876912,100.33887252211574,98.64943540096284,99.73958134651184,98.14101606607436,99.94791746139526,95.430663973093,102.65826955437664,97.3165876865387,99.42787289619446,96.2413877248764,99.8830109834671,90.77895283699036,105.34544587135316,76.79583311080933,77.08333134651184,75.10416656732559,78.33333611488342,70.26041224598885,83.17709043622017,76.71938252449036,76.97085738182068,74.85808730125427,78.31751257181168,69.66894939541817,83.50665047764778,76.72499990463257,77.08333134651184,75.05208402872086,78.33333611488342,70.130205899477,83.25521424412727,76.70833325386047,76.8750011920929,74.79166388511658,78.48958373069763,69.244784116745,84.03646349906921,76.71859681606293,77.04443037509918,75.10336190462112,78.28626185655594,70.3290119767189,83.06061178445816,83.42073035240173,84.00402069091797,80.74484467506409,85.36599725484848,73.8131158053875,92.29772612452508,76.7246640920639,77.05798149108887,75.08859038352966,78.31597477197647,70.24751380085945,83.15705135464668,53.44016683101655,54.06478941440582,50.05612671375275,56.61959499120712,40.21092429757118,66.46479740738869
50,DL,Xception,81.68623963356018,0.7774743986129761,82.46371403217316,99.0552089214325,99.50520992279051,99.0625023841858,99.89583492279051,97.81250357627871,101.1458337306976,99.05519962310792,99.55719709396362,99.07540678977968,99.89576786756516,97.84486517310144,101.12630948424336,99.0562504529953,99.5312511920929,99.0625023841858,99.89583492279051,97.81250357627871,101.1458337306976,99.05520868301392,99.55729246139526,99.07552301883698,99.89583492279051,97.84505516290668,101.12630277872084,99.05564475059508,99.54323172569276,99.06890839338304,99.88942444324492,97.83813431859016,101.1201985180378,99.85403156280518,99.9836504459381,99.94014650583269,99.99943673610689,99.8512111604214,100.08837208151814,99.0579024553299,99.53440725803377,99.06526058912276,99.89583492279051,97.81939908862115,101.14169642329212,98.11302268505096,99.08967316150664,98.13821762800217,99.77884143590929,95.67728191614152,102.23977714776991,77.0333331823349,77.18749940395355,74.84374791383743,79.1145846247673,68.43749284744263,85.52083969116211,77.00554025173187,77.0509660243988,74.84374791383743,78.75000238418579,68.9843662083149,84.60938408970833,76.99999988079071,76.97916626930237,74.84374791383743,78.95833253860474,68.67187097668648,85.13020947575569,77.00416660308838,76.97916626930237,74.84374791383743,78.75000238418579,68.9843662083149,84.60938408970833,77.00086057186127,77.17307507991791,74.87059533596039,78.99540513753891,68.6833806335926,85.18261983990669,83.74253928661346,83.08278918266296,82.07914978265762,86.39887124300003,75.59956759214401,92.87845343351364,77.00440061092377,77.18030214309692,74.84919875860214,79.05479967594147,68.54079738259315,85.36320105195045,54.00913387537003,54.27332520484924,49.69319701194763,57.81793594360352,37.506088614463806,70.00504434108734
